[596.139] 憂う者の弟子: シャー
[605.764] CARNO_JPN: 音声がOFFになっています！ウメハラさん！ 
[607.588] (S)ましゅダヨ: まあケン三人組もいるし……
[607.853] one596: もけかまちゃが配信始めたら鳩案件かなー、これは
[613.740] axchuuu: ウメさん 声 聞こえないよ！！
[624.153] v_harumi_v: ウメちゃん、マイクがミュートになってるかもー
[625.236] (S)ましゅダヨ: うーめちゃん♪
[625.495] (S)~MISSING_COMMENTER_INFO~: ミュートですDAIGO
[629.230] (S)johndoe6523rp: SeemsGood
[629.646] one596: きたきた
[629.899] axchuuu: ありがとー！
[631.234] (S)あぱれる君: umeYay
[632.172] (S)ましゅダヨ: ふふ
[632.315] (S)箸くれ: ｗｗｗ
[632.925] aranami0: ｗｗｗ
[633.751] 憂う者の弟子: うおおおお Daigooooo
[634.918] kskskn: 知ってたｗ
[635.260] 将門ゴルゴロ: えｗ
[635.600] ごりら0: きた～
[635.710] (S)ましゅダヨ: ありがとー
[637.590] (S)kakutora_no_o: ww
[637.818] tsubame5204: umeYay
[638.926] v_harumi_v: 気付いてよかったよかった
[640.261] muisgod1: んもっけとまちゃと出るの？
[640.953] (S)芋煮ラスク: ｗ
[644.955] (S)ponponguripon: 10分？
[646.064] sai927: 違和感なし
[649.359] derwace_lifolve: 10分もの無
[649.657] おのく: チャメ
[654.815] gorogorogorn: なんか喋ってたのかなｗ
[655.514] (M)(S)gameinntwitch: んじゃボタン買いに行ってきます。それでは
[657.561] (S)~MISSING_COMMENTER_INFO~: 10分間なにしゃべったか教えてね
[661.904] casita226: 何年配信しておられるのですか？
[662.580] (S)ましゅダヨ: 無言でも違和感ないDAIGO
[663.555] axchuuu: メンおじ様ありがとうー！
[665.958] v_harumi_v: メンおじさま、いつもありがとー
[673.335] (S)きしー: メンおじありがとーー
[677.342] v_harumi_v: 買い物お気をつけて行ってらっしゃいませ。
[677.763] axchuuu: 気をつけていてらー！
[683.111] (S)ましゅダヨ: めんおじあざまー！！！
[690.396] one596: メンおじありがとー
[699.622] axchuuu: ボタンってウメさんのメンテのボタンなのかな
[702.211] casita226: メンおじて6やってるんかな
[712.195] (S)kakutora_no_o: メンおじはやはりママ
[718.170] (S)軽く捻るか: こんにちは！
[719.119] kotobuk: だれとでるのー？
[722.043] 新ころりん: メンおじは確かDJ使っとるで
[725.182] one596: メンおじはDJ使い
[725.779] axchuuu: メンおじ様をフォローすると、なんと配信の通知が来るのですよ！
[730.781] (S)ましゅダヨ: 替えのボタンはあるんでしょうね！
[731.927] (S)johndoe6523rp: ウメハラ、まちゃぼー、もけ
[735.278] maddy2623: うま
[735.466] かべ_娘は双子: もけ、まちゃ
[743.088] kotobuk: 意外なメンツ
[749.701] (S)~MISSING_COMMENTER_INFO~: 最後に仕上げっ
[756.667] (S)ponponguripon: けんけんちゅん？
[756.683] (S)akatoki_mk1: ウメちゃんAKI気に入ってるねぇ
[756.871] hoemin247: 珍しいメンツで組んでるねぇ
[763.203] ビフィダス: 最後の仕上げのときなにやってんだろAKIって
[764.083] maddy2623: 13時からだよ
[789.446] yuhi_N: もけ、ウメって組み合わせあんま見ないから新鮮
[796.972] DarkZane__: AKI MAIN ?
[799.196] (S)軽く捻るか: ターザンのインタビュー記事読みましたよ！
[800.869] (S)ましゅダヨ: ブランカ3人組かー
[808.948] CARNO_JPN: 「最後の仕上げ」は英語音声だと可愛らしさがない
[816.974] axchuuu: KEN main！
[821.320] harukaze_pop: モケウメ
[822.980] (S)chikachikabonito: umeCossack
[832.497] (S)akatoki_mk1: ブランカ３人組なの最初？
[832.941] v_harumi_v: 英語音声だと印象が違うのね
[841.404] 新ころりん: 投げ抜けとか投げとかSA1のパタパタとか妙なところで可愛い仕草あるんだよな AKI
[844.530] (S)deep_cross: こんにちは〜！
[850.846] (S)ましゅダヨ: わあ(̨̡ᐢ ⸝⸝o̴̶̷  ̫̭ o̴̶̷⸝⸝ ᐢ)̧̢
[852.664] m1s4m0: 髪型以外かわいい
[858.883] aranami0: これこれー
[859.706] fbhjkl: PogChamp
[862.970] (S)hoshi_boshi_0: 削り美味し
[863.083] (M)Moobot: ＊最大120時間＊ HyperX Cloud III ワイヤレス → https://hyperx.gg/45bt2SJ 1回の充電で映画見放題だな
[869.712] ビフィダス: 最後の決めポーズちょーすき
[869.882] (S)~MISSING_COMMENTER_INFO~: レンガでしあげっ
[872.162] gashirag2: 髪型がいいんだろ
[873.041] muisgod1: TOP何時開始？
[874.391] axchuuu: 髪型も見慣れると可愛いもんだよ
[879.308] 万二郎: よく見たら、サウスポーと、スタンダード、向きで入れ替わってるんですね
[887.129] 新福菜館マン: 相手ジェフリーやん
[889.070] Beyyy0nd: TOP AKI ON THE WORLD
[893.884] chicken_dumpling: what is top?
[895.474] (S)hoshi_boshi_0: あと2分で開始笑
[896.467] (S)akatoki_mk1: 髪型はoutfit3で変わることに期待！
[905.200] v_harumi_v: topは13時～よ
[905.784] muisgod1: えあと2分なのw
[910.110] takahashiseigi: 昨日の春麗座談会、もけがガイルにブチギレてたw
[917.517] m1s4m0: TOKYO online party
[917.929] kaku_pippo: SA2削り殺しは毒でやった感があって良いw
[919.401] (S)ましゅダヨ: アールさん実況放棄してちがう話よくするよなあ……笑
[919.484] (S)ponponguripon: 先鋒誰かな
[933.734] aranami0: 激安ｗ
[933.859] (M)Moobot: ＊＊新ヘッドセット＊＊ HyperX Cloud III が ワイヤレスで登場！ → https://hyperx.gg/45bt2SJ
[934.715] CARNO_JPN: カケルのAKIの対戦動画を観たけど、めちゃくちゃ動いて強かった
[945.994] amaterasuoomikami1325: 毒強すぎ
[946.359] librabird: それ使えないんよな玉抜けに
[948.125] axchuuu: メンおじ様にTOPのurl固定して貰えば良かったかもしれんな
[950.857] (S)ゆなっこ: こんにちはー！大会がんばでーす！
[963.454] librabird: SA2で弾抜けってほぼ無理よな
[964.592] (S)hoshi_boshi_0: やるんだww
[968.581] yuhi_N: 何時から？
[977.759] v_harumi_v: 13時
[981.751] (S)akatoki_mk1: １３時から
[986.342] yuhi_N: あと1分やんかw
[991.193] yuhi_N: ありがとうございます
[998.494] CARNO_JPN: sa2は毒泡で相殺しながら打ったほうがいいと思う
[999.889] m1s4m0: TOP is an open 3-on tournament hosted by Synovism Gaming.
[1008.242] sn0wf0x3: wwww
[1009.553] (S)ponponguripon: 驚きの
[1010.088] pyamaaaa: ウメちゃんこんにちは〜
[1010.770] aranami0: ｗｗｗ
[1011.694] v_harumi_v: ひんっ＞＜
[1012.594] (S)ゆなっこ: ｗｗｗ
[1013.900] Beyyy0nd: DAIGO IS TOP AKI IN THE WORLD 
[1015.236] (S)gularain: 13時～！
[1017.033] Ramen_soul: WutFace
[1017.959] axchuuu: 13時だよウメさん
[1018.540] librabird: 13時なってるやん
[1019.047] weather_cloud_: ww
[1021.334] intaisita: ねじこむ！！！！！
[1023.836] (S)~MISSING_COMMENTER_INFO~: 苦言ハラ
[1028.668] (S)しゃくれ: カプコンに振る技がないって苦情入れときました
[1028.975] (S)gularain: ふたりとディスコつなぐんかな？
[1029.216] keigunnoikkaku: A.K.I.使うんかな
[1032.478] (S)akatoki_mk1: 時間だよウメちゃん！
[1034.717] chicken_dumpling: @m1s4m0 ah momochis tourney? is aigoo entering? who are his team?
[1043.493] chicken_dumpling: *daigo
[1044.838] (S)johndoe6523rp: 発生も遅い…
[1046.781] (S)箸くれ: 顔ｗ
[1047.248] sei_6: アキハラでいくの？
[1050.054] miyako_t: ケン?アキ?
[1053.516] axchuuu: まぁEからだから大丈夫やろな
[1061.243] m1s4m0: @chicken_dumpling gyogun moke and machabo
[1063.739] (S)akatoki_mk1: 登録はケン
[1064.504] tabibitox: ケン登録やろ
[1069.483] chicken_dumpling: @m1s4m0 thanks
[1071.152] chohoino_choi: AKI面白すぎてやめられないんだけど！!!!!!!!!!!
[1083.284] tabibitox: E-Hが13時開始
[1083.638] (S)箸くれ: 弱いって言いつつ続けてもらえるアキええな…ジェイミー…
[1091.621] axchuuu: こく布団おにやも出るのちょっとおもろいよな
[1093.398] v_harumi_v: ウメちゃん、13時よー
[1097.228] sei_6: ウメさんアキ愛がすごい
[1104.213] 蝉時雨: ジェイミーにはなるおがいるだろ…！
[1112.718] epin7: 誰と出るの？
[1114.761] librabird: 儀式系はあんま好きじゃないんかな
[1119.589] (S)hoshi_boshi_0: まちゃもけ
[1120.439] ongyaaaaaaaa: 配信にディレイ入ってんのかな？ｗ
[1125.740] epin7: ありがとー
[1128.788] 蝉時雨: もけぼー
[1129.860] m1s4m0: 脳みそのディレイ
[1147.783] 新ころりん: ジリジリはいる毒
[1147.792] Beyyy0nd: LUL
[1148.929] (S)chikachikabonito: umeYay
[1148.985] sn0wf0x3: ww
[1149.837] Beyyy0nd: LUL
[1149.952] v_harumi_v: 毒レベル欲しいですね
[1150.708] (S)ましゅダヨ: うれしそう
[1151.992] aranami0: かなーり減ったｗ
[1152.097] (S)hoshi_boshi_0: 嬉しそう
[1154.045] うきね: 楽しそうｗ
[1154.746] Beyyy0nd: PanicVis
[1154.876] axchuuu: 毒好きだねえ
[1157.289] (S)kakutora_no_o: 楽しそうやなぁww
[1158.040] (S)~MISSING_COMMENTER_INFO~: umeMezame
[1160.687] (S)blueplanet96: それやりたいだけじゃんｗ
[1162.467] harukaze_pop: 毒ジリハラ
[1163.160] (S)~MISSING_COMMENTER_INFO~: umeHotoke
[1164.864] (S)大爆発バナナ: 毒好きおじさん
[1165.381] 157655: 削りフェチ全開である
[1166.937] うきね: ｗｗｗ
[1167.155] 新ころりん: 毒 好きデスねぇ
[1167.190] m1s4m0: wwwww
[1167.298] v_harumi_v: 毒うれしー
[1167.565] kaku_pippo: 削ったねw
[1168.094] (S)ゆなっこ: かわいいｗ
[1168.421] (S)deep_cross: www
[1168.722] fbhjkl: LUL
[1168.922] ongyaaaaaaaa: 後ろの時計１３：０２ってことはディレイ入ってないんかｗ
[1169.139] (S)ましゅダヨ: うれしいねええww
[1169.146] sn0wf0x3: 毒ハラ
[1170.903] (S)新戸ぺろきち: ｳｫｵｵ！
[1171.234] aranami0: 毒おじさん
[1171.756] (S)あぱれる君: umeHotoke
[1171.777] (S)kakutora_no_o: wwww
[1171.984] wasabi00009: 毒好きおじさん
[1173.158] sarah_0519: wwww
[1173.377] Sturbz1: ;]
[1173.596] muisgod1: なんやねんww
[1173.989] gorogorogorn: 勝敗より毒！
[1174.439] (S)軽く捻るか: うおー！
[1174.486] keigunnoikkaku: 毒ダメ好きねえ
[1174.533] (S)chikachikabonito: umeYay
[1174.903] (S)berurusuko: 毒ダメおもろいんよなあ
[1175.371] 感動詞: 時間の使い方エグ
[1175.373] 恋ナミ: たのしそう
[1176.322] (S)~MISSING_COMMENTER_INFO~: 毒！です！よ！
[1178.721] m1s4m0: かわいい
[1179.666] 蝉時雨: ウォゥ！
[1179.808] marton_ss: <3
[1180.040] (S)hoshi_boshi_0: フォ〜
[1181.251] ぜんでん坂人生: AKIでTOPでるの？？
[1181.309] (S)しゃくれ: 毒沼好きおじさんと気が合いそう
[1182.682] (S)ましゅダヨ: 毒BEAST
[1184.301] epin7: にしし死
[1185.042] no_name_0521: kazuki
[1185.923] axchuuu: このアキちゃんかわいいー！
[1186.387] tid2301: たかし、４んじゃうねぇ
[1187.712] 憂う者の弟子: だれだ！
[1188.066] (S)blueplanet96: umeHotoke
[1189.757] wasabi00009: モンハンしかりカプコンはやっぱり毒なんだよね
[1190.814] (S)~MISSING_COMMENTER_INFO~: あ！
[1192.036] (S)gularain: テンションの差
[1193.214] 157655: もけちゃーん
[1194.413] (S)ponponguripon: どくどくー
[1194.624] (S)ましゅダヨ: どもー
[1194.964] tabibitox: まちゃもけ
[1196.599] rojyoooha: 楽しみ方のレベルたけーー
[1200.382] (S)軽く捻るか: どんもー
[1201.811] danny_love_danny: まちゃ先生！
[1203.994] (S)FilthyOjiChan: who?
[1207.830] (S)johndoe6523rp: 不戦勝か
[1209.540] (S)きしー: おつかれさまでーす
[1209.719] (S)ましゅダヨ: ん？
[1210.523] (S)大爆発バナナ: アキの顔怖いお
[1213.294] v_harumi_v: キャラ変更しなくて平気なの？
[1214.694] 恋ナミ: 0回戦発生してるんか
[1215.724] sarah_0519: できてる？
[1216.755] (S)ババシャツ: チーム名は何？
[1222.006] 新ころりん: 梅ちゃん キャラ変更ちゃんとしなくて平気？
[1222.222] (S)berurusuko: まちゃもけってクソ強えチームだな
[1222.799] axchuuu: アキちゃんって口元のほくろがえちちよね
[1222.810] m1s4m0: machabo and moke
[1229.467] keigunnoikkaku: なんでまちゃもけなんだ？
[1231.374] danny_love_danny: うええ
[1232.070] blackcoffee0821: キャラなんだろう
[1234.815] (S)FilthyOjiChan: @m1s4m0 thank you
[1238.593] amaterasuoomikami1325: しかけん
[1240.108] harukaze_pop: ww
[1240.356] (S)johndoe6523rp: ｗwｗwｗwｗw
[1240.662] sai927: ｗ
[1241.319] (S)kakutora_no_o: 王の圧に屈したか
[1241.364] librabird: 正直優勝候補よなここ
[1241.889] marton_ss: www
[1242.280] fbhjkl: LUL
[1242.306] v_harumi_v: 知られてるＷ
[1242.776] danny_love_danny: www
[1243.377] (S)blueplanet96: 全然
[1243.793] ongyaaaaaaaa: ｗｗｗｗｗｗｗ
[1245.296] aranami0: 趣味の毒
[1245.833] 157655: 画面隠せ！
[1246.347] m1s4m0: ばれた！
[1247.112] sei_6: Wwwwwwwww
[1248.006] sn0wf0x3: www
[1248.798] (S)ponponguripon: 直前までAKI
[1248.969] (S)mokichi1221: ケンか
[1250.812] (S)軽く捻るか: キャラ変更大丈夫ですか？
[1251.614] (S)ましゅダヨ: そうなの？？
[1254.111] ひろみつー: まちゃに鳩が飛んでるぞ
[1256.086] chicken_dumpling: is the top tourney starting now? or later?
[1258.305] (S)あぱれる君: 毒ではしゃいでました
[1258.535] KemmyTwitch: も、もけの声だ！
[1258.815] mangoarmy009: アキはお遊びの女なの
[1261.711] axchuuu: ぽっぽーー
[1263.637] m1s4m0: now!
[1263.956] gorogorogorn: 匂わせとけｗ
[1264.365] no_name_0521: ６初だからケンでしょ
[1271.549] (S)berurusuko: ランクマやるんか
[1277.408] (S)ましゅダヨ: やっぱ別ですすんでるのか
[1277.459] (S)blueplanet96: @chicken_dumpling now
[1278.575] はおすけ: きんちょさんがなんちゃらかんちゃら
[1280.916] m1s4m0: ランクマやってるのワロタ
[1281.056] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1282.406] chicken_dumpling: thanks
[1282.980] jhkkhfdathvd: アキは暇つぶし
[1283.052] blackcoffee0821: 組み合わせ新鮮だな
[1288.268] sei_6: 遊びの女、
[1291.686] m1s4m0: きんちょさんなの？
[1291.982] danny_love_danny: もけ春麗楽しみ
[1293.024] nikkou18: もけは肉も焼かないし招待もしない
[1293.238] axchuuu: アキちゃんはそのうち本命よ！
[1293.660] ひろみつー: もけ？
[1293.936] kaazu1112: ウメちゃん先鋒で出なきゃ前2人が全員終わらせそうではある
[1299.124] (S)johndoe6523rp: アップ無しｗw
[1299.214] (S)ましゅダヨ: キャラ変えたよね？
[1307.179] ひろみつー: スラムダンクも読まない
[1307.335] (S)ましゅダヨ: ケンだよかった
[1308.776] kahaku91: まちゃが肉焼く感じか
[1313.540] blackcoffee0821: ケンケンチュン
[1314.400] kaku_pippo: 1先の勝ち抜きだから怖いね
[1314.643] one596: かなり勝ってくれそうなチームメイト
[1315.609] (S)berurusuko: 優勝候補筆頭のチームだな今回
[1317.973] chicken_dumpling: 2 Kens 1 Chun 
[1318.691] harukaze_pop: まちゃもけつえーからな
[1319.966] (S)ponponguripon: けんけんちゅん
[1320.119] kiton_taichi: もけさんいるなら大丈夫っしょ
[1320.734] (S)blueplanet96: まちゃ負けなそー
[1323.913] 感動詞: まちゃってツイッチ？
[1324.510] (S)~MISSING_COMMENTER_INFO~: 先鋒ウメ！
[1324.522] axchuuu: アキちゃんもいるんだ！！
[1325.920] (S)kakutora_no_o: なんて頼り甲斐のあるチームメイト
[1326.256] librabird: 優勝候補
[1329.499] (S)ましゅダヨ: ww
[1332.105] nekoze0808: ウメちゃんチーム強そう！
[1332.211] ひろみつー: このメンバー頼りになりすぎてる
[1335.916] danny_love_danny: うわあ
[1336.020] m1s4m0: えぐ
[1336.065] 憂う者の弟子: ここだけの秘密でいくぞ
[1336.205] dayakose: www
[1337.892] blackcoffee0821: バレるw
[1342.834] (S)ましゅダヨ: キンバリーか
[1345.624] (S)ましゅダヨ: wwww
[1346.039] m1s4m0: ｗｗｗｗｗｗｗ
[1346.635] (M)(S)gameinntwitch: ディスコでかいかな？バランス悪かったらディスコ内で下げて貰ってー
[1346.743] 新ころりん: みんな同じｗ
[1349.195] ongyaaaaaaaa: ずるいぞｗ
[1350.109] no_name_0521: ラインでやり取りしないのか
[1350.286] librabird: ゲテモノだらけじゃん
[1353.053] m1s4m0: でかくない
[1359.503] maddy2623: ｗ
[1364.923] (S)berurusuko: キンバリーはよくわからんしな
[1367.413] (S)ましゅダヨ: だいじょぶですう
[1368.008] ひろみつー: サンキューまちゃ
[1370.212] (S)gularain: 勝ち抜き戦だっけ？
[1371.928] blackcoffee0821: まちゃもけええなw
[1375.045] jamxqc: 魚群BEAST
[1380.774] aranami0: メンおじありがとー
[1382.454] takahashiseigi: さすが最適解
[1387.460] ongyaaaaaaaa: 魚獣
[1387.707] (M)(S)gameinntwitch: そっか魚群か
[1388.116] m1s4m0: まちゃでいいじゃん
[1392.192] (S)ganaha5757: もけ様子見先鋒
[1394.372] (S)みっちー14: 勝ち抜けだから先鋒きめないと
[1395.165] (S)ましゅダヨ: それがいい
[1395.321] librabird: マゴはでてないんかな
[1399.020] たくあんどす: チーム戦見れるの嬉しいなぁ
[1408.652] たくあんどす: マゴさんは出ないって言ってた
[1408.807] 八極盗撮個展: なにこのエグいチーム
[1410.884] twitchyarutch: あまりもの拾ってくれてありがとー
[1413.271] gfy_twitch: まちゃもけは配信なしか
[1413.387] tabibitox: 筒抜けなのもなｗ
[1415.755] (S)ponponguripon: 先鋒で3タテかっこいい
[1416.728] クラクラ777: ｗ
[1418.240] aranami0: ｗｗｗ
[1418.847] (S)ましゅダヨ: おさかなおさかなー(｢・ω・)｢ｶﾞｵｰ(狼)
[1419.264] (S)ゆなっこ: ｗｗｗ
[1419.486] (S)kakutora_no_o: わちゃわちゃwww
[1419.501] sn0wf0x3: ww
[1420.465] weather_cloud_: ww
[1421.248] kahaku91: なめぷと取られないこともない
[1421.433] 新ころりん: エグいチームだけど 寄せ集め って名前なんだぞｗ
[1421.944] (S)johndoe6523rp: 被せられちゃうしなｗw
[1426.600] v_harumi_v: わくわく
[1428.287] 憂う者の弟子: じゃあこれで
[1429.676] librabird: なるほど、だからこその魚群ビーストか
[1429.898] (S)ましゅダヨ: たのしいねえー
[1430.720] (S)gularain: でも先鋒の方が気楽では？ｗ
[1434.351] (S)hoshi_boshi_0: カチャカチャ…この感じ良いね笑
[1434.455] FG_Kamatari: LUL
[1436.084] (S)ましゅダヨ: えっ
[1437.820] (M)(S)gameinntwitch: 寄せ集めのくせにガチかよw
[1439.434] muisgod1: いいメンツだなぁ
