[550.610] msnbt: msnbt subscribed with Twitch Prime. They've subscribed for 9 months, currently on a 1 month streak! ソニック
[550.692] (M)Moobot: @MSNBTさん、サブスク登録9ヶ月目！
[556.225] 戰神龍之子: ?
[561.296] rayboyman: Why daigo not playing ranked no more
[563.426] さくら0: いまお湯沸かしてます
[563.547] hasekin7: max2貫食いがデフォ
[564.833] (S)girotin89: ウメハラは調整不足だからフルボッコあるで
[573.617] shupii097: 熱々十杯は流石にきついと思う
[575.000] balthazar000: ソニック数カウンターあるかな？
[576.412] hodenasu: MAX鈴木さんに本物を見せてもらおう！ｗ
[589.707] ニッグ: 寿司で弱らせてラーメンで勝つとかトパンガで言ってたけどどうなんだろ
[592.357] wnamew: エキシは流石に早食いの方が早そうだけどラーメンは流石に厳しいんじゃないかと思ってる、一人でどこまでの速さいけるんだろうか
[594.322] 雨男: ただの鈴木になる
[595.913] hasekin7: 下手したら3貫食いまであるかも！？
[600.672] cafe_gondo: 大丈夫かいな
[608.007] (S)msnbt: てす
[616.525] (S)infammerz: hello?
[619.013] (S)infammerz: yo yo
[622.161] nagilay1: 汁まで全部を１０回だからMAXも結構きついｗ
[630.130] nagilay1: ただ、ときどがどんだけ遅いのかが気になるｗ
[636.653] めるかーと: 金さんでキャラ対したのかな？
[640.998] kwsk3: どん兵衛食べるわ
[641.566] nagilay1: ときど一人だけ３分以上かかって食ってたら草はえる
[641.914] Kanquez05: えー、逆じゃないか？ソニックより速く寿司食える気がしないしラーメンでプロに勝てる気がしない
[642.943] こあとる: ツイッターの告知映像でMAX鈴木さん調べてそのままファンになったわウメちゃんありがと
[645.800] take00to: CurseLit
[650.062] どらわん: まああんまりガチで見てもなあｗ楽しんでみるわ
[666.483] 伯符っ子: 早食い楽しみ
[678.085] wnamew: 早食いvs格ゲーマーとかいう異種格闘技戦
[678.850] shupii097: 熱々の寿司ならチャンスあった
[679.129] ackey_san: ＭＡＸさんの麺をつかむ量たぶん想像以上と思われる・・そこ警戒してなさそう
[685.513] tarantarantaran: umeYay
[688.758] (S)157655: 人類平等の熱にどちらが勝つか
[689.446] ラーメン5: umeJam
[692.197] nagilay1: 一応前情報でソニック５０発が４０秒くらいで、城田のすし４０貫が４０秒くらいだっけ
[694.892] Pai02: umeCatGlare
[698.702] nagilay1: 白田
[709.546] balthazar000: きれいに食べてくれればいいなぁ
[709.968] おにぎりマンヘキョム: 普通の大きさならふたくちで行けそう
[713.979] めるかーと: 5分？
[718.712] (S)infammerz: no SF today?
[743.845] balthazar000: yes
[746.955] Kanquez05: nope
[747.925] どらわん: ラーメン大食い動画とか見ると一口がむちゃくちゃでかいもんなあ
[749.893] Barusa007: 企画って今から始まるんですか？
[756.616] balthazar000: 13:00~
[757.979] ackey_san: sonic VS raamen
[763.278] ライム_: 13時かな
[766.442] nefilia: 50 sonic VS 50 sushi
[768.337] Barusa007: １３時 了解 ありがとう
[773.933] Kanquez05: no SF today
[775.391] ackey_san: sushi
[778.598] (S)infammerz: tkz @balthazar000
[779.688] (S)heyyo0h: !uptime
[786.278] butch1008: speed eating contest
[797.932] (S)heyyo0h: daigo the beast FIVE
[805.810] wnamew: 流石に50貫ともなると時間掛かるんだなー、エキシもやってみないと分からん感じ科
[808.513] tw_numa: ハラハラ
[809.763] fen6: umeYay
[822.586] 電動マッサージ器: PokBlastoise
[824.456] (S)yukaring: umeBoom
[841.563] (S)65vr39: ~MISSING_MESSAGE_INFO~
[849.212] nineball_akira9: きたーー
[850.314] (S)girotin89: Food & Drinkのカテゴリーおもしろいな。視聴者3人くらいの配信ばかりなのにおもしろい
[855.011] nagilay1: それ強調してどないすんねんｗ
[857.268] Barusa007: カテゴリ FOOD DRINKになってたｗ
[864.275] CCCCCCCCCCCCCOMBO_BREAKER: atpRtsd4
[876.529] nagilay1: ふーどあんどどりんくをプレイ
[893.340] (S)65vr39: 今回はカップヌードルじゃないんだっけ？札幌一番カップラーメン？
[905.046] nagilay1: ぽろいちらしい
[909.290] Barusa007: フードリ勢から新規獲得ワンチャン
[935.449] あずき3: 早めに来た！
[935.586] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[936.244] balthazar000: 料理カテゴリなのね
[949.058] だわさワサワサ: ヌードル系は麺少なくて汁多いイメージだがさて
[963.234] だわさワサワサ: 逆だ
[969.244] (S)king_ice23: 13時からかな？
[975.433] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[976.452] だわさワサワサ: ヌードル系以外は
[983.048] (S)麻雀打ち: びっくりした。これからか
[983.689] take00to: CurseLit
[988.816] pot1919: 寿司をコーラで流し込む大貫
[997.985] (S)girotin89: 今いかついヘッドセットしたおばあちゃんビーガンチョコ作ってるの見てる
[998.846] (S)yuuubin: 13時からか
[1011.376] ロータス: 待機
[1022.237] tac0037: 2
[1035.569] (S)pem97476: umeCatGlare
[1036.619] suginaka56: ResidentSleeper
[1046.802] 雨男: このレッドブル本物？
[1056.012] あずき3: momochocoOniyome
[1064.865] tac0037: CGでしょね
[1081.121] take00to: PunOko
[1108.309] ホナウド: 早食い対決もだけど、きのう新幹線でどこに行ってたのか気になりすぎる
[1123.492] nineball_akira9: 本物って書いてないから多分偽物
[1139.710] sh1zuku716: 新幹線の奴 今日分かるって言ってたよ
[1142.731] dsadsa454654: 筐体がどうのこうのはどうなったわけ
[1145.138] gyouzazin: お茶だよ
