[571.083] hilty__: おはようございます～
[572.008] (S)9211212a0105: いや、やせてるわ
[572.988] u_anna: 腰のラインがシュっとしてる
[573.193] odaji2351: うおおおおおおおおおおかっけえええええええええええええええ
[575.155] (S)user81023: 紙になっちゃう！
[575.209] sobokumeshi: 脱いだw
[576.532] (S)HAL_0120: めっちゃ痩せてる
[578.725] tabibitox: 何故バランスボールｗ
[580.176] (S)zappnn: あと10kg痩せよ
[580.901] shiotama: 一年くらいダイエットし続けた成果なのかな
[581.355] domontyan: まじでシュッ！としてて草
[581.967] pullup_nakano: 当時の作画に戻ってきてない？？
[582.183] 将門ゴルゴロ: 開幕バランスボールとか卑怯すぎ
[582.660] junichitanaka: お腹見せて
[584.365] msfsa: 誰この人
[586.160] miduki88: また半袖
[586.800] aki5568: 腹筋ローラーいいですよ
[587.094] one596: 努力はチートか
[587.634] (S)i_have_a_coat: good luck today daigo 
[588.345] 斉川: 昔のウメっぽくなってきた
[588.370] (S)prefabcat: 65キロ位？
[589.280] れとぅ: それで怪我したのか
[589.597] (S)afro888: ウメちゃんダイエット継続してんね
[589.707] danny_love_danny: 袖は長くていいのよ
[590.639] hosuhosu: 顔に出やすいタイプ
[591.526] impossibru: monkaS
[594.479] niemalsaufgeben: カッコよさ、戻ってきた
[595.268] orange88: ピリピリしてくるで
[596.727] domontyan: え？まじで細くなってる
[597.352] (S)HAL_0120: 顔が痩せるの羨ましい
[598.811] akiaki0612: 成果出るとやる気出るよね
[601.541] (S)tekiro800: 顔から痩せるのずるいわー
[604.371] たあぼ0126: おはようございます
[605.651] (S)zappnn: 顔の傷が...
[607.258] 将門ゴルゴロ: どんどんシュッとしてきたね
[609.583] odaji2351: こーーーれはディエゴ
[609.627] (S)user81023: バランスとってるねえｗ
[610.057] domontyan: ｗｗ
[610.960] bcontyan: 草
[610.992] triskeal: いつまでもつかなｗ
[613.880] ジェーワイパーク: ｗｗｗ
[614.594] u_anna: 転んだりしないでねｗ
[614.661] tabibitox: あたりまえやｗ
[618.383] (S)user81023: ぽよんぽよんウメちゃん
[618.466] danny_love_danny: バランスボールか
[620.016] _こぺ_: ゲームしやすかったら意味ないじゃろw
[620.103] domontyan: バランスボール５CE
[630.142] inform4231: 1ゲーム目は椅子で遊ぶ
[630.928] lyo0822: そりゃきついやろｗ
[632.665] kazadi91: Daigo you are the best
[634.079] junichitanaka: バランスボールは相当コントローラーが不安定になりそうｗ
[636.242] akiaki0612: 半袖寒くない？
[638.998] (S)tekiro800: アケコンが揺れてるｗ
[641.671] u_anna: ファルコンパンチうちそうなベガ
[643.110] (S)zappnn: バランスボールまじ？
[648.099] ジェーワイパーク: 本番は集中力高そうにできるなこれ
[649.404] 仙台市民: おはようございますー
[649.455] domontyan: 昇竜バウンドしそうｗ
[650.923] fl0kis: 横に倒れてったら笑う
[659.827] junichitanaka: ランク上がりすぎィ！
[660.068] lyo0822: バランスボールってそもそもいいの？
[665.328] (S)shizumaru777: ほんのちょっと音ズレしてそう
[669.013] みっかぼうず: こんにちは
[676.793] newgenerationcat: グラブル買おうか迷っていたところにウメちゃんのスト5配信の通知で目が覚めた
[679.335] marcelo1912: おはようございます
[680.474] hosp1990: 最後は空気椅子でやるまである
[681.293] (S)lunasolnars: umeGrin
[681.733] niemalsaufgeben: 体幹にはいい
[685.750] (S)lutz001: 放送中に転倒死あるな
[685.989] _こぺ_: 後ろにわ〜！つって倒れていくの期待してる
[690.614] fl0kis: 危なかったな
[692.886] sobokumeshi: umeCatGlare
[696.631] (S)zappnn: 揺れてるｗ
[702.035] 将門ゴルゴロ: 大会もこれでやって欲しい
[702.823] lyo0822: ネコが来たらコケる
[703.340] junichitanaka: 言うな、スポンサー商品だぞｗ
[708.951] domontyan: ケガしない程度に倒れたら正直面白い
[713.456] (S)nisikigoi7: 会場の椅子がバランスボールだったことを想定しての練習ですね ハイ 分かります
[715.131] たあぼ0126: 昨日の取材は大変でした？
[722.816] one596: 重心気にしながら格ゲーやるってどんな感じなんだろ
[725.148] moscat0c7: バランスボールに乗ってるのｗ？
[729.998] (S)naka105: umeYay
[730.272] Kanquez05: おはようございます。なんか音がちょっと変だね
[733.435] u_anna: 禊でフィニッシュまで届くのか
[739.088] junichitanaka: 開幕がバランスボールの設置でした
[739.908] niemalsaufgeben: そんな大会あるかーいw
[743.914] lambdartian: Good Morning!
