[46.512] (S)けーわいぱーぷる: BloodTrail
[47.142] (S)ParaUniphs: ここで漏らすって選択肢はないのか
[47.605] chikuwa2323: 誰？
[47.758] かまめし1523: 誰？
[47.927] (S)adgjmptwwtpm: ニートだ！！！
[48.027] zuborazabora: 誰？
[48.467] (S)yukimaru0701: 無職アモーレ
[48.596] chyame: ニコ生から来てやったぞ
[48.642] (S)しーしーしー: 名を名乗れ
[48.658] (S)kamishiro346: batoraSho
[48.673] (S)フェネル: 敗北者？
[48.702] sukosukonbu: batoraRikime
[48.706] (S)soralira: ！？
[48.784] satakemaruru: 賭けして
[48.917] suiso41: ニコ生でやれや
[49.141] workslove: 👴ニコ生から来ました
[49.142] sigmataityo: 広告 
[49.705] choco_ptotq: あーニコ生たのしかった
[49.814] (S)shika_zz: batoraSudachikunAnimation
[50.090] iris_ck: ニコ生ならなぁ
[50.171] momoo_mgmg: ニコ生ならなあ
[50.342] kamijo_m: よお無職
[50.391] groovy_gozila: ニコ生とかいう古代サイトつかうのやめてくだしあ
[50.547] dhinodhino: バトラさんニートってマジですか？
[50.592] scarlet_dot: やあ
[50.942] みそカツうま男: よお無職
[50.947] sudachi161: 誰？
[51.143] (S)フェネル: 64は？
[51.361] kamedama: 37760位かよ 
[51.756] すこすこのおきな: ニコ生に帰らないか？
[51.957] gobouchan1234: 無職が配信してて草
[52.524] suger4628: ニコ生に帰らないか？
[52.592] sess_y: だあれ？
[52.742] totopopo2525: ツイッチはコメントが早いわ
[52.972] shikura15: 54
[53.171] (S)shamanstrip: 5億位マジかw
[53.300] 苗木: おいニコ生ってなんだ
[53.609] 3lolow: ニコ生主のバトラさんきtらああああああああああああああああああ
[53.809] 炙りエンガワ: ニコ生クルーズからきますた
[53.818] yuten_p: あなたが馬場豊さんですか？
[53.840] ソナタ: マリオって昨日言ってたよね
[53.898] pikuminn2B: 名を名乗れニート
[54.031] (S)taaaiki0807: batoraSudachikun8
[54.146] アモーレ派最後の生き残り: 暇そうな内容やな
[54.191] gaku0x0: よおスーパーニートボーイ 
[54.386] oryou2: ニコ生のゴミ共は匂いがキツいなぁ
[54.684] dfours2: ツイッチの奴らの悪口言って盛り上がってたよ！ｗ
[54.714] 食券です: 生主のバトラ氏
[54.771] alggtr: これなんの時間ですか？
[54.786] (S)babakokoga: batoraSudachikunAnimation
[55.705] ぺぺ2: DinoDance
[55.824] ayaka162: ニコニコに帰らないか？
[56.004] jinseiken: 無職なんだからもっと早く始めろよ
[56.218] まぜんた_: うんうん
[56.654] lovekomer: ぬ
[57.020] (S)nico_admjg: nico_admjg subscribed at Tier 1. They've subscribed for 6 months! 
[57.072] keinst: BloodTrail
[57.240] じゃっこ_: ニコ生７時間 Twitch３時間
[57.460] chyame: ニコ生に帰ろっか
[57.512] tm951amo: batoraTeinei
[57.933] またら: やあ
[58.172] Chillaqu: 絶対無理
[58.399] chikuwa2323: コメントはっや
[58.438] さはたやはた: ニコ生で何やってたの？
[58.798] (S)neji_ki: neji_ki subscribed at Tier 1. They've subscribed for 2 months! ニコ生に戻ろうよ
[59.917] flowergameman: BloodTrail
[60.050] nekkoron: 裏切り者
[60.267] tamaco_5: にこなまってなんですかwwwwwwww
[60.434] (S)yukimaru0701: 無職ですかw
[60.578] saturate_ray_: これって何の時間？
[60.654] やまだいさお: なぁバトラ8時からにしてくれないか？
[60.974] 鯛で海老を釣る: ピーチつっよ
[61.111] おたから: お前の故郷はここじゃない
[61.137] みそカツうま男: よお無職っさん
[61.307] おあげつきわかめうどん: 第四位置
[62.300] uru_me: ニコ生通知入れんのだるいから一生Twitchでやってくれ
[62.377] a112456: ニコ生サイコー！
[62.495] reopa0109: ニコ生ってなんですか？
[62.514] (S)ネン: 誰？
[62.693] obutsu_man: 嫁と飯くってんの？
[62.853] yuten_p: 漏らせよ
[63.036] あーたん8: 丁寧
[63.608] やらない夫です: 🐮✋にょっす！
[64.159] choco_ptotq: ニコ生たのしすぎたわww
[64.343] そせごん: ばにょっす 
[64.697] プラマリ: 無職ニコ生やめろ
[64.966] matan1203: 64かと思った
[65.200] (S)みやぢと申します: あ
[65.624] suiso41: 投げ銭待ちですか？
[66.062] (S)dorebin: 義務Twitch
[66.828] shucli: 誰？
[66.873] dedende794: っぱTwitchよ👍🏻
[67.497] jinseiken: 妹いる？
[67.775] boboriborii: BloodTrail
[68.113] ayataka1201: ヒモラ
[68.329] ソナタ: ツイッチやっぱ怖い（ ;  ; ）
[69.479] shikura15: 名乗れ
[70.149] (S)qmapa: ニコ生４
[70.345] mintia765: よお無職。広告消してくれ
[71.129] akinorimuroi1209: ニコ生👈うおw
[71.147] temiarsss: 2024/6/6(木) 12:44開始(6時間33分)
[71.366] totopopo2525: やっぱコメント量全然違うな
[71.367] suger4628: ニコ生やらなぁ
[71.800] ジャージャー麵: 広告ながすぎだろこのｇｍサイト
[72.038] 苗木: ニコ生通知来てないぞ！
[72.226] chikuwa2323: 誰待ち？
[72.482] roooot7777: よ
[72.549] (S)gorochan_893: 義務Twitch
[72.730] コガネ: 仕事きたあ
[72.806] starkk314: ニコ生とかいうオワコン早く捨てろ
[72.816] kamedama: よお64ハンターバトラ
[73.125] iris9120: 義務ツイッチきｔらああああああああああああ
[73.371] (S)みやぢと申します: おい
[73.690] sakekasuman: ギムラ
[74.497] valora324: BloodTrail
[75.335] yuten_p: リスナーの前なら漏らしても大丈夫だよ
[75.452] 古のインターネットに取り残: ニコ生ならなぁ
[75.986] gaku0x0: ニコ生キッズわらわらでｸｶ
[76.837] (S)oogami0000: 999連勝してる人がいるのに10連勝で満足するんだふーん
[76.915] inu_uoaoj: DinoDance
[77.133] 炙りエンガワ: どっちもどっち
[77.324] foxsoxrolex: 待ってるよー 
[77.541] (S)namanieru: ニコ生とか嘘つくのやめてね 
[77.734] mannmann333: なんでニコ生じゃないの？
