[1931.040] 東北のスロカス: あなたさぁｗ
[1931.872] (S)areg392: umeFail
[1936.058] rtmt: パラノイア格
[1940.189] muryokuka: 格の違いをね
[1942.257] ぺんばー: 本能が戦いを求めたんだよ
[1955.123] しゅごいよ: 赤信号はわたるもの
[1957.292] maemaemaema: アビは？
[1958.854] daikuhji_xxx: スパ２Xのめくりバルセロナにおきあがり昇竜も逆ヨガフレイムだったっけ
[1962.217] カエル君: 現実を見せましょう！
[1982.929] tarako7016: これ負けるやつだ
[2002.692] cubgasukidesu: ステーキバーガーに負けないで
[2029.538] カエル君: 昇竜一閃
[2139.545] (S)canon_203: 昨日のトパンガでマゴさんも同じような事言ってたね
[2222.461] maemaemaema: 波動拳が
[2237.622] カエル君: 戦いの中で選択肢を探し出すのすごい難しそう…
[2237.807] (S)alexj0085: evo17GG
[2245.623] へんたいりゅー: 折笠さん全然攻めてこなかったのでマイク結構歌えました
[2266.553] kitagawakun: 折笠さんがやってるのはアクション要素に近いよね。アークゲーは結構そういう色濃いけど
[2278.004] (S)canon_203: へんたい兄ぃ
[2302.073] hadogamosenpai: chiYo
[2343.884] カエル君: 鬼が二人
[2352.220] panorama1013: これは負けちゃダメでしょ
[2358.616] kitagawakun: 「仕事じゃねえんだ。もっと好きにやってみりゃいいさ。せっかくの『遊び』じゃねえか―――」 ってオゴウさんも言ってた
[2373.385] (S)canon_203: お、さっき是空さんに勝った人だ！
[2383.003] tarako7016: 右の豪鬼強そう
[2387.604] 先日助けてもらった鶴です: 内容教
[2389.150] (S)シュレ: shinobism
[2409.158] カエル君: 読み合いは結果論
[2414.066] panorama1013: 自己顕道場作って～
[2444.477] hocyan: ももち道場の人か
[2454.615] Stay_Hydrated_Bot: stayhyBottle
[2454.825] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[2473.298] muryokuka: シノビズムVS自己顕示欲TV
[2495.746] dominix111: 豪鬼の歯真っ白できれいだな
[2505.653] ort12345: ゴールド行ったら卒業か
[2505.760] cubgasukidesu: ハンサムガンバ
[2506.379] lucyjojo: はいれる～～～
[2509.719] panorama1013: ふ～道場でもええで
[2519.886] (S)varoshi: 折笠さん、beasttvの看板を守ってな。
[2519.924] kitagawakun: 格闘家は歯が命
[2537.843] aobara0208: 暴れるか、投げ抜けるか、後ろ下がるか・・・
[2542.349] aobara0208: こんばんは～！
[2560.717] sonnsong: おお
[2561.823] (S)areg392: umeStare
[2566.839] madaraindra: すげー
[2567.532] (S)canon_203: あおばらさんや
[2569.902] yuji_game: さすふ～
[2577.447] サカザキ: 勉強になります
[2580.658] (S)danny_love_danny: 道場作りましょう！
[2582.351] ちゃんたく: なるほど
[2587.400] panorama1013: 折笠を倒したい？じゃあスト5やろうよ
[2588.334] emuemue_mm: なるほど...
[2598.165] k2924n: めちゃくちゃ勉強になる…
[2620.375] aobara0208: 起き攻め時やガードさせたときの動きはまじで見たほうがいいよね
[2646.991] tarako7016: ゴールド以下の道場いいなぁ 言うて初心者道場お互いが初心者のとこ多いから楽しいけど、上手くなってるのかよく分からんのよねw
[2671.635] カエル君: 自分の状況を見るだけで精一杯だ…
[2689.009] サカザキ: トリガー２かっこいいね
[2698.047] panorama1013: 画面端鬼やんけ
[2740.569] (S)canon_203: こういう状況で向こうのトリガー潰しも考えるのかーむずいー
[2742.118] tarako7016: 豪鬼のトリガー2わかんね
[2775.147] cubgasukidesu: はめられた
[2793.803] HyperSouL_gamer: Hello. Big fan!
[2820.695] Guest7000: Lord Daigo
[2834.780] mynsh: 草
[2837.412] カエル君: セルフ実況しながらがいいとも聞いたことある。そんな器用なこと出来ないけども
[2886.808] HyperSouL_gamer: Great
[2893.595] panorama1013: じょーじ
[2910.740] aobara0208: ベガは攻められてるときの連携の癖を見るのが大事だと思ってる
[2916.823] HyperSouL_gamer: Yes
[2939.822] しゅごいよ: 助けてｗ
[2947.775] mynsh: 走馬灯は草
[2953.611] cubgasukidesu: 死ぬパターン
[2961.229] lucyjojo: しゃべりながらきついｗ
[2972.730] dan4909: チョップがでたｗ
[2976.266] カエル君: インフェルノ！
[2980.105] ちゃんたく: こういうの出してみるｗｗ
[3024.585] panorama1013: 投げられそう
[3139.766] (S)canon_203: すごい
[3148.655] (S)diego_ohunabara: umeGross
[3149.238] sakuyo13: 癖読みの重要性に気づかされる放送
[3160.169] カエル君: すげぇ
[3187.512] (S)canon_203: おしい
[3191.274] maemaemaema: 欲張りコンボw
[3193.423] lucyjojo: 勘弁してｗ
[3206.643] cubgasukidesu: もー
[3238.081] ちゃんたく: ほんと険しい道やなぁ
[3239.233] (S)canon_203: 中上級者 
[3262.314] カエル君: この段階でまだ中上級者か…
[3286.992] cubgasukidesu: 人生で何を選ぶぅ？
[3293.136] MiPapiiChulo: jiyuna how do they pay u for this?
[3300.081] panorama1013: アサクリ
[3325.283] (S)canon_203: umeParry1
[3346.950] cubgasukidesu: 今日はブロンズ？
[3360.772] ちゃんたく: 1500以下のアドバイスは楽しみ
[3360.940] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[3375.781] panorama1013: 鈴木さん元気？
[3387.877] MiPapiiChulo: i wasnt asking how much they pay u btw but sorry
[3394.342] shiroyashazd: HappyJack
[3395.612] (S)canon_203: めっちゃ共感できるランキング
[3405.065] muryokuka: 就活帰りおるな
[3408.976] kr4ftwerk: JANKEN 日本に伝わる暗殺術 
[3411.537] (S)danny_love_danny: 女性がふたり！
[3411.581] MiPapiiChulo: maybe redbull yea
[3418.527] maemaemaema: おばちゃん！＿
[3419.910] (S)canon_203: 女性プレイヤー
[3420.473] sweetcakesttv: Jiyuna is the venue the same as the Fighting Tuesdays venue?
[3422.085] muryokuka: ｗｗｗ
[3426.976] ちゃんたく: さす折
[3429.011] (S)spike_san: ｗｗｗｗｗ
[3432.904] cubgasukidesu: ケビンごめん
[3435.777] tarako7016: さすが仕事できない男！
[3436.376] (S)danny_love_danny: 女性みたかった
[3437.313] TUBE_MAN: 折笠ァ！
[3437.721] (S)体調不良は背中をほぐせ: エリート
[3439.236] higeshi_: リーマン
[3441.892] カエル君: 前のボンちゃんみたいな髪型の人がいる
[3447.876] (S)hosp1990: 黒縁キング
[3451.551] panorama1013: あいけん
[3456.005] ishiwata1234: 初心者講座はありがたいなー
[3464.038] (S)シュレ: 遠目でハメコさんかと思った
[3466.468] room13_tw: ラブひなかな？
[3470.328] cubgasukidesu: ダブルケータ
[3479.262] krIXw: no gameplay?
[3485.358] ちゃんたく: ヘイ！
[3502.555] (S)danny_love_danny: ！！
[3506.911] tarako7016: バンドやってた人はマイクチェックでヘイ出るよね
[3508.519] phan_tom_2015: OL guy? 
[3508.729] カエル君: らっしゃい！
[3521.493] たぬきーですね: リハスタのマイクチェックだ
[3523.765] aobara0208: コマンドいらないキャラは初心者向け！
[3534.975] cubgasukidesu: いいですねー
[3544.415] shibaponz: まぁワンボタンで昇竜出せるのは確かに強いぃ・・・
[3544.990] panorama1013: ボッスンかぁ
[3569.976] (S)canon_203: へー
[3570.982] こんふれ: へぇー
[3576.020] shibaponz: めずらしい
[3586.547] sakuyo13: なるほど
[3594.517] Stay_Hydrated_Bot: @daigothebeastv 
[3598.940] (S)canon_203: ベロレン
[3599.596] metoro3: 水おじ
[3607.052] こにちは: ヴァルろーれん
[3609.450] orange88: そっちのがいいかもしれん
[3610.603] (S)シュレ: へぇ
[3623.304] (S)canon_203: スフィアでブルが飲んでみたい
[3631.356] tarako7016: 初心者配信はいろんなやり方の人がいていいね
