[396.591] BendingMachineX: ウメちゃんおらず？
[399.600] NekoPunchKick: 三原さんいますか？
[399.822] sora_neko09: アンドリュー、久しぶり
[406.467] (S)lstang: ゆらぎあるの？
[415.681] always_1_3: 配慮はする
[415.780] bobumakihara: ライン
[415.907] thousand_masao: ｗｗｗｗｗ
[417.184] fliege1515: いいでしょそこはｗ
[418.619] cerometal: 波動拳って言いにくいは草
[419.066] kurage88: "いいづらい"
[423.904] kamisimeru: 押せ押せオセ
[424.031] metoro3: いいづらい
[427.932] (S)AtomPeter: ライン越えｗ
[435.557] psionicpsi: プログレスト5にも来ないかな
[435.694] (S)kemononeko: そこにラインが
[437.529] 金ゆで玉太郎: 波動拳はライン
[440.936] inoitami: あれ、マゴいないの？
[449.405] kokatoris: ハイスコアガールか
[453.752] kamisimeru: ほんと言いにくいな誰だよそんな言い方するやつ
[454.120] poke321: ウメちゃんさぼり？
[469.068] cerometal: プログレッシブ1択でしょ
[472.947] tebasaki0628: イラストは良いのにな
[476.700] ta3z_: ラインｗ
[488.678] (S)kemononeko: ラインすぐこえる
[489.767] kamisimeru: プログレッシブでやってや
[494.105] (S)domontyan: カプコン許すまじ 許してやれよーー
[506.410] (S)hato_pizza: モデリングもいいと思う
[509.124] kurage88: ｗｗ
[510.998] psionicpsi: 仮名うってｗ
[511.537] mukade3: もうりょうかせんだっけ
[512.827] always_1_3: 硬派オブ硬派
[515.270] sirucchi: きちいｗ
[515.537] namenamekonkon: 硬派
[517.411] dwbh0220: 硬派
[519.989] (S)lucita_lapita: だめだし
[521.470] (S)kemononeko: コマンドでないのか
[522.314] (S)sugarsato_: こいち？
[523.456] (S)kumatedd: なんか鉄拳みたい（ニワカの感想）
[523.785] (S)amicitia07: 攻めるね～ｗ
[523.789] 金ゆで玉太郎: 中立
[528.694] metoro3: 勉強させていただきます
[529.913] (S)ほげええ: 勉強になるなぁ！
[530.094] keitora999: 硬派だから
[530.580] 二丁目: おもろｗｗｗ
[531.629] (S)kinpren: 見本用意しろよなぁ
[531.720] (S)kemononeko: disじゃない 事実です
[534.172] charcoal_filter: コマンドで表記してや
[536.091] always_1_3: プリンしかない昨今に煎餅ゲーム作った
[536.691] (S)lucita_lapita: 漢字テストかな？
[537.003] kokatoris: 私立ジャスティス学園3で良かったのにな
[537.254] kamisimeru: コイチ押してけここ！！
[540.449] lutz001: 真空？
[550.139] kurage88: なるほどね？
[552.995] cerometal: 問題のひとつｗ
[557.775] (S)sugarsato_: 硬派すぎる
