[29.627] T7K2Y: やあ
[1143.805] 新ころりん: 梅ちゃんこんにちは
[1148.893] (S)wakkyie: 死なんと思った
[1153.377] ましゅダヨ: え？へる
[1155.657] chadiiiiiiiiiiiiiii: へりすぎぃ！
[1158.287] johndoe6523rp: 人によって変わるみたいだけど1〜2Fみたい
[1158.489] takahashiseigi: アドリブコンボか？
[1161.034] CARNO_JPN: へりすぎ
[1165.043] ましゅダヨ: ちょ……
[1250.120] ugigigi: 俺は2F程度の遅延では体感出来ないので関係のない話だった…
[1259.094] v_harumi_v: ｗ
[1264.262] ugigigi: で、出～！
[1265.161] (S)yukikaze083: ｗｗ
[1266.756] ましゅダヨ: えいたはいつも心に
[1267.550] クラクラ777: 栄太キック
[1273.030] ねりまん: ウメちやんネモにお祝いあげるの？
[1275.907] 浅草ガッツマン: えいたありがとー
[1277.490] maddy2623: ウメちゃんえいた好きね
[1279.318] Loytory: ルーク戦うまいなぁ
[1279.983] (S)ドン坂本: umeOreda
[1280.512] yasubewe: A太さん(仮名)
[1281.159] imnotagodx: Clap
[1283.007] (S)軽く捻るか: えいたさんありがとー！
[1286.336] v_harumi_v: えいたさんのキーック！ 
[1286.941] bunbun0880: ながたキック
[1291.433] Hikaru_256: えいたの技をラーニングしたか
[1291.652] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1294.890] 新ころりん: そういやネモさん結婚か
[1296.293] にゃんだろーりんぐ: ネモさん結婚したね
[1297.345] ましゅダヨ: えいたもよろこんでる
[1300.464] roi3s: ネモさん結婚したのか
[1301.257] chromavalue: 心に棲まうえいた
[1304.362] takahashiseigi: 海外勢続々来日中
[1304.550] 000105: 幻影
[1309.181] ugigigi: 再婚か
[1311.098] v_harumi_v: ネモさん、結婚おめでたいですね
[1311.748] tama_zx61: えいたさんのご加護
[1315.377] ましゅダヨ: ふぉ！？ネモさん結婚！！！おめでたい！
[1315.849] SmilingTigerTK: water in redbull?
[1317.214] 桃田社長: おめでたい
[1323.460] ましゅダヨ: wwwwww
[1325.572] 新ころりん: マジです
[1325.688] 桃田社長: ！？
[1325.927] fbhjkl: WutFace
[1326.632] 浅草ガッツマン: さすがに？
[1327.576] (S)軽く捻るか: ｗｗｗ
[1327.689] jankboxtt: www
[1328.270] シャンウー: おーー
[1328.354] ましゅダヨ: しらなかった……！？
[1328.593] goozy009: 知らなかったの？
[1328.896] hawawawawawa: 今知ったのｗｗｗ
[1328.920] イエール: 今知ったの？w
[1329.397] v_harumi_v: 驚き！
[1329.633] donekofg: 今知ったかー
[1330.073] chikotsu: umeYay
[1330.201] れの__: 知ってた顔で草
[1330.439] もきち555: しらなかったーｗ
[1330.607] くおお: ！？
[1330.612] ペプシ男: ええ！？ｗ
[1331.334] takahashiseigi: というか再婚
[1332.052] クラクラ777: え？しらなかったの？？ｗ
[1332.312] k_rizky: ｗｗｗｗｗｗｗ
[1333.643] koga_rashi: 知らんかったのかww
[1334.493] maddy2623: 知らなかったんかいw
[1334.879] 桃田社長: なうだったｗ
[1334.881] ashi_xxx: 過呼吸
[1335.076] pepepe393: しらなかったの？！！！！？！？！？！
[1335.082] シャンウー: 再婚をはたした
[1335.164] alice_in_jp: 知らんかったの！？
[1335.167] johndoe6523rp: 知らず？
[1335.367] ikageso5: 知らんのかーい
[1335.787] shiro_risu01: ！？
[1336.049] peroperoperorincho: 今！？ｗｗｗｗｗｗｗｗ
[1336.111] (S)kakutora_no_o: あ，知らんかったの!？w
[1337.661] umanabe: そんなびっくりすることあるｗ
[1338.088] イエール: 緊急動画
[1338.351] tikkushow: 知らなかったの･･･？
[1338.561] ましゅダヨ: wwwwwwww
[1338.847] 新ころりん: 今のはガチで知らなかった感じだなｗ
[1339.177] Hikaru_256: 動揺しちゃうやんこんなんｗ
[1340.148] (S)yomoyansan: 過去一のビックリでワロタ
[1340.239] 4きね8: 知らなかったんだｗ
[1340.965] れの__: 知ってたにきまっとるやろｗ
[1345.902] kodue55: めっちゃびっくりしてて草
[1346.007] salifuas: スピーチ考えといてな？
[1346.503] ppns123: 王、知らず
[1347.605] 000105: 知ってましたよ
[1348.573] ましゅダヨ: 反応最高かよwwww
[1350.579] にゃんだろーりんぐ: 再婚だけど
[1350.758] peroperoperorincho: 大声で草
[1352.767] ようちゃあああん: 結婚したのか俺以外の奴と
[1352.999] donekofg: 何年か前にまた結婚したいって言ってたから嬉しいよ
[1354.765] CARNO_JPN: 驚きすぎて草
[1356.438] ましゅダヨ: さて、スピーチかな？
[1356.644] goozy009: Xで発表してたよ
[1357.682] tekkon1989: ご存じなかったの!?
[1358.158] y_proto: 王にお目通し無しで結婚出来るの？
[1358.884] kahaku91: ヌキさんのTwitterも乗っ取られたよ
[1359.271] pondenring0930: 緊急で切り抜き
[1359.322] takahashiseigi: 再婚ですからね
[1360.365] umanabe: 流石に知ってるでしょｗ
[1360.466] 桃田社長: うーむめでたい
[1363.034] だいこん_: umeYay
[1371.644] ましゅダヨ: うめちゃん人狼か？www
[1380.564] nan4mi66: マージかい
[1385.307] johndoe6523rp: ネモさんフォローしてないか
[1389.711] peroperoperorincho: ｗｗｗｗｗｗｗｗ
[1390.235] pepepe393: ネモさんってバツイチだったんか
[1390.891] one596: オフで会う事も今ないし連絡なくてもまあ
[1391.925] ましゅダヨ: まじのwwww
[1392.957] ashi_xxx: あら
[1393.256] だいこん_: 聞いたなら覚えてるでしょさすがに
[1393.929] donekofg: プライベートのことだしまぁ
[1395.099] ppns123: 興味なし、か
[1395.238] CARNO_JPN: ネモさん、再婚
[1395.302] umanabe: マジですかｗ
[1395.831] クラクラ777: がちじゃんｗｗ
[1396.261] 桃田社長: 忘れてる可能性
[1396.969] alice_in_jp: ガチぃ？
[1397.085] (S)wakkyie: またまた
[1403.318] hal_2a: 入籍なんてわざわざ言わないでしょ
[1404.569] イエール: マジすかw
[1404.786] ましゅダヨ: ちょ、ネモさーん！ww
[1406.630] gold_power1969: ブランカならいけると確信したか⁉
[1407.870] 新ころりん: これは忘れてるだけの可能性あるぞぉｗ
[1412.640] nan4mi66: 今回も結婚式は私服かな?w
[1413.478] (S)wakkyie: さすがに？
[1414.505] にくピンク: ウメちゃんに報告あらず？
[1416.319] 000105: 式にはきれいなＴシャツ着ていかんと
