[219.080] weeep1: 第2回の話今したばっかりやｗ
[221.542] zyangara2: 今回はセーフだったけどいつか事故りそうで怖い
[222.310] cj_kaz: 某虎みたいな金金って感じじゃなくて良かったよ
[225.005] mifune1046: ササモのワードセンス光ってたなぁ
[228.784] tsukikage_saga: ウメちゃんお疲れ様でした！楽しかったね！
[229.047] 24ButtonPad: 24ButtonPad subscribed with Prime. They've subscribed for 15 months! 
[231.707] butitibu: 梅ちゃんおは
[232.231] erisuk: 何にちなんだんだ・・・
[233.479] aranami0: 愛、やよ
[233.903] (S)maya_g01: はじまってた！こんちは～
[234.826] icyblue1985: イラストレーターさんとササモくん推しだなぁ
[235.847] (S)yamato925925: あれ見て、出ればよかったと思っている人多そうね
[235.851] pondenring0930: 多種多様で濃すぎたね
[242.969] sahaha213: 国籍を奢る
[243.039] kami4genjin: 俺を穫れってタイトルは変えるべきだと思いますよ
[244.799] momiji4431: 昨日はお疲れ様でしたー
[246.506] tekiro800: データ分析の人は何かしら絶対重宝する
[246.820] pianoniisan: ノーモーションの安心感
[250.235] market_fujisaki: あーw
[251.859] コークマル: ごめんなさい、聞き逃してました！
[252.120] edgawatinpo: 格ゲー関係ばっかで両脇の斧かわいそうだったな
[254.169] (S)echizen2000: 緊張しすぎ
[254.543] (S)sabotenn6: あれは気の毒ｗ
[256.434] zyangara2: ガン不利
[259.050] (S)maya_g01: 一発目だもんねえ
[263.233] weeep1: まあ浅かったからしゃーない
[266.477] erisuk: だいぶ不利だけど後でもかわらんやろｗ
[275.626] mifune1046: 一人目かわいそうだったね
[282.585] dj0d4y4k4: お任せ感はあった
[284.212] (S)まとご: 10万も使ったのにねー
[284.424] basketman_link: ちょっと疑問なのは応募すれば基本出れたんでしょうか❓
[287.295] market_fujisaki: 確かに
[289.826] blueplanet96: こくにぃね
[292.191] 蜂熊: 風呂あがり？
[292.345] erisuk: みんなが何をしたいかが聞きたかった
[295.668] セツリ: お金出してくれ、の部分を求めてる人がいたけど斧が見返り求めてて、まあきついだろうなと
[302.647] prototypeie: 感謝の昇竜拳
[303.145] (S)redpeppar510: 配信車で災害現場にいくんだっけ
[304.872] harumaki040212: まだ連載終わってないのに
[313.268] weeep1: 連載終わるまでやれ
[317.461] zyangara2: スト７出るまで昇竜拳
[318.722] mifune1046: マジでやりきってましたからね
[321.368] (S)mac011400: 何かしたいじゃなくて何をしたいか明確にしてほしいよね
[328.124] maddy2623: 糖尿病の人は配信やったら人気出そう 古き良き個人配信の匂いがする
[328.723] erisuk: バズったって言うけどもただの運だからね
[337.050] (S)mart_00_: ウクレレ？
[337.587] shio_kasegi: 見返り求めるのって事前に言ってたっけ
[337.884] Loytory: ウクレレにぃ
[338.026] tabibitox: ウクレレ？
[338.913] (S)4きね8: 再度連載再開までやります！でもよかったｗ
[338.934] (S)Akyu_sss: スト7出るまで感謝のソニック
[341.126] rt340: ウクレレにぃか
[341.680] RA005211: こんにちはー。結論ない人は確かに多かったですねー。
[342.927] セツリ: 頭の先から足まで舐めていい
[344.619] kakane0908: ササモはよかった
