[221.375] tadanomegane: クッソ画質いいな
[222.629] (S)Skyhi_20: デブカルビだ
[223.210] tyantse: でけえな
[223.306] さとうきび400: かわいい
[224.297] かつどどん: でかすぎww
[224.497] ssssssssszx: デブ
[224.663] Karaage9_9: かわいいー
[224.878] 名前変えた: ボド子
[225.038] blues_lovee: かるびかわいい
[225.077] できるよ: いいなぁ〜！
[225.240] chico_10kn: タイトルに惹かれてきました
[226.342] (S)激ローメタモン: いいな！
[228.342] うしおツヨシ: かわいい
[228.762] よしくん0604: いいなー(*´・∀・｀*)
[228.792] lion_oo6: デブチ
[231.372] (S)yama_mura: いいなー
[232.240] namanama99: おいす
[232.684] ~MISSING_COMMENTER_INFO~: 肌綺麗やなw
[232.895] かつどどん: かなりいいなw
[234.580] よしくん0604: karubisDebu
[235.389] yosuke131259: どんどんひこ
[235.759] (S)y_a_a_a: 脂身ホルモン
[236.077] たゆた0211: 存在感あるーかわいい
[242.251] starlord468: vodkav2Angryvdk
[244.612] 2です: www
[245.758] (S)Skyhi_20: 流石にな
[247.086] yosuke131259: かるびかわいいもんな
[248.237] mew3v: アニョハセヨ
[250.655] ミイナさん: モンストみたいにお前の口から出てるみたいにできないのか
[252.219] ayane9532: りりむは？
[252.439] 電気マツモト: かるび大好きやん
[253.211] 名前変えた: 楽しそうやねwww
[254.667] danimusi: 優しい
[259.574] たれぞう123: vodkav2Good
[261.186] 臭めのこかりん: アムの餌になっちゃっう
[262.420] metofan3150: かるびらしいな
[265.207] 爽来: ハルtsmやめたね
[266.372] なお70: かるびちゃんはかわいいねー
[267.556] ゆんちゃん〇: りおんさんのクッション噛みまくってたのおもろかった
[267.700] ひらしゅう: あげるじょ〜
[267.848] しゅてぃお: ゲーム音下げてくれ
[268.571] tamaki95442: ええ女
[269.488] popin1031: popin1031 subscribed with Prime. They've subscribed for 16 months! 
[273.305] (S)激ローメタモン: カルビの将来の夢は、ボドカになることだからね
[277.156] mew3v: ダークゼロな
[279.065] non_438: w
[279.284] 名前変えた: スパレジェ出るん？
[281.108] 金欠限界大学生: www
[281.313] kanditch: DZ強すぎ
[282.691] さとうきび400: ｗｗｗｗｗｗｗ
[283.912] Karaage9_9: えなこやろ？
[284.593] rita_hosino: ハル配信で泣いてたの初めて見た
[285.899] cheeseUnadon: え、ッ支部ハルじゃなくて？
[286.823] ~MISSING_COMMENTER_INFO~: wwww
[287.252] lion_oo6: ハル泣いちゃった
[289.632] kimpii_o: 最強チームできちまったな
[291.230] (S)Skyhi_20: チームは未定らしいね
[291.472] taranji05010501: ぼどいけめん
[293.603] yosuke131259: ダークゼロに加入
[294.246] ripslyme99: 下げるの草
[298.307] しゅてぃお: ありがとう
[300.474] tamaki95442: そっちのハルね
[303.110] yutometo: スパレジェほしい
[305.072] あねったいた: 強い方の名
[305.303] lion_oo6: 弱い方の
[305.512] Karaage9_9: w
[306.826] kingu196: そっちか
[308.897] mirror7968: そっちのハルか
[309.450] suke_chan_chan: RIDDLEのロースターが早く知りたい！！
[309.862] coe_ms: ずるやん
[309.894] kanekon: 渋谷ハルの一人勝ちやね
[310.858] lily3nari: つんよ
[310.972] kazaha_zazazaxf: チームえぐい
[311.744] あねったいた: つよ
[312.876] arlingtonnnnn: つんよ
[313.102] blues_lovee: ずるやん
[313.920] 電気マツモト: あのドリームチームなんなん
[314.181] kaipanman062808: リドル@1だれなん？？
[314.618] 0ikos365: わろた
[315.935] (S)warawanaiman: 強すぎやろそのチーム
[316.149] 名前変えた: 渋ハル
[316.832] kan___a: 最強やん
[317.184] 2です: ぼくがかんがえたさいきょうのちーむ
[317.303] tyankonabe3: oi
[318.360] danimusi: www
[318.555] tsu_mr: 草
[318.602] 竹輪蒲鉾_ちくわかまぼこ: こんにちは
[318.778] yuta12290117: さいきょうちーむじゃん
[318.944] iiikmiii: やば
[320.004] 伝説建設: なに飲んでんの？
[320.830] かつどどん: 勝てるチームいるのか？w
[320.925] nabiki_roizmoi: ｗｗｗ
[322.464] keeshiii84: 渋谷のハルさんしかTSMおるん
[322.659] ssssssssszx: リドルは彼が入るのですか？
[322.680] metofan3150: こんな態度しといてちゃんと意見聞くのおもろい
[323.382] mew3v: 渋ハルが競技シーン参加
[323.866] nats60: あ
[324.042] (S)mista1l26: へ、しこ
[324.206] nanini_3: 何飲んでんのー
[324.569] iiikmiii: wwww
[325.035] aa134aa: 誰が勝てるねん
[325.545] あねったいた: TSM見捨てられたのか
[325.557] (S)edabstyzmnabrskl: あ
[326.192] lily3nari: うん
[326.385] 爽来: はい
[326.869] maspr55: PAD?
[326.939] かつどどん: あ
[327.064] coe_ms: 21
[327.100] lion_oo6: そういえばそうだった
[327.745] うしおツヨシ: しりたい
[327.961] kimpii_o: 21
[328.034] グラル87: あ
[328.420] 爽来: へ、しこ
[328.827] (S)Skyhi_20: な、お
[329.079] t_taru: repsとエヴァンどうなるんや
[330.830] narrowta: うみちゃん！！！
[330.956] yosuke131259: デマで遊んだ時ダークゼロ入るとか言ってたのが本当になった
[331.047] tyanchi_i: だ、そく
[331.096] (S)激ローメタモン: 🫣
[331.107] らすてぃぃ: お
[331.188] (S)warawanaiman: 決まってんのかw
[331.274] nakajima10: ゆきおと喧嘩したってほんとか！？
[331.394] 電気マツモト: なおさん
[331.489] kazaha_zazazaxf: そうなんだ
[331.980] kanditch: 渋ハル？
[332.390] (S)Skyhi_20: 21
[332.534] (S)edabstyzmnabrskl: リーク界隈
[332.607] tamaki95442: 21
[332.714] kanekon: 普通に知ってるからええで
[332.894] コフーライ: 21
[332.929] 名前変えた: え
[333.016] あねったいた: お、え
[333.167] itijou_: やぁ！
[333.191] blues_lovee: お
[333.308] ssssssssszx: リーク
