[7.900] (S)shi_a__: おかえりー
[3789.495] Light__77: 西成行きました
[3790.107] ポテト芋: 大阪USJ、名古屋レゴランド
[3842.237] DAI260810: 配信モンスターにも程がある
[3852.815] sabre1682: アダバナ
[3876.966] sabre1682: 大岡越前www
[3910.207] sabre1682: 必殺仕事人ではなく
[3919.441] (M)墾田永年私財砲:  【DP投票開催中】1ラウンド目の終了時点で投票を締め切ります
[4028.624] (M)墾田永年私財砲: eスポーツ合宿かあ
[4041.018] sabre1682: 近大生の可能性はある
[4149.466] (M)墾田永年私財砲: んｃ
[4152.107] (M)墾田永年私財砲:  30秒後に予想〆切
[4262.720] hausumf: こわ
[4329.160] sabre1682: おc
[4338.174] 狐573398: おｃ
[4399.221] sabre1682: うまい
[4534.889] kaidogames_shun: 1 raiders from kaidogames_shun have joined! 
[4561.103] sabre1682: www
[4561.542] leaf1341: ｗｗｗｗｗｗｗｗｗｗｗ
[4575.992] sabre1682: サイト内1人減ってるだけだw
[4780.763] (M)墾田永年私財砲: ギスラント
[5013.646] sabre1682: ついに刺さった
[5017.573] (M)墾田永年私財砲: こくラッチ
[5026.796] hausumf: 成功体験をつませてしまった
[5027.256] manydai: よーし
[5200.190] sabre1682: 良いモッシュだ
[5540.294] sabre1682: トリプル取ろう
[5557.925] タフタフ: 大御所ギスラントやんけ！
[5679.467] sabre1682: QBK
[5699.292] sabre1682: へなぎサイクロンも見えてきた
[5874.265] sabre1682: もくヌキ
[5925.256] Matetya: w
[5929.321] leaf1341: こく・・・ｗ
[6062.433] (M)墾田永年私財砲: んｔ
[6069.245] sabre1682: おc
[6225.606] sabre1682: 梅サイ良いよ〜
[6299.030] (S)マイアミは情熱に満ちてる: マイアミは情熱に満ちてる subscribed with Prime. 
[6412.895] (M)墾田永年私財砲:  @マイアミは情熱に満ちてる さんPrimeサブスクありがとーー❗
[6538.699] manydai: ないすううううう
[6580.335] sabre1682: 今日は火吹いてる
[6643.784] (M)墾田永年私財砲: 十字作るナイスゥ！
[6666.755] (M)墾田永年私財砲: cagdogGg
[6670.521] leaf1341: こく兄かなり活躍してたなｗ
[6693.575] sabre1682: モロちゃん選手良かったね
[6748.025] (M)墾田永年私財砲:  【クソキャラ列伝】サムスピ天草降臨 羅刹タムタムを解説！  https://t.co/eg6sJJL1HN  6/15 (土)20:00～プレミア公開
[6793.356] gengenmaicha: 右上のポイントカンストしてます？
[6841.926] (S)田中脊髄剣田中: 寝て起きてきてもまだ配信やってる…
[6858.461] (M)墾田永年私財砲:  【DP投票開催中】1ラウンド目の終了時点で投票を締め切ります
[7075.369] (M)墾田永年私財砲:  30秒後に予想〆切
[7092.608] toto3210119: おはゆ～
[7255.815] (M)墾田永年私財砲: 返り討ちのこく
[7276.780] sabre1682: 超異次元なん？
[7294.483] タフタフ: 暗黒空間に飲み込んでやる
[7375.012] タフタフ: イオンヴァンダル珍しい
