[45.987] ユン夛: わこさかー
[46.033] alicexxx7: わこさかー！
[46.041] usamochi__: わこさか〜
[46.053] ちぃえ: わこさかー
[46.181] えなえなまる: わこさか！
[46.187] miinaaat: わこさか
[46.255] monaca_mppn: わこさかー！
[46.261] Bonjori_2525: わこさかー！
[46.297] taki_k5: わこさか〜
[46.410] (S)b_chizu: わこさか
[46.422] (S)なみこさん: CRフェスお疲れ様でした😻♥️
[46.428] 優秀ちゃん: わこさか！
[46.622] arinnzi: わこさかーーー
[46.798] asari__misosiru: わこさかー
[46.930] クロマメアリ: かみさか
[46.942] lfkjz: わこさかー！
[47.154] paseri68: わこさかです！
[47.168] (S)rain_sukonbu_sw: わこさかー！
[47.190] tamunika: おつかれさまですー！
[47.452] jinro124: わこさか
[47.583] misaki2008yo: お疲れ様！！！
[47.641] minonu_: わこさか〜！！！！
[47.657] tnmooooooo: わこさかーーーおつかれ！！
[47.657] naaars2: こんばんは！！
[47.683] (S)c_ha22: わこさかー！
[47.769] ルアン2268: わこさか〜
[47.797] しーぷ太朗: わこさかー！
[47.797] sakusaaan: わこさか！
[48.137] りよーか: わこさかー
[48.267] homamikisaaaaa: わこさかーーーー
[48.338] うた_: フェスお疲れさまでした〜
[48.358] yorunun: わこさか
[48.509] (S)あふかふ: わこさかー
[48.523] kaaaaa1024: わこさかー
[48.573] (S)kawakawa23: わこさかー
[48.597] (S)io_ne55428: わこさかです！
[48.712] (S)にぃぃぃ: わこさか〜！
[48.726] 獅子まる: わこさかです ₍ᐢ..ᐢ₎
[48.835] (S)かぐらちゃん_: こんばんはー！ Corgo500
[48.840] yoshino_kt: わこさか！
[48.890] ~MISSING_COMMENTER_INFO~: わこさかです ~
[48.930] makota2525: こんばんわー！
[49.009] (S)machika0413: わこさかー！
[49.084] (S)rampu2828: お疲れ様でしたーー
[49.132] anya_8888: わこさか〜
[49.204] a1ten0: わこさか～
[49.299] てりやき_2000: 2日間おつかれさまでしたれ！！！
[49.301] どんどーん: わこさか～
[49.307] (S)kuro_nekotan: すごく楽しかったよ〜！！
[49.378] oto_swim: 2日間お疲れ様でした！
[49.406] aco_cha: わこさかー！
[49.754] kanose217: わこさかー
[49.791] ぺぇまる: わこさかー！
[49.811] (S)どーる28: わこさか〜！
[49.892] (S)サニサーラ: CRフェスお疲れ様でした！
[49.909] mina_06060: お疲れ様です！！
[49.919] (S)07FZK: わこさかー！！
[51.210] yunmuku: わこさか
[51.300] seira_0110: わこさか〜
[51.419] (S)maruishikaku: こんばんは
[51.430] (S)momoeternal07: こんばんわー
[51.436] nxglv_: わこさかー
[51.706] mochi__32: わこさかー！
[51.744] (S)ぼっち2825: わこさか〜
[51.832] taikonota: おつー
[52.024] こちさん: わこさかー
[52.168] (S)mai_20151201: わこさかー
[52.240] ayaka_7343: わこさかー！
[52.350] (S)yuri__121: フェスロスだったから嬉しい〜！
[52.415] mro53: わこさか〜
[52.430] vavq0_0pvav: わこさかー
[52.554] nao_as: ロシアだーーー！！！
[52.626] (S)ayu_tmm: わこさか
[52.646] sekizui_0202: 久しぶりのタルコフ〜！！！！
[52.687] r1u11: こんばんは〜
[52.759] ai_crlike: わこさかー！
[52.759] (S)陽7: わこさかん
[52.811] saekamo02: わこさかーーーー
[52.846] (S)みたらしや: こんばんはー！
[53.116] motomay: わこさかー
[53.125] (S)ssqqmmee: わこさか〜
[53.395] kabocha07: わこさかー！
[53.419] toriponz_: おつかれさまでしたー！！！！
[53.596] ymd888: わこさかー！
[53.597] 雨音06: わこさかです！
[53.649] ひねこ: わこさかあ
[53.729] (S)柚_羽: こんばんはー
[53.946] (S)まる_社畜: わこさかー！！
[53.948] (S)ryoya123: 声がw
[54.148] 2otea2: CRフェスお疲れ様でした！！
[54.180] (S)daifuku9412: わこさか〜！
[54.194] まかにゃ: わこさかー！
[54.288] jagabater_02: わこさか！
[54.337] kumao__o: わこさか
[54.365] (S)ぱらぱら__: わこさかー！
[54.390] (S)yh_hiro: CRフェスお疲れ様でした、
[54.394] リィザ: わこさかー
[54.450] まぽろし: わこさか！
[54.458] kou_1213: わこさかー
[54.555] いももちキラー: ねおき？
[54.602] あづま鹵: わこさか
[54.721] (S)kainahy: わこさかー！
[54.761] (S)どーる28: どーる28 subscribed at Tier 1. They've subscribed for 14 months! 
[54.768] おはぎだいすき: お疲れ様です
[54.785] dosko_panda: わこさかー┏〇゛
[54.788] yoshino_kt: お疲れ様でしたー！
[54.900] _ひゅーす: わこさか！！
[54.902] ojou_43: わこさかー
[54.953] あぃりす: こんばんわー！
[55.099] m1chann: わこさか！！
[55.122] waga_boco: CRフェス2daysお疲れ様でした〜
[55.131] のるにる_08: CRフェスお疲れさまでした！
[55.629] katekn: わこさか！
[55.664] adv333a: こんばんは～
[55.681] (S)らうぃ: なにわろwwww
[55.710] ny_____: わこさかー！！
[55.791] (S)lily0947: わこさかー
[55.818] hachi_j8: 待ってました〜〜！！
[55.839] kagiesss: わこさかー
[55.841] minaru0304: おつかれーー
[56.266] (S)にぃぃぃ: Cheer100
[56.980] chisa_3r: わこさか〜
[57.007] pyantandayo: こんばんはぁ
[57.151] (S)ainle0_0: こんばんは!
[57.177] (S)桃ハル: こんばんは
[57.200] monaca_mppn: こんばんは！
[57.210] (S)maru_a_s_: なぜ半笑いww
[57.214] (S)nnk_pop: cheer500
[57.283] (S)naruto_1968: わこさか～
[57.355] にゃるろーる: わこさかー！！！
[57.370] miya_aki: こんばんは
[57.379] 脳汁ごはん: わこさかー！
[57.388] kurumipannnn: わこさかー
[57.392] (S)mochiwarabi_: こんばんはー！
[57.576] (S)みをみを: わこさかー！
[57.586] (S)ゆゆすけです: フェスお疲れ様でしたー！
[57.780] kagiesss: こんばんはー
[58.148] mina_06060: こんばんわー
[58.357] usamochi__: フェスお疲れ様でした〜！
[58.369] one_boll: こんばんわ！
[58.382] yukiiichi: お疲れ様でした~
[58.429] 秦沅: こんばんわー
[58.547] hayabusa0619: こんばんわーい！！
[58.617] (S)おゆぐらし: こんばんは〜
[58.638] (S)キレる17秒前: フェスお疲れ様ですううう
[58.646] (S)ゆてぃ_: フェスお疲れ様でしたー！
[58.659] saekamo02: お疲れ様でした！
[58.765] usa_mkm: こんばんはー
[58.854] sapasa: 声どしたw
[58.937] enchuchu3: わこさかーーーーー
[59.417] morizonn: わこさかー
[59.493] (S)thelothcat: わこさかー
[59.522] (S)くろばれお: フェスお疲れ様でした～
[59.625] (S)kurosuke26: こんばんわ～
[59.707] (S)imady_imady: わこさかー
[59.719] うた_: 声どした？www
[59.789] (S)ゆうひ__: Cheer100
[59.912] aadmy: わこさかー
[60.436] sogotyama: わこさか！
[60.545] (S)r1umu_aaa: わこさかー
[60.557] ゆもちゃん: わこさか〜！
[60.634] minaru0304: うっひょぉー
[60.639] 豆苗ごはん: こんばんはー！
[60.644] harunatsuuuu: わこさかです
[60.726] misaki2008yo: お疲れ様
[60.835] nxglv_: CRフェスお疲れ様でした！
[60.934] springmaple51: 寝起き？？
[60.940] えびふらいかも: 喉やった？
[60.981] uyuuyuhai: わこさか！
[61.218] 雨音06: こんばんは〜
[61.226] kaaaaa1024: お疲れ様でしたー
[61.266] 2otea2: のど、、？
[61.395] (S)かるぼなーら: 声どうした？？
[61.397] ace5503: わこさかー！
[61.401] dadatyhu: ？声どした？
[61.604] komarata: 声どうした？
[61.676] (S)luly0000: フェスおつかれさまでした！
[61.833] ponpoooo: わこさか〜
[61.854] (S)まいめろ5: わこさかですーーー
[61.874] めぐりと: こんばんはー！！！
[61.886] hakohima: ？
[62.067] yejii_i: わこさかー
[62.145] beshiaa: こんばんはー
[62.169] taki_k5: CRフェスお疲れ様です〜
[62.311] ai_crlike: フェスお疲れ様でした！！
[62.327] (S)すぴすぴすいさん: わこさか〜
[62.331] minaaaami: こここんばんわー！！
[62.364] (S)sha_8912: 声どうした？ww
[62.364] (S)brocco_lin: わこさかー！
[62.494] ﾁｲ: わこさかーーー
[62.517] るーちん_: わこさかー！
[62.522] 山宇宙: フェスお疲れ様でした
[62.738] (S)miykiy: わこさかー
[62.822] (S)maumau___0: わこさかー！！！！！
[63.588] ゆきじぃ: お疲れありさん
[63.616] (S)まことーん: わこさか〜
[63.657] (S)ちぴ_ぴ: 声どした？ww
[63.697] (S)co_oooo: 声どうしたの？
[63.845] n_n_room: 声がw
[63.848] kagiesss: あれ？笑笑笑笑笑
[63.849] Leeo0626: わこさかー！！！
