[46.645] (S)みか_미카: え？？
[46.660] (S)りんりんりんこ331: わこさかー！
[46.731] kuuu__uu222: わこさかー！
[46.839] mai0426: 1年だって
[46.842] naru_naruto: わこさか〜
[46.993] haru_aki9: !member
[47.096] Nightbot: うるか、トワさん、リリさん
[47.159] (S)tora1113: こんばんは〜
[47.221] ayakaka94: わこさかー！！
[47.301] nikonikosannn: いちねん！？
[47.530] (S)をりﾁｬﾝ: わこさか〜
[47.619] (S)はるさんさん_: わこさか！ Cheer1000
[47.738] (S)しゃぱ: ！？
[47.938] (S)anya_8888: わこさか〜
[48.047] kenjillall: わこさかー！
[48.324] (S)kiho127: わこさかー！
[48.522] (S)kazunoko016: はや！
[48.525] ikayakidayo: わこさかー！！！
[48.917] (S)七志の杜: こんばんは！
[49.070] ken0628o: わこさかー
[49.114] (S)aaa__nn: わこさか〜！
[49.188] zuruzuruppe: こんばんは〜
[49.203] ruamelon: わこさかー
[49.293] 肉巻うし丸: わこわこー
[49.490] (S)c_ha22: わこさかー！
[49.588] yu_pi5: わこさかです！
[49.811] (S)nibitashi: わこさかー！
[50.026] lpd_gecko: わこさかー！
[50.080] ankoromotixx: わこさかー！
[50.243] あぃりす: わこさか
[50.244] toma_ka43: わこさか！
[50.251] みんみんみんみ: わこさかです
[50.898] (S)まぐろっ: ね、あれ1年ぐらい経ってるの衝撃なんよね
[51.135] hamati__: このメンツありがたい！
[51.881] (S)たなか_たろう: Cheer500 わこ〜！でばやた〜！
[51.894] 甘楽ちゃん: DBD大感謝！！！
[52.679] (S)悠華___: 悠華___ subscribed with Prime. They've subscribed for 19 months! わこさかです～～！
[52.719] (S)kuzu_00: わこさかー
[52.724] 16_7niji: わこさかです！
[53.194] (S)なかじ___: わこさか〜
[54.006] (S)match131: わこさか
[54.080] kurumipannnn: わこさかー！
[54.229] myoba0913: わこさかー
[54.479] (S)みか_미카: 1年？？？
[54.590] はなるる: 1年！？
[54.663] mouhuu: そんなたってるんだ...
[54.758] rei__sgg: わこさかー
[54.976] (S)ゆうひ__: わこさかー
[55.177] nikonikosannn: 1年えぐい
[55.184] (S)rinnnn_6: わこさかー！
[55.206] naru_naruto: 久々メンツ感謝！
[55.791] matti_suiso: わこさかー
[55.937] ひゆ___: わこさか！
[56.016] (S)ayu_tmm: え
[56.416] sawatonn: わこさかー
[56.587] (S)七志の杜: 本日も配信ありがとうございます！
[56.975] miyta_icchi: dbdだ！！！
[57.165] hi_na__31: え！？
[57.296] tetorraa: わこさかー
[57.757] トリテイ: ぜんぜんこないだの記憶
[57.831] hamati__: 嘘だろ、、
[58.179] (S)しとろす: わこさかです～！配信感謝！
[58.411] はなるる: え
[58.763] (S)hachan418: わこさか〜
[59.294] (S)L__0u0: L__0u0 subscribed with Prime. They've subscribed for 11 months! わこさかー！
[59.314] yuina_113: わこさかー！
[59.350] (S)ふき__: こんばんは〜
[59.399] (S)megezoo: 1年まじかよ
[59.931] しらいしぐれ: わこさか！久々メンツ！？！？
[60.232] (S)Sekiha_C: Cheer100
[60.508] (S)komon_azarashiiii: wako—-
[61.307] (S)かんのん: わこさか！
[61.872] えびふらいかも: え？
[62.288] (S)kuro_nekotan: わこさか！！このメンバーは…！！
[62.303] (S)okome_taberu: わこさか
[62.480] sakurako_1730: 久々すぎる！
[63.126] 藻付: わこさかー
[63.144] (S)ゆうひ__: Cheer100
[63.830] lynn_vvvv: わこさか~
[63.917] 一ノ葉: もうそんな経ってるのか……
[64.039] (S)brocco_lin: わこさかー！
[65.563] (S)nibitashi: nibitashi subscribed at Tier 1. They've subscribed for 11 months, currently on a 11 month streak! わこさか〜！
[66.236] (S)michikaaa_: はやすぎる
[66.482] mic_chon_key: うそだよ
[66.870] yuta8547: わこさか
[67.070] (S)oji1chan: 月日経つの早〜
[67.438] amagurinatto: わこさかー
[67.729] (S)ngongo88: りりちゃん！
[69.521] jun4167: 1年前？！
[69.745] nannannanno: この前と同じメンバーでは？
[70.288] sara_0225: わこさかさかー
[70.474] (S)sazanami28: そんなたつのか
[70.544] (S)桃ハル: わこさか
[71.008] yunpen_: わこさか！
[71.326] sugorokusugoroku: おー！またこのメンツ嬉しい！
[72.401] haa8chi: わこさか～
[74.327] アナベル_バトー: aわこさか～
[74.552] raika0724: こんばんはーーーーー！！！！！！！！！！
[75.742] お_か_ら: こんばんは
[75.899] (S)ゆてぃ_: わこさかー！
[76.508] かりんとお: わこさかー
[77.018] (S)みにとーま: わこさかー
[78.244] marimo___1185: わこさかー!
[78.514] どんどーん: わこさか～
[78.999] (S)海緒: わこさかー
[79.228] (S)希乃0107: わこさか〜
[79.636] (S)ちか0302_12: ちか0302_12 subscribed at Tier 1. They've subscribed for 20 months! 
[79.663] (S)ゆうひ__: 約1年ぶりか
[80.105] (S)kikaaze1477: わこさかー
[80.323] (S)まぐろっ: うまうま期間だった
[81.118] LACO251: そんなに経ってるか
[81.328] (S)o__m__i: 一年あっという間だね
[81.534] (S)omo_chi7: わこさか！
[81.751] nagika61: わこさかー！
[82.270] (S)まっきまっき: わこさか～
[82.360] yatogachi: わこさか
[82.587] kao_ria825: わこさかです〜
[84.422] (S)oji1chan: トワ様wwww
[85.190] teno_ru3: わこさか！！
[85.641] (S)りあ㌨: わこさか〜
[86.875] grimgar55: わこさか〜！メンバー懐かしい！！
[88.025] (S)nqchan12: 1年も経ったの？？
[90.474] (S)쫄깃쫄깃냥이: こないだいっぱいはじめましてしたとこだと思ってた…
[91.052] (S)ゆてぃ_: 久びさのメンツ嬉しいー！
[91.849] 87hanaz: わこさか〜
[91.858] やーーま: わこさか！
[93.493] (S)野兎ネコ: 野兎ネコ subscribed with Prime. They've subscribed for 11 months, currently on a 7 month streak! わこさか〜
[93.708] willotus: わこさか！
[96.958] (S)maru_a_s_: 釣られただけww
[96.967] (S)ﾁｲ: わこさかーー
[97.855] banana39z: わこさかー！
[98.060] poto_2525: わこさか〜
[98.221] アゲサカ: わこさかぁ！！！！
[98.362] (S)5353_417gr: wwww
[98.498] asuka1717: わこさか〜
[101.925] que_perry: こんばんわ～い😆
[101.966] miricoo: こんばんは〜。
[102.159] o_ak32: わこさか〜
[104.090] (S)aureliaaa1: わこさかー！
[104.193] (S)fu4im1: ほな嘘ではないかw
[104.301] saria_0302: わこさかー！
[106.092] (S)山宇宙: わこさかー！
[106.635] (S)awato_maru: わこさかー！
[108.958] ankoro_mochi330: わぁこさかぁー！
[110.114] アゲサカ: 懐かしいメンツｷﾀﾜｧ━━━━━━(n'∀')η━━━━━━ !!!!
[113.061] datsu_3366: わこさか
[113.271] (S)nanana_daa: 一年も経ってるんだ
[113.514] (S)mochiwarabi_: わこさかー！
[113.717] (S)yum1xx0219: こんばんはー
[115.332] (S)aaaaya224: わこさかー
[119.046] (S)きめぴ: わこさか〜
[119.211] (S)ak6141126: わこさか～
[120.289] (S)ゆてぃ_: へー
[122.187] 誰カ: わこさかー
[122.450] (S)kitanohou08: わこさかです！
[124.747] (S)pui_hoshi: こんばんは
[125.286] (S)aro_ma11: www
[125.367] (S)ゆてぃ_: wwwwwww
[125.429] ryokucha47: こんばんはです！
[125.814] (S)悠華___: ｗｗｗｗ
[126.650] (S)sazanami28: wwww
[126.998] (S)まぐろっ: 待ってもう8周年？
[127.099] buchinek07: wwww
[127.198] (S)kazunoko016: wwwww
[127.925] ojou_43: わこさかー！！
[127.977] (S)5353_417gr: wwwww
[128.194] sakurako_1730: www
[128.392] (S)oji1chan: なんで？www
[129.569] (S)brocco_lin: wwww
[130.155] (S)megezoo: www
[130.653] (S)yum1xx0219: 意味わかんないかw
[130.770] アナベル_バトー: ｗｗｗｗｗ
[131.270] suziki_: なつめんだぁ
[131.823] sapiiiiio: 𝗐𝗐𝗐𝗐𝗐𝗐
[132.006] (S)りあ㌨: wwwww
[133.218] ojou_43: とわ様ー！！！
[136.044] (S)ゆてぃ_: タイミングwww
[137.538] mina_06060: わこさかん
[138.117] (S)anya_8888: 隙間w
[138.249] (S)まる_社畜: いちばんなんもないま？w
[139.023] sapasa: 一番わからないｗｗ
[139.531] (S)michikaaa_: ww
[140.637] kao_ria825: www
[142.928] nekoze_nekojita: わこさか〜
[143.120] kake_kk_: !member
[143.201] Nightbot: うるか、トワさん、リリさん
[144.043] minaaaami: うわー！このメンツすきー！！
[147.948] que_perry: DBDうれしい
[149.390] アナベル_バトー: !member
[149.439] reina_411: わこさかです！
[149.612] (S)em0622: Corgo100 Corgo100
[149.665] (S)ちゃらこ: わこさかです
[152.350] (S)キレる17秒前: ディスコ表示変わった？！(そこじゃない)
[153.142] 世界のねこ: 前夜祭的なねww
[156.841] ysm_una: きちゃーー神メン
[166.219] (S)くろぉばぁぁ: わこさか
[169.338] (S)oji1chan: ステゴロwww
[169.529] ocha_umashi: でどばだああああ
