[102.550] tosaken_010: ファイト～
[103.173] (S)Nelimonooo: きたきたあ
[103.396] (S)y43216: こん
[106.380] (S)左久良深琴: hiirag17Nice
[106.473] (S)bite_m_: きちゃあああ
[106.566] (S)yaginuma_kamo: やほ
[108.076] (S)Muuu0u0: いまきたわーい！
[108.147] (S)yukimaru0609: うぇい
[108.510] (S)れあちゃー: こん
[111.098] (S)jaika_0672: ファイトーーー！！ 
[111.395] (S)deltanonium: ボドカ真面目モードでｸｶ
[111.404] (S)ぼるち: ふぁいてぃーん！
[111.503] (S)marui_ao: こんこん
[112.000] (S)わいへいち: こんちゃ
[113.283] (S)aixxx35: チーム早すぎてわからんかった
[113.705] (S)krg_qi: こんー！！！！
[114.568] (S)かみんちゅう: やあ
[116.871] (S)z1gzagb: wwwwww
[117.078] (S)j0c0lu: 遂にk4senに見つかるか
[117.082] (S)ai_xxx_: ww
[117.102] (S)kingyo122: こんー
[117.803] (S)26cya: www
[118.044] yuung_ydk: こんー
[118.330] (S)sho637: w
[120.092] (S)ponpondango: やぁ
[120.312] (S)marui_ao: wwww
[121.008] (S)konishi625: www
[121.336] (S)tack_chika: マ！？
[121.903] (S)gyunyuma: wwwwwww
[122.173] tosaken_010: 45周年すごい
[122.214] (S)bite_m_: wwwwwww
[123.580] (S)hiyoko217: wwwww
[124.097] (S)mitametako: www
[124.423] (S)かるっぴ: ｗｗｗ
[126.924] (S)かみんちゅう: www
[128.563] (S)aixxx35: 言うんだよねw
[130.821] 七夜鴉: wwwww
[130.860] yuan_s25: こんばんは〜
[132.685] you219: 笑笑笑笑
[136.644] (S)sukomiso: ふぁいと💪
[136.799] キリ工: ボド、カス
[137.229] (S)dora218: こんー
[137.430] (S)ふぁみキチ: うぉぉぉ！！がんばれ！！！
[139.432] (S)shamoiumai: ザクかっけ
[139.681] (S)mairudo74: こんばんは
[139.692] (S)minminmint0: ツルギもおんなじくらいか
[143.990] omame0526: うおおおおお
[148.026] (S)かみんちゅう: シャアザクかっけー
[148.118] you219: ザクカッコいい
[148.961] (S)tanaka0325: シャアザクかっこよ
[149.491] (S)左久良深琴: エアリアルきちゃ
[150.848] (S)るぁ__: ほえー
[151.637] (S)shamoiumai: エアリアルいっちゃんかっこいい
[151.791] (S)マイジャグラー4: かっけえええええ
[151.898] (S)gyunyuma: かっけー
[153.251] (S)kitei33: ちわす〜
[153.799] (S)ニャンニャンこ: かっけえ
[153.864] (S)maromaro_96: こんつるぎー
[158.747] (S)siomm_: かっけ
[160.305] mErCy0109: 49
[160.449] (S)かみんちゅう: おー
[161.647] mzzzpt: ツルギくんガンダムはどうなん
[163.797] (S)yolyoltu: しっかりモデリングしてる
[170.217] (S)ariari_dayo: こんちゃ！
[170.983] (S)uzuki444: PVカッコ良かった
[171.226] (S)tya_low: やっぱシャアザクしょ！
[183.338] (S)marui_ao: はーい
[186.191] (S)まリお: こんばんはーー！
[187.652] (S)ariari_dayo: 今日頑張ってね
[190.285] (S)chemieweapon: サーチあるん最高！
[190.425] (S)かみんちゅう: ﾊｲｯ
[190.658] (S)zen2419: こんばんは～
[190.736] (S)るぁ__: www
[191.854] (S)tetoteto_3: wwwww
[193.814] (S)れもか3: www
[194.059] (S)kei04050: www
[194.287] (S)mitametako: www
[195.389] banananokobun: www
[195.515] (S)hotatechang55: www
[196.818] (S)nemuou: バラの基本
[197.260] (S)26cya: wwww
[198.129] (S)ai_xxx_: www
[198.159] (S)kibako0916: wwwww
[198.664] (S)misachinnu: チーム分け逃した😭
[199.053] (S)marui_ao: wwww
[199.228] (S)ufxnfy: hiirag17Www
[199.889] (S)gomatonyyyyunabeee: 角待ちレミたのむぞ！
[201.845] (S)mashumaroda: ｗｗｗ
[202.378] (S)odajyu: wwwww
[203.127] (S)gyunyuma: www
[203.192] (S)おちぇんだよ: wwwwwww
[203.567] (S)かみんちゅう: hiirag17Www
[203.658] (S)j0c0lu: キルコンがメインルールになるの時代感じるわ
[204.476] (S)sho637: w
[205.025] 七夜鴉: wwwwww
[205.166] (M)eirik_axe: !editcom !ara 【あらすじ】
[205.630] (M)Nightbot: @eirik_axe -> The command "!ara" has been updated successfully.
[206.113] (S)z1gzagb: www
[206.987] (S)るぁ__: 草
[207.202] (S)odekocyan: たのしみー
[212.825] (S)mint_chipss: ww
[212.988] (S)tack_chika: キレてて草
[214.496] (S)deltanonium: 運営批判やめてね
[214.593] (S)Omot1_: にょ
[215.300] (S)まリお: もう怒ってるwww
[215.650] (S)おちぇんだよ: 交流会
[216.967] (S)maromaro_96: 楽しみや
[219.102] (S)marui_ao: お願いしまーす
[225.934] (S)mei0403aaa: たのしみにしてたーー
[226.148] (S)ufxnfy: よろよろ
[227.104] 321oh: 楽しいねぇ〜
[228.985] (S)konishi625: hiirag17Fight
[231.062] (S)syunminnn: hiirag17Fight
[232.076] (S)ニャンニャンこ: 楽しみ!
[233.374] (S)まリお: hiirag17Fight
[234.918] tana_g: ツルちゃん死体撃てよ
[235.000] (S)misachinnu: hiirag17Fight
[235.395] (S)takeshirevenge: カスタム作ってるんだ
[236.807] (S)xxmiya3: hiirag17Fight
[237.073] (S)tlger18: がんばれ～
[237.757] (S)fuu5353: hiirag17Fight
[238.284] (S)shamoiumai: hiirag17Fight
[239.265] (S)かみんちゅう: hiirag17Fight
[239.725] (S)odajyu: おお
[239.786] (S)maromaro_96: hiirag17Bbb
[244.531] (S)hiyoko217: hiirag17Fight
[246.468] (S)qoo6649: たのしみすぎる
[248.698] (S)sho637: ww
[249.612] (S)z1gzagb: wwwww
[249.833] 七夜鴉: wwwwww
[250.149] (S)konishi625: wwwwwwwww
[250.297] (S)hotatechang55: wwww
[250.985] (S)umami12: wwww
[251.046] (S)aixxx35: 言われてるw
[251.250] (S)odajyu: wwwww
[251.831] (S)きのころ: じじい
[251.986] (S)mitametako: www
[252.006] (S)fuu5353: www
[252.404] (S)ニャンニャンこ: www
[252.548] A9cEL: ニューク懐かしい
[253.207] (S)かみんちゅう: www
[253.968] (S)まリお: ふるい？？？？w
[254.002] (S)iwasininngenn: hiirag17Www
[254.032] mErCy0109: 4、9
[254.234] (S)nanadesuyo: じじいwww
[254.828] (S)ai_xxx_: www
[254.864] (S)tack_chika: ジ、ジイ
[255.430] (S)kntkhs: www
[256.839] (S)konishi625: じじい
[256.966] (S)gyunyuma: おじさん
[257.082] (S)かみんちゅう: じじいwww
[257.787] (S)pinotare: pinotare subscribed with Prime. They've subscribed for 5 months, currently on a 5 month streak! 
[257.845] (S)raamen014: 🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️
[258.662] (S)kei04050: wwwww
[259.284] (S)kabochaisgot: じじい
[259.339] (S)26cya: wwwwww
[259.635] (S)sa_sya1: じじぃ
[259.809] (S)takeshirevenge: まずい
[259.846] kein_morte: wwwwwwww
[260.836] (S)deltanonium: まずい
[262.586] (S)redrumS21: ツルギやってた？？
[263.129] (S)takec1230: wwww
[264.706] (S)トバチャン: ｗｗｗｗ
[264.715] (S)ううな: ww
[264.755] (S)Muuu0u0: wwwww
[264.878] (S)bite_m_: www
[266.035] (S)hotatechang55: ま、まずい
[266.168] (S)gyunyuma: 49歳ばれる
[266.172] (S)おちぇんだよ: じ、じい
[267.409] (S)misachinnu: まずい
[268.364] (S)Muuu0u0: まずいまずいww
[269.873] (S)minminmint0: アトミック狙うか
