[544.212] (S)aryupaka: タイトル増えるのは単純にいいことだよね
[551.927] (S)Kanquez05: 6月27日発売
[553.745] まにあさん: 6月か
[556.249] (S)foxnao: お出かけ？
[556.352] えすけーえふ: ゴジラインが最速煮詰めて壇上に行く可能性
[559.304] mutuizumi: じゃんがらに住んでるの？
[559.723] (S)spring__thief: 今日20度ぐらいなんでしょ
[560.860] (S)ilm0806: ３０分くらいじゃん
[563.559] nipopo2682: ＡＩシステムは昔から妄想してたから実現したの凄い
[563.800] sasakumadrops: 空ダはそう言うキャラが出てこないなら無いんじゃないかな
[566.814] rotonz: こんにちはー
[567.015] balthazar000: 朝の優しい日差しがgood
[570.302] poyoyon915: タイトル増えすぎるのはよくないよ
[578.007] inubow: 盗撮犯だと思われてんだろうなあ
[582.221] げのじ: サムスピよりスト６はよ
[585.513] doubutsucat: 曇りが好きですからね
[589.239] (S)だわさワサワサ: SFV以外の格ゲーオファーあったら受ける？
[593.355] tep00: ＡＩが人間らしいままどのくらい強くなるかだね
[595.981] mutuizumi: 平均何歩あるいてるのかな
[596.269] harahara02: グラブルは今年出るのかな
[599.740] cafe_gondo: ｗｗｗ
[602.754] (S)ohigara: アジ？
[603.580] (S)masakiti42: 増えすぎではないだろ
[605.638] (S)foxnao: ひげ
[607.602] えすけーえふ: ふーどはグラブルやるって電撃で言ってたな
[611.370] ssss2010: 草
[611.443] love_misaki: もう汗かいてるね
[612.835] (S)Kanquez05: ウメちゃんそういうこと多くない？ｗ
[613.670] Joker_plus237: ウメちゃんらしいね
[615.220] えすけーえふ: あらら
[620.558] fapfapjpn: WutFace
[620.626] (S)ememeume: くるん
[621.414] mutuizumi: 靴買った？
[622.627] (S)ttp_hayato: トラキアやる？
[623.714] (S)Hanahiro: ベルギー応援配信おねがいします
[627.764] toyboze: 伝えてなかったってこと？
[630.221] wash4: これジンバルという器具ですか？
[637.487] cafe_gondo: どういうことなの・・・
[638.172] (S)foxnao: マネージャー？
[638.831] nipopo2682: 自分の予定じゃないんかい
[641.209] tamuka_mk: カワノやボンちゃんが行くんだっけ
[642.696] doubutsucat: 風邪で向きが変わった？w
[642.946] dora2212: 自分で決めないの
[643.529] (S)サラバア: ボンちゃん応援配信
[644.640] love_misaki: カワノ応援配信とかいいんじゃない？
[646.859] (S)あさつき教: ボンちゃんの応援しよう
[647.384] (S)壱万円札: 応援配信はありますか？
[648.119] yuu_tantan: ベルギーワッフル？
[649.146] balthazar000: 応援配信は久しぶりに見たいなぁ
[653.991] (S)shupii097: 先は長いしゆっくりした方がいい
[660.347] harahara02: サイゲスポンサーでサイゲのゲームで賞金って大丈夫なんかな
[660.546] (S)ememeume: 散歩動画はどんな感じでした？
[661.387] mutuizumi: CROCS/UMEHARA
[662.237] nipopo2682: ウメちゃんセキロやろ
[665.534] (S)masakiti42: カワノボンちゃん応援配信
[665.636] cafe_gondo: 若手が結構ベルギー出ますね
[665.836] heatup8: ジンバルの調子悪い？
[666.696] King_Fuudo: ベルギー誰がいるの？
[669.883] げのじ: カワノの渡航費ってウメちゃんが出したの？
[669.946] beastbeast: ボンちゃんでるよ
[674.219] LT123456: 応援配信楽しいんだけどなー
[674.693] (S)ttp_hayato: シレンやろ
[681.418] shiba400: CPTの日本語配信って無くなったの？
[682.673] ぼんじゅ: マゴさん今日名古屋の対戦会行くらしいね
[685.067] dora2212: セキローやろっか
[685.582] (S)shupii097: 応援配信楽しいんだけどね
[689.249] mutuizumi: アシックスで足3D計測しよ
[690.853] (S)あさつき教: とらぼもいるみたい
[694.328] doubutsucat: 散歩配信面白いです。画期的
[722.279] tep00: カワノって強いの？
[727.578] rotonz: 一人で撮ってこんな画面揺れないんだから凄いなぁ
[733.971] (S)たあぼ0126: 許可いるの？
[737.993] (S)yukkedone: 風強いねー
[742.059] まにあさん: 今日はマジで20度あるだろ
[746.437] mutuizumi: 散歩1番かも
[748.155] (S)あさつき教: 日本語配信ないからやってほしいなあ
[748.399] (S)hitorisuto: すごい久々に来ました。
[749.434] sora_neko09: アール氏Twitch退社したし，もう公式日本語配信は無いんだろうな
[757.622] (S)ttp_hayato: 配信としてうまくやるのがむずいってことね
[766.274] ぼんじゅ: 最近大会日本語配信ないからウメちゃん頼むわ
[767.295] (S)~MISSING_COMMENTER_INFO~: アール送別会
[767.988] mutuizumi: え？やめた？＜R
[768.888] tep00: 綾野がなろう小説書いてる時点でスト５終わったでしょ
[769.663] えすけーえふ: 一人はやばいよね
[770.158] toshioj: 映さなくて良くない？
[772.442] fgs55: ふ～ど呼ぼう
[775.166] (S)だわさワサワサ: 野田氏
[781.191] (S)ememeume: 昔一人でやったの大変そうでしたね
[781.229] (S)ttp_hayato: やめたよ野田氏
[784.769] (S)サラバア: たしかに休憩中とか応援する選手が出ない時間むずかしいね
[785.771] (S)foxnao: ダイエットは？
[786.022] King_Fuudo: akikiさんは交互にLINE電話でゲスト呼んで実況してたよ
[787.893] Joker_plus237: TOP8からなら楽じゃない？
[788.174] obo_006: いるじゃないっすか。最近仕事辞めた人が
[790.540] mutuizumi: 大和
[791.612] (S)yoinio: akikiさんよくやってるよなあ
[793.184] (S)spring__thief: ウメなら誰に声かけてもＯＫでるだろ
[794.165] えすけーえふ: テラスハウスにやられてた回
[795.011] (S)だわさワサワサ: 卒業記念でいいやん
[796.216] rotonz: アールさんはフリーになって、大和ササくんもフリーになったよ
[797.727] hiisan: まぁ無理に応援配信せんでええでしょ
[798.193] (S)あさつき教: アールさん呼んで話聞きたいなあ
[803.196] (S)Kanquez05: ボンちゃんがずっと配信台なら成立するんだけどなあｗ
[810.581] toshioj: フリーランスになった龍がまさかツイッチに！？
[818.441] tep00: ベルギーってヌルいの？
[818.736] rotonz: 大和はともかくササくん心配なんだよなぁ
[825.321] ぼんじゅ: 大会日本語実況ってなくなった理由あります？
[826.008] (S)あさつき教: ベルギーの現地の強い人って誰いるのかなあ
[828.192] heatup8: ジョビンさんカワノ君と仲良いから呼んでください！
[829.205] cafe_gondo: ベンとかいないの
[833.652] fgs55: Problem Xとか出るはず
[833.715] ルルーー: ベンもルフィもいるけどねえ
[835.533] cccyd: ワッフル食べて優勝
[837.250] 名無しベータ: プロブレムXとかヨーロッパ強豪もくるんじゃなかった？
[837.757] tamuka_mk: ＣＰＴ３終わって、今年はどういう流れになると予想しますか？
[843.634] (S)サラバア: ヨーロッパ勢も結構いたはず
[849.227] one596: プロブレムxいないの？
