[415.086] (S)rinze_chan: こんにちは！
[416.649] chi_chan_: こんにちは！初めてコメントします！
[421.721] ememeume: 訓練w
[428.279] lucentsnow: 辛いもの得意なやつうまいわーって笑顔でくうよなー
[430.816] beer4649: コーヒーが激辛対策にいいよ
[431.296] adam_andujar_89: OSFrog
[433.454] ぴろぴろまる: かわりにマサに食べさせよう
[439.070] tonyudx2025: 熱いのと辛いのどっちが苦手？
[439.608] daruma2597: 痔になるよ
[442.469] kitagawakun: わさびの辛さは得意だけど、唐辛子系の辛さは苦手だわ
[443.840] チョコミんト: こんにちは
[444.054] (S)user81023: ペヤングくいたくなってきた
[450.508] shshu: 今日セスは使いますか？
[452.324] ememeume: 食べた後のトイレでお尻熱そう…
[458.537] naginagi99: こにちはー
[469.249] 憂う者の弟子: Oh daigo
[471.998] syan8011: your #1
[472.355] gugugu5432: kskさんが変わりに食べる言ってましたよ
[475.551] ホナウド: KSKさんが、ウメさんが言うなら俺も食べると言ってました
[484.509] ﾃﾄﾗﾝ: この時期に激辛料理で胃腸壊して病院とか笑えんな
[487.908] balthazar000: おはようございます
[488.025] 不渡哲也: 激辛苦手なら胃や腸が荒れて免疫力下がる可能性あるので獄はやめときましょ
[488.970] beer4649: それよりテンホーダウンロードした?
[489.134] ememeume: どういう連帯意識なんw
[489.775] kitagawakun: KSK辛いの食べたらまた毛が・・・
[492.462] kumatedd: なにその一蓮托生
[496.092] ryopon96: ksk辛いのダメらしいです
[498.277] (S)zappnn: KSKは食えって言うなら食うってｗ
[499.845] natoooji: アールも一緒に食べるって言ってたよ
[503.012] reaoamiaca: なら先にKSKに食わそう
[506.355] だいこん_: 今のところカゲガイル以外のキャラって考えてます？
[508.261] (S)サメカツ1999: 言うならってなんだw
[508.978] ぴろぴろまる: 時期が時期なのでやめよ
[509.150] (S)Bakobako1234: ゆず胡椒レベルでも次の日肛門が死ぬわ
[509.253] (S)rinze_chan: KSKは辛いの大好きらしいから沢山食べさせてあげて
[509.307] kitagawakun: でもタイに住んでるんだから辛いの得意になってそう
[514.864] ememeume: 罰ゲームでもないのに食べるのはウケるw
[515.074] tabibitox: タイにいってるからある程度慣れてそう
[517.814] ryokucha_: KSKさん、ウメちゃんにはお世話になってるから、って言ってたよ
[517.882] akiaki0612: たいすんでるからなぁ
[522.608] kumatedd: じゃあKSKさんに2つ食ってもらおうか
[525.474] beer4649: スチームなら無料で姫麻雀あるよ
[528.737] (S)ebithunder: ふーどさんがラウンジやってますよー
[530.473] 将門ゴルゴロ: KSKだけ食えば良くね？ウメちゃんが無理する事ねーよｗ
[531.793] despera_lk: なんならアールは代わりに食べたいって言ってたなぁ(>_<)
[533.650] (S)maddy2623: KSK言ってたね。ウメちゃんが言うなら是非食うって
[534.619] kitagawakun: KSKだいたい何でも食いそう
[536.487] ryou7144: umeDuo
[541.740] flashbacks18: 高血圧で食ったら死ぬったさ
[543.309] (S)ebimayoo: タイにいても辛いもの避けてるって
[544.100] ryokucha_: KSKさん辛いものそんなに得意じゃないけど、って言ってたけどｗｗ
[545.700] natoooji: こくも食べるって
