[916.248] balthazar000: T字懐かしいなぁ
[918.003] kirsch_jing: 今思うとダサいw
[929.645] tm3fan: でた、エレクトロボーイ
[940.874] amadori3: あれ今やレアなんよね
[951.356] 桜風かなた: 実際にプレゼント用意してない事件あったよね
[956.854] kirsch_jing: 考えちゃうね
[957.906] あと1983: ただし５００円分切手が
[958.965] rotonz: そういう事件もありましたね、出版社で
[963.133] tarantarantaran: umeWin
[963.683] izumih71128: 全プレね
[972.082] (S)matsu_zalem: ジャンプのテレホンカードや。
[983.214] 阿修羅サムライ: まあ実際に雑誌のプレゼントで当たりを送ってない場合あるよね
[989.401] chappy_mgmg: もれなく 
[991.761] higashimurayama: 俺も全プレ当時かなり感動した
[998.068] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1004.003] 桜風かなた: ジャンプのテレカとかあったなぁ
[1005.553] あげはツ: 視聴者すくなｗ
[1009.458] amadori3: 切手でジャンプのるろ剣テレカかったな～
[1009.474] h2hiroyuki: 漏れなくお買い上げｗ
[1014.043] kirsch_jing: ミニ四駆でもれなくあった気がする
[1033.387] triskeal: 映画の試写会なら滅茶苦茶当ててる
[1035.895] (S)matsu_zalem: ろくでなしブルーステレカ、今でも残ってる。笑
[1036.937] cafe_gondo: サインは思い出よ、それ自体じゃない
[1057.538] 桜風かなた: 純正のアニメグッズとか漫画グッズとかが簡単に手に入らない頃だったしなぁ
[1057.596] kirsch_jing: サインって捨てられなくない？
[1058.542] 山田たろう太郎: それはやべーやつだよｗ
[1062.308] (S)lyo0822: ｗｗ
[1067.652] cafe_gondo: ｗｗｗ
[1070.771] kumatedd: 今年も見た気がするｗ
[1075.419] ~MISSING_COMMENTER_INFO~: ウメハラさんこんばんは(о´∀`о)🌟トパンガメンバーをメインに応援してる者です🎵前に一度、ウメハラさんの配信は見に来たことあるけどサムネに惹かれてまた見にきた！今晩もがんばってねー(о´∀`о)誰とお話ししてるんかな？
[1079.968] tarantarantaran: 2秒後ｗｗｗ話しかけづらいわｗｗｗ
[1081.641] hachi_mitsu: えらい
[1086.582] 山田たろう太郎: それはウメちゃんの都合通していいと思うがなｗ
[1086.903] (S)sdy_hs: 冷静になるのすごい
[1088.709] ぼぜ: それは本当に偉い。
[1092.541] suginaka56: へー
[1095.121] (S)shupii0907: すげぇな
[1103.983] cafe_gondo: ずっとサイン写真攻めでほんま大変そう
[1105.845] ~MISSING_COMMENTER_INFO~: 声めちゃくちゃ落ち着いてて眠くなるー。。
[1106.514] tarantarantaran: そこに話しかけるハートの強さｓｕｇｅｅｅｅ
[1107.118] orange016: なんて大人なんだ
[1109.449] jack27789: Daigo just said I took a girl home the other night and while things were heating up I was hopelessly fumbling around trying to unclip her bra. “Is this your first time?” She asked. “No, you’re just the first one with with tits.”
[1109.776] (S)kumanobed: それは凄い
[1110.750] lutz001: 今年もタカムラに負けた瞬間に来てたな
[1111.460] ilm0806: パンクとメナは、ちょっと考えろって文句言ってたな
[1114.749] ~MISSING_COMMENTER_INFO~: 寝落ちしてしまいそー
[1118.190] (S)lyo0822: 敗退直後のサインで笑顔はやりづらい
[1122.888] ~MISSING_COMMENTER_INFO~: キッドの声やん！！！💓
[1134.584] ~MISSING_COMMENTER_INFO~: 撮ってもらう側からしたらそのチャンス逃したらもう会えないかもしれないからね
[1141.191] ~MISSING_COMMENTER_INFO~: やばい(*´ω`*)💓キッド💓ウメハラさんとコラボしてんのか！
[1143.431] yuyu09250925: ときどさんじゃないよ
[1146.218] ~MISSING_COMMENTER_INFO~: とはいえ、辛いよなぁ
[1146.771] ~MISSING_COMMENTER_INFO~: え
[1148.484] lutz001: りこちさあ
[1152.432] (S)redbull_daisuki: 松浦さんですよ
[1158.814] 憂う者の弟子: どきどじゃないよ
[1165.337] doublepush_da: キッドじゃないで キュッドやで
[1172.167] kaworuko19: 一先だっけ
[1175.518] chappy_mgmg: 1先
[1178.342] rotonz: りこち、これは松浦さんだよ
[1187.508] kirsch_jing: 気が散るw
[1190.818] ~MISSING_COMMENTER_INFO~: また松浦さんも検索しとこ
[1192.759] (S)sdy_hs: 聞き手、画面に書いてあるぞ
[1193.878] fox_boe: マゴはだめだよ
[1202.780] orange016: キュードット
[1229.955] (S)kumanobed: 大会が1先って今考えるとヤバいな
[1277.885] chappy_mgmg: 地方から遥々やってきて1先で負けて帰る気持ち
[1281.628] guncann: 負けることも仕事のうち
[1327.728] kirsch_jing: 海外で0ptだと考えちゃうなぁ
[1327.890] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1358.391] tarantarantaran: 2秒ｗｗｗ
[1358.404] donachan: 2秒ｗｗ
[1362.792] ぼぜ: 2秒はほんとにやべーやつｗ
[1362.969] 山田たろう太郎: 起き攻めつよすぎる
[1363.788] cafe_gondo: ｗｗｗ
[1364.967] umesure: カワノ最強カワノ天皇即位
[1370.234] natuoman: 起き攻めにきてる
[1375.666] 鉢植: 草薙剣 
[1387.796] (S)redbull_daisuki: 流石にね
[1392.630] icyblue1985: 2秒は笑うw
[1412.612] kumatedd: その二人で獣道だね
[1420.039] (S)redbull_daisuki: グッズ、なんだったの？
[1468.555] kumatedd: 人気コーナー誕生しとる
[1486.668] (S)mmiiacha: ウメハラジオキーホルダーやで
[1502.022] (S)lyo0822: 仙水かー
[1512.574] yuyu09250925: へーw
[1521.731] scottiever06: あの技かっこいいよなw
[1526.256] 動画勢: 龍拳じゃないのあれ？
