[252.718] hal0087: キチパなにわろてんじゃ！
[254.989] (S)evimayo88: ニコニコ
[258.141] (S)ましゅダヨ: じゃじわらってるよーーーーこわいよーーーー
[258.904] kodue55: karubisDebu
[259.661] koutwitchtv: じゃじいニッコニコｗ
[259.899] v_harumi_v: 時間は左下に準備できてる
[262.436] セツリ: ふ～
[268.791] みっちー14: ここからじゃじいの顔がどんどん曇っていく事を考えるととてもつらい
[272.478] (S)あぱれる君: kokuji3Momi
[274.069] axchuuu: デトネがんばれー！！！
[275.594] kernel999: 時間とかまだいいだろ
[279.163] チャビ20: 妊婦みたいなお腹してんな
[279.801] kamiya1979: はやくはやく
[281.608] 45tm83: ゲーム内時間無理なら別にいいよ
[286.702] sai927: ｗｗｗ
[290.183] mecroboxy: あれ 今日は同じ画面にいるw
[290.358] (S)m1s4m0: ｗ
[291.083] one596: 試合始まったら左下に出てくるぞ
[292.708] IPPAN_Player: はじまるてw
[294.882] sndkzfm1: 水セット
[295.218] hanzou3: もう始まるぞ
[295.643] kernel999: あ、もう間に合わないw
[298.014] (S)ロミヲ: バックにあんなプリントあったのかｗ
[298.133] (S)ましゅダヨ: これは時間かかるやつだ、仕方ない
[299.376] (S)tabibitox: 始まってから準備する男
[299.957] kamiya1979: はじまるー
[300.934] 5moku: 終わったな
[302.507] sarah_0519: はじまる
[303.891] TB2117: このコンビほんまｗ
[304.524] axchuuu: もう予想は無理やろwww
[304.816] popo8322: あ
[306.532] (S)ましゅダヨ: プリント可愛い
[306.577] one596: 不正
[307.575] sndkzfm1: 期待しても無駄
[307.998] ちなはま: はじまった
[308.393] tilia211: まぁこうなると思いました
[310.000] (S)日本語かな: 間に合わないww
[311.081] hal0087: 間に合わんぞ！！
[311.220] (M)Moobot: ＊＊新ヘッドセット＊＊ HyperX Cloud III が ワイヤレスで登場！ → https://hyperx.gg/45bt2SJ
[312.437] dorayann: 始まったぞ
[314.886] moricocoa: 間に合った記憶がない
[315.530] (S)yut7xot8: これはうめちゃんのせいだね汗
[315.870] avareinu: こうなるやろなって
[316.741] kamiya1979: あー
[316.960] melonpan16: いつもこうやんww
[317.893] 憂う者の弟子: DinoDance
[321.194] kuniyoshi8: 水重そうｗｗ
[322.066] セツリ: 見るな、みるなあああ
[322.115] (S)日本語かな: 出ちゃったw
[323.873] leon12061829: こちら
[324.425] hal0087: もうぐっだぐだｗｗｗ
[325.224] (S)nikukuisugi333: お
[325.426] sn0wf0x3: www
[325.700] latenight000: まぁ遅刻はデフォだからイライラならさず
[325.911] gloomymario: ゆる～い
[326.696] mutsukisaragi: ハンチング
[326.837] (S)ましゅダヨ: いつものことですぇ
[327.120] IPPAN_Player: あっじゃないのよ
[327.171] shifoncafe: あ
[327.511] mako6912: 間に合わずw
[327.681] umetyaahan: あまりにもマイペース
[327.877] kobetaf: あっ
[328.112] tugaru_san: あ
[328.174] (S)闘劇のアルベルト: あ
[328.677] kamiya1979: 出ちゃったよー
[329.485] morinagasyuya: 出ちゃったよ…
[329.599] (S)fahmy0825: Kokunii?
[329.882] azu_maru: あｗ
[329.964] 森本ライアン: あ
[330.599] sarah_0519: あ
[330.699] sai927: あっｗ
[331.571] v_harumi_v: あっってｗ
[331.810] ラベット: あｗ
[332.041] 今井みどり: あ
[332.631] chamomile21: あっ
[333.998] axchuuu: あ じゃないのよ
[334.317] (S)kuwa_sun: 左下が時間わくかな？
[334.370] hal0302: あーなるほどそういう予想ねなるほどね
[334.823] omusubi_0824: w
[335.892] (S)tabibitox: もうカンニング
[336.403] (S)monpiipop: でちゃったよ
[336.747] ddb365: あ
[337.653] (S)日本語かな: 無敵だろw
[337.735] chahaaaaan: ぐだぐだ
[338.635] popo8322: 後出しww
[342.526] SuperMaguro: ｗ
[343.170] (S)ましゅダヨ: でないのがね
[343.793] hobit_ojii: 王のカンニング
[345.003] mqdf1987: 何してん
[345.031] (S)evimayo88: 後だしｗｗｗｗｗｗ
[346.795] chin_56_: ｿﾞﾛｿﾞﾛ
[347.377] hal0087: 後出し強すぎるわｗ
[349.495] kimagure_takki: キモいの来た
[350.266] morinagasyuya: 王のズル
[351.582] 憂う者の弟子: はよせーやｗ
[351.980] セツリ: 確率あがってて草なんだ
[354.467] MAMEDEtuPOU: これ老人ホームです
[354.703] fbhjkl: WutFace
[356.905] axchuuu: アクアさんびびってんな
[358.255] IPPAN_Player: 後出しじゃねーかw
[359.410] maddy2623: あ
[360.383] koutwitchtv: キチパまじで出ないとかありそうで怖い
[361.294] (S)ましゅダヨ: だれだっけw
[361.348] momiji4431: ｗｗｗｗｗ
[361.685] アヘ丸: w
[361.796] 45tm83: wwwwwwwww
[361.952] umetyaahan: それずるじゃんねぇー
[362.104] chin_56_: HAHAHA
[362.575] hal0087: wwwwww
[363.099] (S)vaio_95: お別れの言葉？
[363.453] (S)monpiipop: おいーww
[364.234] shichimi10: ｗｗｗｗｗ
[364.753] kamiya1979: おい
[364.908] leon12061829: ｗｗｗ
[365.080] ddb365: ずるｗ
[365.115] hitmehitme: ｗｗｗｗｗｗｗ
[365.257] (S)tabibitox: カンニング野郎
[365.808] mako6912: wwwww
[366.788] umetyaahan: www
[367.020] one596: 不正じゃねーか！
[367.186] omusubi_0824: カンニングw
[367.610] IPPAN_Player: wwww
[368.911] じゃべりんまん: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[370.539] sn0wf0x3: www
[371.145] hobit_ojii: おわってるｗｗ
[371.891] umetyaahan: きっったねぇw
[371.926] bobonchuaaaa: 終わってるwwww
[372.317] sarah_0519: wwww
[372.490] (S)yut7xot8: これはズルだわｗｗｗｗｗ
[375.281] (M)(S)gameinntwitch: www、水は後でええやろがい
[375.357] (S)haicro_zm: 水のせいだよ
[377.034] TB2117: ｗｗｗｗｗ
[378.035] ラベット: ｗｗｗｗ
[378.816] lll3939: ランクマするよｗｗ
[378.950] jamxqc: umeGrin
[379.043] ちなはま: ズルww
[379.582] kuniyoshi8: 水はしょうがないでしょうｗｗ
[379.886] mis0kk4s: これが見てから
[380.919] kawasak1n: ｗｗｗ
[381.852] maddy2623: ズルだけどまぁ正直
[383.087] (S)ましゅダヨ: 水のせいじゃんー
[383.798] mqdf1987: 予想屋やめろ
[386.341] leon12061829: カンニング野郎
[387.108] jitajita: ランクマはする
[387.914] tsukikage_saga: 水つくってんだから不可抗力だろ！
[389.654] proajus: ウメちゃんどうして・・・
[397.624] tsukikage_saga: 水はノーカン
[397.736] (M)Moobot: ＊最大120時間＊ HyperX Cloud III ワイヤレス → https://hyperx.gg/45bt2SJ 1回の充電で映画見放題だな
[399.101] rdstus: ウメちゃんのホームだから有利なのはしょうがない
[399.292] avareinu: 水作らせたのこくだろ！！！
[400.105] bobonchuaaaa: 始まってるぞw
[401.538] kaku_pippo: うめちゃんちはウォーターサーバー設置？
[402.772] jamxqc: 水派のせい
[403.157] v_harumi_v: ウメちゃん、予想屋開始ツイートしてないかも
[403.677] melonpan16: 毎回ちゃんと予想始まらない
[404.613] omusubi_0824: ランクマと水やってたんだからしゃーない
[404.790] hal0087: 点差えぐいから後出しくらい許したれ
[407.183] (S)ましゅダヨ: こくにいが水っていったからぁ
[407.428] (S)aviru428: こくが買い物行ったのもあるし水飲みたいって言ったからしゃあない
[415.428] 今井みどり: 予想屋にもホーム・アンド・アウェーあるんだな
[416.907] bobby_420x: もう始まってるw
[420.242] 157655: 負けてるからなんでもやるよねえー
[420.871] 反省済2: リアルケン
[423.401] chin_56_: ｸﾎﾞｫ
[444.004] axchuuu: デトネがんばれー！！！！！
[444.515] aja_pac: 音量上げてくれると嬉しいです！
[451.619] (S)ましゅダヨ: こんなもんでしょ、キレイにやらんでもwwwww
[457.678] (S)vaio_95: 象形文字？
[458.445] ayojwet: Yooo
[461.491] chin_56_: イタサン
[465.701] まるぼろん: ノイキャン強いかも
[474.328] lll3939: マイク今はいいよ
[475.711] kagami3510: 音量っていうかノイキャン切ってくれるとありがたい
[477.218] bikibiki999: 今日は普通に聞こえるぞい
[477.460] morinagasyuya: めんおじー助けて〜
[479.031] (S)y_proto: 調子のいいふーど板ザンは出るだろうな
[479.487] (S)mako_oswald: 音量ていうかノイキャンきいてるからじゃないの
[480.362] koutwitchtv: いじるとまたグダりそう
[480.830] v_harumi_v: 今はマイク大丈夫よ
[484.326] (S)ましゅダヨ: ノイキャン切ってー
[484.618] kebiisi: 脱法ミラーくる？
[488.069] hal0087: おじさんｗ
[490.292] わるいこ: 上げなくていいです
[495.112] shifoncafe: 言われるｗ
[496.169] (S)ましゅダヨ: 後で言われるww
[496.321] TB2117: ふつうに聞こえるけどね
[497.913] v_harumi_v: メンおじさまの管理下
[498.730] 45tm83: ノイキャン効いてるな
[499.158] melonpan16: これでいい気が
[500.957] kawasak1n: 始まったね
[503.756] (S)~MISSING_COMMENTER_INFO~: まぁまた叫ぶから大丈夫でしょ
[504.016] (S)vaio_95: めんおじこわいか
[504.049] (S)ましゅダヨ: こっちがあげました
[504.256] (S)Hiclere: 自分でやってるから大丈夫よー
[504.899] umetyaahan: お母さんに怒られちゃうから
[506.376] omusubi_0824: 後で言われるのがいやな王
[506.602] chin_56_: 壊しそう
[508.073] (S)tabibitox: この試合予想せーやｗ
[519.058] maddy2623: ウメちゃんREJECTファイトナイト！！
[524.569] hal0087: OK!!
[525.036] kuniyoshi8: きこえるよー
[525.201] (S)monpiipop: きこえるー
[525.566] v_harumi_v: きこえますよー
[525.835] (S)takahashiseigi: 間に合わないなw
[525.948] まるぼろん: いい感じ
[525.955] ddb365: おｋ
[526.074] kagami3510: いいね
[526.472] sai927: はい
[526.602] aru_0928: 数字きめなくていいの？
[527.035] kamiya1979: 点数予想ー
[527.055] TB2117: でかｗ
[527.404] shifoncafe: でかい
[527.557] 範馬刃牙__: いいね
[527.801] dunas1833: おｋ
[528.732] mako6912: きこえるー
[529.007] mikazuki3150: 聞こえる
[529.297] kimanaka28: こくは叫ぶからおk
[529.807] dorayann: いいね
[530.354] kawasak1n: 聞こえます
[530.406] v_harumi_v: 大丈夫
[530.498] おざなり: うん
[530.981] (S)ましゅダヨ: きこえるー！！！
[531.301] hobit_ojii: ええやん
[531.770] megurun: OK
[532.395] (S)闘劇のアルベルト: でかくなった
[532.556] 雅人さん: おけ
[532.615] lll3939: 大丈夫だよー
[532.915] momoya3: ちょうどいい
[533.100] dashinoumami: おｋ
[533.204] (S)日本語かな: きこえるよ
[533.781] 粉の民くんちゃん: デッカ
[533.789] v_harumi_v: かわらない
[534.429] TB2117: いいよー
