[110.188] (S)motsunibear: わこらだ
[111.092] (S)紗弥0926: お！期待〜〜
[111.875] (S)雑魚陛下: 前我々だの動画であぺ練習しときますっていってたもんね
[113.824] (S)はいどろ: ゾムさんアペ練習してたもんね
[115.701] (S)inada_25: わこらだ！
[116.345] (S)ねこはん: わこらだー
[117.143] (S)roda_4423: わこらだ
[117.735] (S)市川さん: わこらだ！
[117.970] (S)uraku3526: わこらだ
[118.555] (S)aruha: わこらだ
[119.640] (S)fomsam: わこらだ待ってた
[119.889] (S)nan_24: わこらだ！
[119.938] (S)kitamuuuuu: わこらだ
[120.112] (S)kotatsu_san: わこらだ
[120.122] (S)valiant_o: わこらだ
[121.247] (S)kono_5no: わこらだ
[121.470] (S)どくつる: わこらだ
[121.869] (S)hakumai_5: わこらだ
[122.572] (S)非自腹: わこらだ
[122.591] (S)na_mo: わこらだ
[122.598] (S)kapoera3: わこらだ
[122.777] (S)iyokan_sabure: わこらだ
[122.835] (S)~MISSING_COMMENTER_INFO~: わこらだ！
[122.840] (S)powder8man: わこらだ
[123.019] (S)よわはと: わこらだ
[123.138] (S)kohaku_azusa: わこらだ
[123.239] (S)てとてと: わこらだ
[123.270] (S)broly2828: わこらだです
[123.305] (S)tibisuki0236: 自然消滅
[123.414] (S)sa8_chan: わこらだ
[123.931] (S)かいる06: わｗこらだ
[123.967] (S)米だわら: わこらだ〜
[124.072] (S)るっこらら: わこらだ！！！
[124.096] (S)mitarasi_0w0j: わこらだ
[124.194] (S)owatativv: わこらだ
[124.216] (S)Miriotta: わこらだー
[124.615] (S)ririmaru_nx: わこらだ
[124.631] (S)66はなぶさ: わこらだ
[124.861] (S)勿忘草: わこらだ
[124.866] (S)junkers1201: わこらだ
[124.971] (S)ame1859: わこらだ
[125.101] (S)Namacha_otaku: わこらだ
[125.196] (S)mochizuki027: わこらだ
[125.344] (S)常に眠いぽかちゃん: オーバーウォッチらだやるの？
[125.876] (S)ぉうどん: ぉうどん subscribed at Tier 1. They've subscribed for 6 months, currently on a 1 month streak! わこらだ
[126.024] (S)nasu_nonasu: わこらだ
[126.063] (S)Miriotta: わころだ
[126.290] (S)0itimaru: わこらだ 
[126.384] (S)youmi4869: わこらだ
[126.440] (S)nekomarutaro: わこらだ
[126.531] (S)atonana: わこらだ
[126.720] (S)雪都: わこらだ
[126.986] (S)jhonnymorimori: わこらだ
[127.015] (S)みゅまる: わこらだ
[127.246] (S)hiromi131: わこらだ
[127.305] (S)りーふ93: わこらだ
[127.438] (S)ゆづこしょう: ゆづこしょう subscribed at Tier 1. They've subscribed for 3 months! わこらだ
[127.544] (S)kero_ppi1: わこらだ
[127.560] (S)alt_____5: わこらだ
[127.631] (S)azucha_z: わこらだ
[127.694] (S)hamurinn: わこらだ
[127.857] (S)あんころもっも: あんころもっも subscribed at Tier 1. They've subscribed for 7 months! わこらだ
[128.072] (S)mikkoronn: わこらだ
[128.225] (S)lilac1104: わこらだ
[128.522] (S)Miriotta: わこらだー
[128.698] (S)しなやかしょうゆ: わこらだー
[128.743] (S)sato1111: わこらだ
[128.749] (S)~MISSING_COMMENTER_INFO~: えええええええわこらだ
[128.768] (S)でっく: わこらだ
[128.967] (S)bon_sai: わこらだ
[129.010] (S)zeratin12: わこらだ
[129.147] (S)watchan_arm: わこらだー
[129.238] (S)カズの子だよ: わこらだ
[129.493] (S)ipuu818: わこらだ
[129.512] (S)yukimaru_neko: わこらだー
[129.647] (S)ishiki0613: わこらだ
[129.718] (S)ほたころ: わこらだ
[129.873] (S)funinki_32: わこらだ！
[130.024] (S)nanoEditore: わこらだ
[130.119] (S)そうたんたん: わこらだ！
[130.195] (S)dera_oddy: わこらだ
[130.234] (S)akiaki0819: わこらだ
[130.382] (S)ケビンカルロス: わこらだ
[130.410] (S)saa_o331: daahuku extended their Tier 1 subscription through May! 
[130.465] (S)suraimupengin: わこらだ
[130.467] (S)1cmmeter: わこらだ
[130.472] (S)ねおちくん: わこらだ
[130.794] (S)kotatsu_san: radaokunWakotu
[130.798] (S)ひととよリ: わこらだ
[130.881] (S)d_flanker: わこらだ！
[130.935] (S)yama_tatu: わこらだ
[131.547] (S)myuuaca: わこらだ
[131.705] (S)kurumineko963: わこらだ
[131.943] (S)EBI_CHIRIiii: 限定？
[132.113] (S)すずるーと: わこらだ
[132.124] (S)ほうれんそい: わこらだ
[132.227] (S)saisai_tmc: わこらだ
[132.243] (S)lattecha__0523: わこらだ
[132.427] (S)amatuba0424: わこらだ
[132.665] (S)shio_salmon: わこらだ
[132.710] (S)_くの_: わこらだ！！
[132.959] (S)cofune: Aakorada
[133.060] (S)nekomarutaro: 不仲じゃないんですか？
[133.205] (S)rox_ez: わこらだ
[133.234] (S)r1ntww: わこらだ 
[133.769] (S)salt_w12: わこらだ
[134.064] (S)RoleC_P: わこらだ
[134.076] (S)tomo_alb: わこらだ！
[134.076] (S)sora_sabu123456: わこらだ
[134.080] (S)key_chan0928: わこらだ
[134.123] (S)mikan_san: やって欲しいー
[134.764] (S)atuono: わこらだ
[135.505] (S)namiki_: わこらだ！
[135.645] (S)hatiti88: わこらだ
[135.697] (S)こうちゃんん: わこらだ
[135.720] (S)binorose: わこらだ
[135.893] (S)もぐもぐあおば: わこらだ
[136.103] (S)カリーライス: わこらだ
[136.112] (S)rarumu0109: わこらだ！
[136.358] (S)aimiru8779: わこらだ
[136.385] (S)kabinohaetamoti: わこら
[136.755] (S)こちょこがみ: わこらだ
[136.926] (S)tatatatamamam: わこらだ！
[136.956] (S)nibosi_fly: わこらだ
