[67.515] (S)umttmm: Tシャツいいね
[67.946] mukami34: 嬉しい〜
[68.276] jjjjjjjtj: やあ
[68.520] mumindaniel: こんちゃーす
[68.565] ほんだのヴぁいく: ハイエナ成功
[68.671] sichakamechaka: このままだと・・・・・・どうする？このままだと・・・・・・どうする？このままだと・・・・・・どうする？このままだと・・・・・・どうする？このままだと・・・・・・どうする？このままだと・・・・・・どうする？このままだと・・・・・・どうする？
[68.744] (S)mitsuki2525816: ちゃー
[69.187] かえでつばめ: こんちゃーす
[69.262] tosya160: らぶりーちゃーん
[69.395] npa_a: こんちゃ
[70.162] (S)lemon_smashmk3: geroki1Yametene
[70.241] Hiyori__123: 続きめっちゃ気になるから楽しみ
[70.437] sichakamechaka: このままだと・・・・・・どうする？このままだと・・・・・・どうする？
[72.061] npa_a: らぶりーちゃんー！
[72.164] ujichankuyan: こんちゃ！
[72.270] karinto_h: らぶりーちゃん！！かわいいよ
[72.324] (S)コング_: geroki1Kawaii
[72.508] (S)y_htomo10: らぶりーちゃーん♡
[73.033] risutarodesu: らぶりーちゃーーーん！！
[73.238] (S)romakkuq: らぶりー！！！！
[73.835] tonsukemomo: ラブリーちゃんの服かわいい❤️
[74.242] ぽぷぽぷ: らぶりーちゃーーーん！！！！
[74.500] esr1032: 喧嘩しようぜ！
[74.592] (S)hibari_1104: こんばんはー
[74.769] にちゃゃん: ひろき😢😢
[76.128] meimeimiko: らぶりーちゃん♡
[76.216] ochiko115: らぶらぶ！！！！
[77.064] にちゃゃん: geroki1Yametene
[77.195] IKURA_GUNKAN: らぶりーちゃん
[77.730] EUREKAgg5: やめてねのおじさん
[77.820] みきちぃぃ: こんちゃーー
[78.224] zonoooooooo: すげぇうんこちゃんに声似てた
[78.360] muji_na: geroki1Yametene
[78.422] XwhiteIII: 早起きですね
[79.442] (S)yuuuka_04: geroki1Kawaii
[79.954] 2mozi_shamozi: やあ
[81.374] pi_suke66: こんです
[81.468] 184____a: らぶりーちゃんきたあ
[81.572] runachii: ひろき〜
[81.615] (S)cochan417: geroki1Kawaii
[81.845] (S)でんがく_: geroki1Dance2
[82.078] (S)とらおさん: こんちわ
[83.128] ryou1813150: 最終回まじ？
[83.510] puwa_chomo: らぶりーちゃーーー
[83.710] (S)ギャ: グッズのTシャツ着てるやん
[84.956] mukami34: ワンオペで泣きそうだったから、嬉しい
[85.894] (S)suzubba: ラブリーちゃん❤️
[86.662] mochic4n: やー！
[86.735] (S)oo_aku6i: らぶりーーーーーー 
[87.112] ~MISSING_COMMENTER_INFO~: geroki1Yametene
[87.532] (S)hibari_1104: らぶりーちゃん 
[88.396] esr1032: 喧嘩すんぞ！
[88.604] mumindaniel: Geroは仮の姿らぶりーちゃん
[88.607] kokoro0113: geroki1Punch
[88.612] ぽぷぽぷ: かわちいから仕方ないね
[90.747] (S)いけちゃむ: ね！
[91.021] kuroneko_331: らぶりーちゃぁぁぁぁぁぁぁん待ってたよぉぉ❤️❤️❤️❤️❤️❤️❤️❤️❤️
[91.294] (S)risusiru: ジェファソン！！！！
[91.421] かっぱおばば: geroki1Yametene
[92.181] urua23: こんにちは
[93.392] (S)コング_: ね！
[93.442] (S)y_htomo10: ね！気になる
[93.933] mochi963: 衝撃だった
[96.188] ocha72525: クロエ︎；；
[97.815] (S)nyon_1026: Tシャツかわいい！！！
[97.974] (S)hibari_1104: とうとう終わってまうのか…
[98.024] ほんだのヴぁいく: ネタバレやめてね
[99.534] (S)choco609: この先気になるー！！
[99.814] Hiyori__123: ジェファソン
[100.068] (S)otsu_6_: あいつ許せねぇよなぁ！！
[102.000] misakuma6363: こんにちは
[102.973] puwa_chomo: えぐち
[103.280] (S)saaaawa: あれビビった
[105.174] ochiko115: クロエが気になる！！！！！
[105.587] keeeeeeeeei_13: 気になる！
[105.708] (S)makiwoooo: こんばんはー！
[105.790] suda7770: 𝐿𝑂𝑉𝐸𝐿𝑌ちゃん、楽しみにしてたにょ
[106.590] kohak_u: unkochanYaa
[109.148] (S)suzubba: サマーグッズ可愛い
[109.332] misakuma6363: クロエ
[111.444] kona_1435: ちびった
[111.768] (S)コング_: ワクワク
[114.298] (S)risusiru: 続き気になる
[114.545] zonoooooooo: あ、そこまで行ったんだ
[117.079] (S)hibari_1104: まさかの展開
[117.862] muji_na: 俺は先生が優しいと思ってたよ
[118.934] ~MISSING_COMMENTER_INFO~: ジェファーソン4
[130.515] teri_desu_: やあ
[132.784] mochi963: サマーグッズかわいいな
[138.290] tyakaboooom: こんばんはー
[138.414] jjjjjjjtj: 慎重にな
[138.606] mochic4n: おっつー
[140.657] (S)nijivamp: 昨日凄い展開だったもんな
[142.664] puwa_chomo: くれぐれも尼崎ルートは避けてくれ
[144.126] ryou1813150: クロエ 
[145.981] (S)hibari_1104: らぶりーちゃんの未来どうなるかな
[146.671] (S)まなみ_____: Tシャツかわだね
[146.845] riz0022: うぉおおおおおおお
[155.798] chomo__525: geroki1Nekoirasuto
[155.894] (S)tapitapi0114: サマーグッズTシャツ可愛い 
[160.805] goreinu5016: 寝てもうた
[162.510] nano_gr: ドキドキ
[163.102] (S)y_htomo10: また未来動くのかな
[164.858] mochic4n: geroki1Neko
[166.120] (S)tapitapi0114: ShowLove1 ShowLove1 ShowLove1
[169.908] ~MISSING_COMMENTER_INFO~: スクエニアピ
[170.934] jjjjjjjtj: BloodTrail
[171.684] (S)迷子の社会人: こんばんは
[173.832] Hiyori__123: 許せねえ
[176.611] muji_na: ネイサン二薬渡してるやつがいた
[180.087] sk_sleeeep: こんばんは
[182.794] (S)まなみ_____: どうなるんだろう
[185.432] mochic4n: 今日何食べてるのげろさん
[187.816] s_yupi05: こんばんは
[189.991] (S)romakkuq: クロエ生きてんのかな
[191.186] ocha72525: わあ
[191.931] (S)otsu_6_: これだからメガネは信用できない
[197.554] (S)ankoroll: (･ω･)ﾉ
[198.821] haimatsu_otokogi: 最後まじ泣けるよ
[199.982] (S)hibari_1104: 不穏なBGM
[200.615] link100436: geroki1Punch
[207.482] ocha72525: やめてくれ
[207.946] anna_ayase: 展開がきになります…
[209.569] (S)romakkuq: うわ
[210.328] oden5vivi: 昨日のあと50分てところで始まっちゃった（ ;  ; ）(笑)
[211.844] (S)khrusant: khrusant subscribed with Prime. 
[211.906] muji_na: そういえばここの会社の新作出るんだっけ
[217.304] nano_gr: ひゃ
[217.926] mochic4n: あらあ
[218.722] 19900414: geroki1Punch
[219.986] risutarodesu: こわいにょー
[220.761] (S)mizore_ame: 始まりからあわわ
[221.641] piyochang: geroki1Yametene
[231.846] (S)dkv81123: やあ
[234.951] ﾃﾄﾗﾝ: 新作開発中だよ
[235.950] muji_na: アレはもっと時間かかるんちゃうかな
[236.418] sichakamechaka: デトロイトの会社の新作はスターウォーズ
[238.092] risutarodesu: ヘビーレインやってほしい
[240.536] (S)tikumahitugi: みたいみたい
[240.989] (S)romakkuq: あ
[241.085] 蛙の王様: 昨日の配信いつやってたんだ〜！？見逃した、、
[241.388] muji_na: メイド？
[241.393] (S)tansann_0: おおおお
[241.594] ocha72525: wwww
[242.579] (S)romshiyo: おお
[244.158] にちゃゃん: あー！バニーガーデン！
[244.383] (S)cochan417: バニーガーデンやってくれ
[244.486] Hiyori__123: ヘビーレインいいね
[245.280] link100436: www
[245.828] EUREKAgg5: いいね
[246.012] mochi963: バニーガーデン？
[247.006] ocha72525: やってよww
[247.128] (S)choco609: バニーガーデン？
[248.312] 横綱五千馬力: デトロイトの続きとか正直知りたくねぇ
[249.155] にちゃゃん: やてほしい！
[250.036] (S)hayakenta: メイド？バニーじゃなくて？
[250.155] (S)tansann_0: どっちでも嬉しい
[250.406] (S)romakkuq: これ終わったらやってくれ
[251.319] (S)おぎゃわん: バニーガーデンやってくれ
[251.372] (S)hibari_1104: バニーガーデンやろうべ
[251.618] risutarodesu: ヘビーレインがいいいいい
[251.645] efgi17: どっちも！！
[251.818] sk_sleeeep: バニーガーデンな
[253.012] Hiyori__123: どっちもやろう
[253.518] チョコットランド非公式: スケベやん
[254.085] kyo_o119: デトロイトの全員助かるルートもしてほしい！
[254.287] nano_gr: バニーガーデン！！！！
[256.110] にちゃゃん: 👯‍♀️
[257.379] にちゃゃん: そう
[257.494] anna_ayase: ヘビーレインやってほしいです！！
[258.253] (S)ankoroll: (°Д°)
[258.596] もも上げ初心者: unkochanYaa
[258.826] s1ckn_: ショーーーーーーーン！！！
[258.904] usagiraran: バニーガーデンやってほしい
[260.057] pitago_ra: バニーガーデンしてほしい！
[263.433] (S)cochan417: バニーガーデン
[265.040] nabix_08: アンダーザウェーブってやつ出てませんでしたっけ！
[266.233] risutarodesu: ヘビーレイン頼む
[267.532] にちゃゃん: やって！笑
[268.385] yuipoppi: ヘビーレインいいね
[268.477] nano_gr: あの部屋だ
[268.765] jp_089: まじか
[271.704] muji_na: ルーサーは助けません 
[274.577] mochic4n: バニーガーデンもやってほしい〜！！
[275.365] (S)romakkuq: 尼ックスきた
[278.564] taruto39: やろう！
[281.728] (S)cochan417: バニーガーデンやってくれるのか？！
[283.016] (S)sora_pantsu: こんばんはー！！今日はリアタイできたー！！！
[285.447] (S)romakkuq: えこわ
[285.683] Hiyori__123: クロエ…
[286.533] (S)tapitapi0114: やってやって
[291.118] dennoko467: フォント可愛いな
[297.343] (S)tapitapi0114: SeemsGood1 SeemsGood1 SeemsGood1
[297.346] kmkho: クロエ前回4んだやん
[303.979] (S)makiwoooo: ぴろき助けてあげて〜 
[306.349] mumindaniel: FC2に晒されてまう
[312.965] Hiyori__123: サイコすぎ先生
[314.017] (S)romakkuq: お
[316.163] (S)tansann_0: 強い
[317.423] mochi963: 脆い
[317.487] 184____a: ひろき助けに行ってくれ
[319.451] risutarodesu: クロエはどうなった…
[319.917] (S)tapitapi0114: 怖ぁ
[326.165] y_y_1998: 先生が黒幕なの意味わからん
[333.875] (S)zoba_57: きんぜうやあ
[338.614] (S)tapitapi0114: FailFish1 FailFish1 FailFish1
[338.877] y_y_1998: おおお
[339.768] (S)ankoroll: キャー🙈
[339.811] (S)choco609: お
[341.587] (S)romakkuq: ！？
[342.293] (S)y_htomo10: お
[342.886] mumindaniel: お
[343.418] nano_gr: お！！
[345.071] (S)まなみ_____: お
[345.232] (S)ギャ: がんばえー
[345.260] mochic4n: 尼ックス覚醒
[348.935] (S)とらおさん: お！？
[349.884] puwa_chomo: ひえ
[350.523] (S)mizore_ame: おお
[353.512] ~MISSING_COMMENTER_INFO~: これはいいなぁ…
[356.035] (S)hibari_1104: うわぁ
[356.644] ocha72525: そこに戻るの
[357.717] (S)ankoroll: なるほど？
[358.626] puwa_chomo: うおぉ
[360.151] (S)romakkuq: これはいいな＾＾
[363.347] (S)choco609: うわ…
[364.502] (S)romshiyo: 変態だー
[365.295] ocha72525: こわ
[365.648] (S)hibari_1104: きんもー
[366.217] (S)romakkuq: きっも
[366.219] usagiraran: きっしょ！
[367.296] (S)hayakenta: きも
[367.361] mochic4n: うげ
[367.704] nano_gr: きもちわる
[367.713] (S)コング_: きしょ…
[367.936] (S)zoba_57: きっも
[368.769] mochi963: 変態だー！
[369.903] (S)いけちゃむ: きも
[369.946] (S)saaaawa: 変態やん
[370.793] horumon75: うおおおおおおお
[370.796] (S)tansann_0: 盛りだくさん
[371.443] (S)choco609: きもすぎ
[371.683] (S)y_htomo10: キモすぎるんだよー
[372.621] Hiyori__123: wwwww
[373.094] ~MISSING_COMMENTER_INFO~: このアングルはいいなぁ。
[373.857] (S)nijivamp: まじそれ
[374.178] (S)三色おだんご: 悪口全部詰め込んだｗｗｗ
[375.483] (S)meauchap: やほー
[375.976] (S)tapitapi0114: あああああ
[376.898] mochi963: 男の人呼んでー
[376.963] taruto39: きっしょ！！！！
[377.970] haimatsu_otokogi: きんもだよーー！！
[378.638] ~MISSING_COMMENTER_INFO~: キーモ
[378.749] mumindaniel: うわあ
[378.849] (S)romakkuq: クソ変態ゴミクソクソ野郎
[379.545] puwa_chomo: 暴言のコンビネーションすご
[379.657] (S)いけちゃむ: かすー
[379.802] asbuppa893: 鉄拳制裁 
[380.531] abekobe_sk: きーもくん
[380.973] (S)nyon_1026: きしょすぎる
[381.141] (S)まなみ_____: きーも
[381.491] Hiyori__123: やばいな
[381.605] muji_na: こわ
[382.481] aitenn27: geroki1Yametene
[382.688] (S)tansann_0: は？
[383.737] ~MISSING_COMMENTER_INFO~: 顔はそのまま！！！
[383.916] sichakamechaka: 森の戦士キーモ
[384.122] yomosan0907: こっわ
[384.926] mochic4n: きーもくん
[385.143] (S)tapitapi0114: きんもおおおおおお
[385.487] (S)あまかぢゎん: きーも
[385.732] (S)y_htomo10: こわ
[386.667] npa_a: きも
[387.744] (S)zoba_57: ひええ
[388.727] (S)choco609: こっわ
[389.411] もも上げ初心者: 変態
[389.599] muji_na: キモヤジ
[389.667] (S)cochan417: こっわ
[389.944] y_y_1998: レイチェルもネイサンじゃなくてこのおっさんの仕業だったのけ？
[390.155] (S)saaaawa: やべえ
[390.844] (S)mizore_ame: もう展開的に尼思考全開で行って欲しい
[391.059] (S)umttmm: キモキーモ
[391.330] (S)suzubba: 変態
[391.956] (S)hakudesu117: こんばんはー！
[391.990] (S)いけちゃむ: やば
[392.206] (S)hibari_1104: きっっっしょ！！！！
[392.316] npa_a: こわ
[392.729] (S)meauchap: なんだきもい
