[614.262] lunasolnars: イジりがいある人多そう
[617.097] (S)gaku_01: 500万貰おう
[617.100] zaregoto777: まごさんみたいなひときた
[620.539] angardgg: 引きにもよる
[642.603] kagamin177: レウスも強いよ
[649.142] (S)hisotensokuzei: バーンが上手く決まればジルが勝つが…
[650.748] TUBE_MAN: 優勝賞金490万ってマジ？
[656.556] かささぎ: レウス逆鱗が若干落ちる位置
[660.931] sutoku94: ウメちゃんは勝ったのは選別リベンジウェスカーだから別デッキ
[679.740] zaregoto777: 緑紫の人？
[702.134] angardgg: レッドブル飲みすぎ注意
[715.799] ~MISSING_COMMENTER_INFO~: 中身お茶やで
[733.589] (S)平本: Redbulltea
[735.021] tabibitox: ウメちゃん毎日イベント出てたのに元気やなｗ
[753.168] prisira: さすがうめちゃん
[762.084] (S)gaku_01: 今度出るときど水にシェア取られないようにしないと
[767.335] gnm1616: さすウメ
[769.825] (S)redbull_daisuki: 梅汁デッキ見たい
[795.998] lunasolnars: 学ぶチャンスあるとウッキウキだなウメちゃん
[806.911] tatsuyaea7: ナリカワさんマジで上手い
[812.267] cashafter: うめふーど
[841.324] goejglsdf: モチロン ソウヨー
[843.390] jipippi: TGSでいろんなメーカーがエナドリ参入発表してて草生えた。レッドオーシャン過ぎ。
[861.937] かささぎ: リュウは４モリにいけるので
[864.564] kagamin177: オモチャ作るのも面白いよナリカワ
[872.468] rtmt: umeLaugh
[907.120] myaaaaaa123: いい余談
[909.471] tabibitox: 同じ道を通る賢者
[916.423] (S)hisotensokuzei: 電刃やな
[927.085] (S)une3333: レシピ一緒ってどんな確率なのかねｗ
[938.064] tabibitox: 上みえるようになったけどもう少し下ぁ
[939.736] siyouchu: お供
[948.229] (S)llflyingfish: リュウ多いね
[957.161] LogicalDashGG: 若干上切れてるのは仕様？
[976.089] playatlas: 上の画面ずれてんね
[976.252] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます。未登録のかたは こちら参照ください → https://bit.ly/2YE2nLB
[978.845] kahaku91: 本当だ睦月さんランキング現在1位だね
[983.174] (S)hisotensokuzei: 倒されるとExデッキに戻って強化されるカード
[985.802] (S)une3333: 多分上は手札だけお楽しみくださいってことなんだと思うよ
[1026.578] kagamin177: ネメシスはかっこいいから使う
[1036.304] LogicalDashGG: 最初から見切れてた？
[1044.501] (S)平本: 手札だけにしてもずれてるね、最初は全く映ってなかった
[1050.007] かささぎ: ネメシスは赤と黒に刺さる
[1057.879] LogicalDashGG: あはん thx
[1072.599] kahaku91: ままま画面は調整していこ
[1074.959] (S)平本: これから調整よていかと
[1085.668] (B)DaigoTheBeasTV: 最初の方はandroidなのでキャプできませんでした。上のズレは機種依存です
[1095.809] (S)平本: 了解です〜
[1102.883] (S)une3333: なるほど、スタッフさんありがとーー
[1112.094] LogicalDashGG: なるほど、ありがとお
[1144.356] angardgg: ウロボロスつよすぎ
[1159.854] かささぎ: yori
[1172.737] curryko: ゲージ確認してたね
[1174.745] かささぎ: より安全に食べていくぅ
[1183.682] obo_006: カード見えるようになった！
