[819.075] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[821.736] 774kk: 夜はとろちゃんと？
[825.909] inufu: 求人ではあるか
[830.065] ほまれー: 自分、コンペ勝ちたすぎて、デスマに18時間こもってた時ありますww
[830.966] ABRxay: 山Pガンバ⤴︎！
[837.973] (S)natu0713: さあくるのか
[851.222] giselle_irene: マタギさんまでいけるのか
[852.626] keita0704: w
[856.326] y__yel: 嫌われるかもしれない
[857.870] (S)owo_8o8: いっちゃえ
[859.436] achan141: ワオw
[859.738] azarashi_ft: そんなにサーバーにいるんかｗｗｗ
[861.249] cookie0532: こんにちは👋😃学校から帰ってきました
[865.614] kobakobabunbun: な、なんやこいつ
[865.742] sayapoyo911: 誰が来るかな～(っ ॑꒳ ॑c)ﾜｸﾜｸ
[866.523] bamboo3q: いこうw
[870.324] エンドラ_: 500人…
[878.523] (S)はおちゃ: 通知気づかなかった、こんへんー
[880.337] まろ132456: ヘンディーさん達がやるマップランクにないから、あと9人誘ってカスタムでやった方が良い気がする…
[896.336] y__yel: ちょっといらってする人くらい入るかもしれない
[897.249] (S)柚子はちみつ: 19時からなんかあるんです？
[901.866] ssssssssszx: @9
[902.777] エンドラ_: それだけ人数居たら通知切られてそうだけど
[908.437] inufu: むしろそんな人居たら理由聞いてみたいwww
[908.659] kiichan_oo: !rank
[908.758] (M)Nightbot: APEX/ゴールド２ VALORANT/ゴールド１
[911.829] rio__0621: へんでぃ—とvaloしたいっす
[913.339] (S)じぇにん: 100人くらいきちゃうかも
[933.625] (S)owo_8o8: アッ...
[939.819] y__yel: あ
[940.606] 激ローメタモン: vodkav2Vdk
[943.268] ABRxay: ？？？「アイツのコト元からアレだったんだけどメンションしてきてさぁ…
[953.870] azarashi_ft: まぁ、500人おるところならeveryoneとhereはミュートにしてるやろｗ
[954.104] inufu: まだ他の方々は夢の中か？
[968.883] azarashi_ft: それがいやなひとは
[985.460] rainrut: みんな朝までやってるからなぁ...w
[985.979] keita0704: そ、ろ
[986.522] y__yel: 友達呼ぼうよ
[987.028] (S)ぬべす: tonaka2Hendyobaatyan2
[989.642] (S)ケダ: ；；
[990.509] ヤサイマシアブラカタマリ: オフ会0人
[995.883] sayapoyo911: 🥺
[997.074] エンドラ_: リスナーつれてこか…
[998.792] (S)akahige9280: tonaka2Hendyobaatyan2
[1000.349] kiichan_oo: ソロコンペしんどいよねㅠ_ㅠ
[1000.540] なかたけ11: だれかー
[1002.185] (S)柚子はちみつ: みんなスト６か
[1006.330] y__yel: メンヘラヤメテネ
[1009.524] achan141: Xは？
[1011.099] さくぅ_: tonaka2Kuuuuuun
[1011.752] (S)かなるな: リスナーはなしか
[1016.158] cocoamilk24: ソロコンペティブだねw
[1018.690] inufu: 星飛雄馬になってまうクリスマスの
[1019.626] rainrut: ソロだ.....
[1024.295] エンドラ_: 平日この時間やばそ～
[1028.292] (S)owo_8o8: 別にいいんだけどさぁ
[1031.510] kobakobabunbun: べつにいいんだけどさー
[1035.218] かじ山: ヘンディーデュエ使った方がいいかもな。ダイヤとかアセに撃ち勝ってたし
[1038.279] inufu: 別にいいんだけどさ
[1039.842] ginnojo_dayo: ソロコンペ秩父マディか！
[1040.702] bamboo3q: 別にいいんだけどさ
[1041.170] (S)かなるな: www
[1041.382] azarashi_ft: 最近やってる人朝までやってた勢多かったしまだ寝てるかもな
[1042.092] don991028: 報告来ないせいで裏抜けてる敵に気付かずに壊滅するのがシルバー帯
[1043.493] (S)ぬべす: 別にいいんだけどさ
[1044.135] sayapoyo911: いじけないで🥺
[1045.534] y__yel: ﾁﾗﾁﾗ
[1053.654] cocoamilk24: 強がってるw
[1059.782] (S)owo_8o8: tonaka2Nikkori753
[1062.447] kobakobabunbun: 和宇ちゃ当たる
[1077.813] azarashi_ft: あと相手平均芋なんだよな（ ＾ω＾）・・・
[1079.643] (S)かなるな: あれが実力だと思ってる
[1091.703] エンドラ_: でもヘッショラインしっかりしてないとじゃない？
[1101.870] kaito_1k: 歩きながらでも頭飛ぶときあるからな
[1108.699] ほまれー: ぶいすぽ側は、ほとんどイモータル？
[1110.026] (S)akahige9280: ハンマー持って走らないようにねw
[1111.368] エンドラ_: 過小評価マジかｗ
[1114.865] (S)かなるな: 上振れれば行けると思うのがリスナー
[1122.240] (S)じぇにん: イモータル2人かな？
[1123.764] かじ山: 過小評価ね、了解。ヘンディーち○こちっちゃいな!!
[1124.018] kobakobabunbun: またトラウマを植え付けられるのか
[1127.720] inufu: 雑魚が
[1132.455] azarashi_ft: @homare_0518 のあーが汗３でそれ以外全員芋経験者
[1142.311] (S)ケダ: ゲッコー結構いけるよ
[1143.759] ほまれー: @azarashi_ft ありがとうございます！
[1168.203] エルネコ: ヘンディー頑張って！
[1169.367] don991028: 自分は強いってマインドValoで大事だよ。自分のこと過大評価しよう
