[842.473] lightkk0: 出た、たけーやつ
[844.123] user0511: すっご
[844.579] (S)Perao_dk: おお
[845.341] lebron34em: TriHard
[846.522] stainless304: PogChamp
[847.825] (S)canon_203: めっちゃすげええええええ
[847.931] m3vz: かっけえ
[848.284] korikori_c: 刺繍はマージ高いね
[848.826] (S)hosuhosu: メルカリで売ろう
[849.822] msnbt: 前後逆に着よう
[851.522] rfnd4936: プリントじゃないのか、すげーなｗ
[859.979] lucyjojo: さわります
[861.850] sansiki205: 街はう～ん
[865.503] metalface_05: 全然大丈夫ｗ
[865.732] okitotoro: 触っていいのマジ？？？
[866.683] user0511: ミカはちょっときついかなぁ？ｗ
[869.449] (S)kkkfdf: やべーやつ
[869.812] Frasco006: 全然イケる
[872.164] rt340: 自己顕示欲だしていこう
[872.702] papuyan: リュック背負ったら見えないからOK
[873.248] psionicpsi: 一点モノ
[873.867] ememeume: ミカ！！
[874.972] bamirio: 尻がやばい
[878.093] gon0go: さわさわしたいいい
[878.492] (S)えっさっさん: それ刺繍なんか！すご！
[879.930] Sharlock93: R.Mika is the best
[883.872] (S)ayuka_game: うめｗ
[884.988] rt340: おいｗ
[889.202] (S)kuini__: 普通に着れるよ
[901.534] MaeChannel: キャラ替えできないね
[901.937] Imaise: ええなー！
[905.195] ramulock: はつめ呼んでよ
[906.629] MaeChannel: できないね
[907.644] (S)nonnon1990: あのアルデブさあ
[917.881] metalface_05: 小作はライバルｗｗ
[920.523] Stay_Hydrated_Bot: stayhyBottle
[921.583] (S)kumanobed: おお！
[921.733] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[922.681] (S)rekkauma: コサク相手は無理やろｗ
[932.928] omedetroit: コサクいるんかいw
[933.035] user0511: 折笠のライバル コサク
[936.401] (S)rekkauma: 対空全部出るぞ
[941.387] らんぼ227: 折笠さんって元々格ゲーやってたの？？
[942.067] loq901: 折笠しゃべれるようになったなｗ
[942.574] okitotoro: コサクがライバルなんか
[943.274] metalface_05: 小作”さん”ｗｗｗ
[946.095] (S)spring__thief: そういや折笠のEVO反省会してないやろ
[946.875] meshiumer: コンビニ感覚でコサク
[951.776] Frasco006: まじ？ｗ
[953.282] psionicpsi: まじか
[953.364] rt340: まじかｗ
[954.946] imurilove: ｸｯﾃｨﾎﾞｰ
[957.695] sibazuke0141: まじか
[958.168] myk0526: ストリート不足だからイケメンスマイルアップで欲しいな
[961.990] (S)diego_ohunabara: HSWP
[964.126] 球根: wwww
[965.434] (S)canon_203: まじ 
[965.911] metalface_05: きたｗｗｗ
[966.550] krowflow: はや
[967.301] sora_neko09: 勝ち越してるの？
[968.118] (S)shiki_sb: www
[970.253] (S)風呂でフルーチェ: 勝ち越してんのかｗ
[971.019] decsy_12: 折坂さんそんな強いのか
[977.325] decsy_12: 折笠
[979.863] sagecomand: ランクマの因縁
[980.298] hoehoeR: 対戦相手をげっとできるｗ
[980.678] loq901: コサクよわっ
[983.167] user0511: いつもの灰色カーデガン
[986.748] (S)ayuka_game: おりかさはふつうにつよいぞ
[989.450] Imaise: 緊急ゲスト、コサクっ！ 
[997.363] omedetroit: 折笠ふかした？？？
[997.392] (S)nonnon1990: コサク売名していけ？
[1010.554] katsutoro0405: チョコちゃんくらいのフカし
[1021.969] metalface_05: ボンちゃんｗｗｗｗ
[1027.700] (S)風呂でフルーチェ: コサク君負けたらまちゃぼー先生呼ぶしか…
[1031.270] user0511: マサのアカウントでいいのか
[1050.519] (S)ayuka_game: ２０００にまけたの？
[1051.485] Imaise: 来たなコサク
[1060.073] metalface_05: 大丈夫
[1060.160] guile_head: ２０００
[1063.256] okitotoro: おけ
[1063.598] psionicpsi: 大丈夫
[1063.830] (S)風呂でフルーチェ: おｋ
[1066.682] agemochi: ok
[1074.924] benizakuratosaken: おけ
[1077.704] benizakuratosaken: オケ
[1078.431] korikori_c: 3先にしろ～～い
[1083.143] (S)rekkauma: コサクはキャラ変えないの？
[1085.302] ratchet0512: トラボの戦闘力は
[1088.439] 二丁目: まぁまず負けるはずないよなぁ
[1089.058] (S)kuini__: やったれ
[1089.779] hirarilemon: 負けんやろ～
[1094.912] metalface_05: ３先いいね
[1102.842] korikori_c: 3先ありがとーーーー
[1105.707] omedetroit: 折笠に負けるは"ない"
[1118.933] (S)rekkauma: ネカリ使いみんな上出る
[1125.223] hirarilemon: TGAコサク
[1131.004] okitotoro: ハンサム冷やしていこ
[1133.965] Imaise: 大丈夫やで
[1136.076] (S)りむ105: 強そう
