[653.711] sndkzfm1: 今回の運営は割とそういうのすぐ直す
[657.370] tokyo_incidents: 猶予何Fなんだろリバサ
[658.175] DaZe0807: Wake up dp smh
[666.006] echa_pi: ウメち、こんちゃ！
[681.808] keigunnoikkaku: ピコピコポンポン！
[684.780] monen_tofu: イウサール上手く凌いでるね
[685.830] もきち555: ウメちゃん昇竜出したモン！
[686.125] Clavitz: beautiful parry on that tornado
[688.148] CARNO_JPN: リバサの性能をゼロ3みたいにしてほしいな
[689.145] siiidmo: 猶予が短いから出ないの？
[689.876] (S)日本語かな: 知らないインパクト重ね連携
[691.107] camel0141: 出たね
[705.432] Leu_shin: ラッシュの時間停止中に出ちゃって起き上がってないのに入力してるかららしいね
[710.230] 騙すカス鋼: sekiRun
[715.347] 新ころりん: ウメちゃんこんにちは
[728.974] 米倉健輔: ラッシュの時間停止が相当悪さしてるんだよなこのゲーム
[730.430] イエール: かっけー
[735.160] ぬーぼー2: これが、龍尾じゃああああ！
[735.496] nikkou18: なんかDリバ使うようになった？
[746.693] 騙すカス鋼: DinoDance
[760.926] rat_2442: umeBlocking
[766.056] (S)日本語かな: 強化弱ミキサーが相手有利だしDリバ確定だからじゃない？
[768.504] (S)seatliens: moon2PREGARIO
[789.664] macmega_: Are you the greatest of all Time Daigo Kun?
[795.786] aureuval: Lab that
[796.490] (S)ムギムギヲ: mugimuDonmai
[805.208] blackcoffee0821: umeGoat
[808.475] aureuval: Ken mirror go crazy
[811.985] no_name__yet: 時間停止中もコマンド受け付ければいいのにね
[814.743] イエール: むっ
[816.108] 米倉健輔: なるほどなあ
[836.405] バロン笹本: きんちょーるさんだ
[837.952] (S)koutwitchtv: 先生じゃん
[845.079] nikkou18: なるほど
[849.378] (S)中段立てず表裏も見えない: ラッシュ最速見たく長押しでリバサもさせてくれ～
[850.259] sigano3123: 師匠
[856.014] munmvn: Daigo have you seen the double DP corner combo?
[856.169] (M)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[857.948] (S)haicro_zm: よく当たるね
[861.533] バロン笹本: 今度の大会同じプールだよね
[906.241] takahashiseigi: ケン-ラシードは最近、ときどとももちが対戦しまくってますね
[906.847] 騙すカス鋼: ウメちゃん大会開いてくれてありがとう
[914.386] macmega_: I predict Ken will win
[914.557] (M)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[952.539] nikkou18: かけるやないでBCマスター帯の配信やるみたいで楽しみ
[983.522] Neodanger: ouch
[986.452] (S)しゃくれ: そういえばももちラシードとは対戦する機会とかあったのかな
[996.566] keigunnoikkaku: しょんぼり...
[1003.071] クレちゃ: 相手キレキレだな
[1022.541] macmega_: Are Hamsters allowed in Chat?
[1038.217] Neodanger: hamsters?
[1050.404] SUUKUN_: SUUKUN_ subscribed with Prime. They've subscribed for 13 months, currently on a 1 month streak! 
[1067.388] chin_56_: cat2indente8nde subscribed with Prime. They've subscribed for 23 months, currently on a 10 month streak! 
[1085.381] polo_ed0: LUL
[1087.306] (S)ソーラン武士: umeCat2
[1089.092] monen_tofu: とにかくありがとー
[1156.826] rokurou_game: おりゃって弱リュウビ？？
[1156.924] タイラーダーデン: タイラーダーデン subscribed with Prime. They've subscribed for 31 months! 
[1168.925] 1337rpgamer: hai
[1192.435] rokurou_game: ども！
[1218.399] triton11519: triton11519 subscribed at Tier 1. They've subscribed for 55 months! 
[1227.841] takahashiseigi: ラッシュヒットしても、単発で終わってて、もったいない
[1238.904] ratchet0512: Tylor Darden from Fight club
[1245.493] をかし: をかし subscribed with Prime. They've subscribed for 35 months, currently on a 17 month streak! umeYung
[1251.521] DudleySF6: HypeSleep
[1265.330] (S)yourLiege1: yourLiege1 subscribed at Tier 1. They've subscribed for 2 months! 
[1278.952] shiro_risu01: umeCat
[1279.125] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典があります → https://bit.ly/2YE2nLB
[1288.089] quwrof_sb: 光の戦士やん
[1295.765] 岢岢: Hello 
[1303.031] asa2023ku: こんにちわー仕事中にうめちゃん見ちゃおー
[1303.488] rat_2442: MercyWing1
[1331.819] shiro_risu01: PowerUpL
[1338.897] (S)tabibitox: とんだ
[1341.781] (S)ぼわぼわ: bowabowa_cat subscribed with Prime. They've subscribed for 5 months, currently on a 1 month streak! 
[1356.271] Loytory: ないすぅ
[1359.789] おきあがりこぼし: KomodoHype
[1361.605] どもるがん: PowerUpL
[1398.371] (S)ぼわぼわ: うめちゃんに名前読まれるのめっちゃ嬉しいなこれ
[1400.898] をかし: PowerUpL
[1406.450] 岢岢: LUL
