[1062.470] (M)(S)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1067.967] Ceciltaisa: ッケイ！
[1092.403] provisualfight: annarfVictory
[1131.676] ひろみつー: あぶね
[1131.807] (M)(S)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1133.933] 軽く捻るか: あぶなかった
[1136.375] umetyaahan: すなお
[1145.684] LSI1000: 森川先生バーチャとかやってたし格ゲー好きだよね
[1193.475] (S)イエール: DinoDance
[1194.772] 軽く捻るか: ナイス！
[1197.414] fikat_0702: 完璧！
[1204.898] (S)野原しんのすけのぞうさん: お、髪すっきりしてる！１０歳若返ったな
[1207.530] (S)じゅーくぼーい: 仕事帰り電車からこんばんはウメちゃん！
[1213.650] (S)イエール: ネモさん
[1214.071] 0208h: きたわね
[1214.788] ひろみつー: リベンジ
[1216.879] (S)y_proto: 闇の帝王
[1217.856] provisualfight: [OD] 
[1218.365] tabibitox: JPJP春JP
[1219.069] emaplusplus: 知ってた
[1219.442] chachachakoma: きたね
[1223.535] Ceciltaisa: 闇
[1229.848] (S)イエール: wwww
[1230.564] (S)じゅーくぼーい: ネモさんきちゃああああ
[1235.856] LSI1000: 光の戦士
[1237.519] Ceciltaisa: 投げまくれえええ
[1245.323] (S)じゅーくぼーい: とりあえず？
[1246.545] fikat_0702: すごいｗ
[1258.360] (S)じゅーくぼーい: 中足
[1258.968] market_fujisaki: ウメさんまだ日本いたぁ！
[1266.623] (S)じゅーくぼーい: いたい
[1301.204] (S)じゅーくぼーい: 端だとラブーシュカは投げだけでも美味しいか
[1301.753] ko_enma_sama: ねもさんうめえ
[1332.265] (S)じゅーくぼーい: ラブーシュカくる
[1343.385] provisualfight: JP 
[1345.970] ひろみつー: ぐわあああ
[1350.455] ryuken_future: sa2ほんま
[1363.677] 箸くれ: ゲージ溜まったらほんま
[1380.942] harunan808: 楽しんで下さい♪
[1400.398] (S)じゅーくぼーい: SA3本あればラブーシュカ撃って、すぐ2発目いけんのがほんま
[1423.441] tabibitox: なーがい
[1427.999] pyamaaaa: ウメちゃんこんばんは〜
[1435.343] ひろみつー: あの杖つよいー
[1440.233] fireballkid1981: うまかった
[1441.623] (S)ponponguripon: とぅーえんじょい
[1444.566] bec118_japan: うめちゃんエドのpv見たって言ってた？
[1446.508] (S)じゅーくぼーい: コンボくそうまい
[1463.586] (S)イエール: 観てないよ
[1475.604] bec118_japan: そっかありがと
[1499.137] fikat_0702: おおお
[1500.628] dxgenre: nice
[1502.689] ひろみつー: ギリギリー
[1502.952] (S)hoshi_boshi_0: すげ
[1504.715] tabibitox: ギリまにあった
[1505.999] (S)simatarow: おおおお
[1508.012] typegrande: 間に合った形
[1552.754] (S)じゅーくぼーい: きつい
[1556.878] dxgenre: PogChamp
[1559.457] bec118_japan: あるのか、、、？？
[1562.525] (S)イエール: umeYay
[1563.036] homu0117: ないよなあ…
[1563.712] bec118_japan: あらー
[1567.138] 발렌타인9: what a fight 
[1569.083] gensui12p: ネモ神
[1571.984] fikat_0702: インパクトかー
