[2764.019] 雀鉢: ？！
[2765.751] aroduy: www
[2779.110] (S)ンパールーパー: 来てる
[2788.827] えっっっくす: えっっっくす gifted a Tier 1 sub to aroduy! They have given 77 Gift Subs in the channel! 
[2880.589] えっっっくす: ないす
[2894.536] (S)ンパールーパー: ﾅｲｽﾃﾞｽっ
[2907.386] (S)ygarshy: vcが楽しいw
[2919.785] (S)ンパールーパー: ｖｃ愉快よね
[2931.911] ash02134: アイボ得意？
[2943.723] (S)daiya18129: ヴァイパーは拳銃を向けられてます
[2953.494] えっっっくす: ジャッジがん刺さりだ
[2962.897] (S)ンパールーパー: 声高い人がＡＣＥ取った人？
[2987.028] えっっっくす: 声高いのはACE取ってない人
[2988.922] (S)aroduy: 今日は寝ます！また来ます！
[2998.564] (S)aroduy: 頑張ってください！
[3009.759] (S)ンパールーパー: 取ってない人か，さんきゅ！
[3079.982] (S)ンパールーパー: ら、？
[3090.025] (S)こよ111: wwwwwwwwww
[3094.386] (S)ンパールーパー: ｗｗｗｗｗｗｗｗｗｗｗｗｗ
[3100.515] オーノン: なんだこいつ！？
[3102.101] (S)ンパールーパー: いきなり恋愛相談
[3103.487] (S)こよ111: つっら
[3105.367] ash02134: ｗｗｗｗｗｗｗｗｗ
[3114.948] (S)ンパールーパー: 辛いなぁ、断られたのは
[3119.134] (S)ンパールーパー: あ
[3125.834] (S)ンパールーパー: これ！？懲罰マッチｗ
[3136.179] えっっっくす: UKさんはいつも新宿ご飯断る側だからな
[3138.401] オーノン: だる絡み懲罰マッチが一番キツい
[3145.867] aoinoaoiro: ある意味笑
[3159.844] (S)ンパールーパー: 恋愛相談懲罰マッチ
[3171.287] (S)ンパールーパー: おぉ
[3181.691] (S)こよ111: wwwwwww
[3183.594] ash02134: nt
[3192.708] (S)ygarshy: バッサリ！
[3193.875] (S)ンパールーパー: そりゃぁ、だめだｗｗｗｗ
[3195.100] えっっっくす: まさかの救いようのない断り文句だったwww
[3203.319] (S)ンパールーパー: 思ったよりちゃんと振られてたｗ
[3222.296] (S)こよ111: 全員キャラ濃いな
[3234.937] (S)sodateya_: sodateya_ subscribed with Prime. 
[3235.078] (S)ンパールーパー: その気になる人誰なんだろ
[3267.404] (S)ンパールーパー: 追い打ちかけんなｗ
[3271.629] aoinoaoiro: 高い声聞こえるたびニンマリしちゃうな
[3278.425] オーノン: キツすぎる
[3280.248] (S)ンパールーパー: しんどｗｗｗｗｗｗｗｗｗ
[3336.824] (S)ンパールーパー: ピングーいたぞ
[3339.248] ash02134: 3ptくさいね
[3342.444] えっっっくす: オペの覗きは長押しですか？
[3352.084] (S)ンパールーパー: 四人目になる？
[3367.347] engarang: ww
[3372.323] (S)ンパールーパー: どこもうつんないｗｗｗｗｗｗｗｗ
[3377.547] ash02134: そら断られるわ
[3394.945] (S)ンパールーパー: 焼肉デートダメになるｗ
[3446.719] (S)ンパールーパー: 静かだなｗ急に
[3509.762] (S)ンパールーパー: ｗｗｗ
[3515.231] akitakomati: こんばんは
[3543.256] (S)ンパールーパー: これは果たして懲罰マッチなのか？
[3558.073] ash02134: 急に静か
[3583.118] engarang: 次いつデートに誘うか聞いてみよう
[3598.627] (S)ンパールーパー: 諦めずにデートにも勝ってもらお
[3671.908] (S)ンパールーパー: 賭けの結果が見えてるから安心してみてる
[3735.623] ash02134: うっま
[3737.995] unkofan893: うっま
[3739.974] painapurujdks: うま
[3748.387] (S)ンパールーパー: うまま
[3847.254] (S)ンパールーパー: ｗｗｗｗ
[3847.839] オーノン: だるすぎｗ
[3855.015] ayarechan13: www
[3855.924] ash02134: また急に始まったなｗ
[3862.688] (S)ンパールーパー: 急に絡んできたわりにはｗ
[3876.718] (S)ンパールーパー: ｗｗｗｗ
[3880.377] naya15300: wwwww
[3884.162] (S)ンパールーパー: ちょっと声濁ってたｗｗｗ
[3898.290] えっっっくす: ナノ壊したのイケメン
[3910.309] (S)ンパールーパー: うまぁ
[3914.907] engarang: だる絡みの返しで友達に精神攻撃するの攻撃力高いw
[3938.802] (S)ンパールーパー: ｗｗｗｗｗｗ
[3953.208] えっっっくす: スプリットと真逆の展開だ
[3958.489] (S)ンパールーパー: なんなんだこのマッチｗｗｗｗｗ
[3975.296] (S)ンパールーパー: 懲罰マッチって一回だけなのか、続くのか、
[3978.796] (S)ンパールーパー: どっちなんだ
[3990.570] えっっっくす: ないっすー！
[3997.139] (S)ンパールーパー: ないす
[4021.164] (S)ンパールーパー: お
[4056.263] (S)ンパールーパー: ＡＣＥチャレンジ頑張れ
[4060.805] (S)ンパールーパー: ないすーーーーーー
[4062.293] ash02134: 有言実行まじか
[4068.837] (S)ンパールーパー: かっこよすぎｗｗｗ
[4073.976] (S)ygarshy: かっけーーー
[4075.190] えっっっくす: wwww
[4080.643] naya15300: サードACEまじかっこいい
[4082.755] (S)ンパールーパー: なんでだよｗｗｗｗ
[4086.233] engarang: wwww
[4090.478] (S)ygarshy: もうムリだよ俺は……w
[4101.314] (S)ンパールーパー: アンミカ…ｗｗｗｗｗ
[4122.756] aoinoaoiro: 食い気味の似てないウケる
[4126.241] (S)ンパールーパー: ちゃんと断られたの深手に追ってるｗ
[4130.562] オーノン: アンミカと共演したらこのソーヴァが頭にチラつくようになるぞ
[4133.836] (S)ンパールーパー: ＧＧ
[4142.033] (S)ygarshy: 👏🏻👏🏻👏🏻
[4150.037] (S)こよ111: 悪い奴らじゃなかった
[4152.646] yasudatada: 早かったね
[4153.864] (S)ンパールーパー: れいなかっこよかったな
[4174.180] ash02134: シルバーいるのか
[4181.231] (S)ンパールーパー: あ
[4188.146] オーノン: 俺G3なんだけどこんなレベル高く感じないぞ
[4189.610] naya15300: な、いぶ
[4192.275] ayarechan13: ＾＾；
[4198.406] ash02134: 内部がｗ
[4214.692] engarang: 内部がうんこちゃんレート
[4229.687] (S)ンパールーパー: 次は通常マッチかな
[4248.028] ash02134: 昨日トロール引いたの？
[4272.266] (S)ンパールーパー: トロール引いたね
[4292.670] ash02134: あ
[4294.180] naya15300: メインロールはデュエですか？ん
[4300.702] (S)ンパールーパー: 萎えて。義務教育の話してたね
[4319.177] えっっっくす: スプリットout前に堪能しとけってRiotが言ってます
[4319.305] (S)ンパールーパー: ラガマフィン…
[4331.962] オーノン: チェンバーヨルセージとかいう懲罰確定マッチ
[4348.849] (S)ンパールーパー: 懲罰マッチ。まだ続くかぁ
[4353.356] ash02134: チェンバーほど味方に来てほしくないものはない
[4358.044] えっっっくす: Lazさんの弟子の可能性()
[4371.661] オーノン: チェンバーいるならセージじゃなくてゲッコーとかでよくね？
[4382.125] ash02134: スプリットセージは良くね？
[4392.098] engarang: それはヨル関係なくない？
[4400.921] (S)ンパールーパー: 昨日、ヨルに翻弄されてたしね
[4420.390] naya15300: チェンバー0か100かの印象しかない
[4433.764] オーノン: あ
[4434.932] ash02134: きっしょ
[4437.850] (S)ンパールーパー: あ
[4440.361] aoinoaoiro: セージか政治だと勘違いして、？？って思ってました
[4443.889] オーノン: 懲罰確定ゲップ来た
[4448.565] (S)ンパールーパー: まだ続くのか懲罰マッチ
[4449.398] (S)ygarshy: 続いてた…w
[4451.868] ash02134: 耳が腐る
[4456.198] naya15300: ハズレせーじきた
[4458.683] h1de4ndseek: くそきめぇ
[4463.224] (S)ンパールーパー: 一回
[4464.680] aoinoaoiro: 続 懲罰マッチ…
[4480.261] (S)ンパールーパー: いや、デスボかもしんない。。。ｗ
[4508.136] オーノン: このヨル普通にワイヤーかかってたしまずいかもしれない
[4536.691] (S)ンパールーパー: 声で遊ぶ人多いなぁ
[4546.046] engarang: crylixだぞ
[4549.514] オーノン: UKがエントリーしてあげるしかないかこれ
[4557.479] h1de4ndseek: vcきちぃ人弱い印象ある
[4559.276] naya15300: イニシ声のヨル
[4575.680] (S)ygarshy: デスボとウィスパー…
[4597.500] ash02134: 懲罰確定
[4606.524] (S)ンパールーパー: きちぃｗ デスボとウィスパーのＶＣ
[4627.348] オーノン: チェンバーとヨルどっちもワイヤーかかってら ヨルが壊せないし終わったか
[4628.776] (S)ンパールーパー: 今回は何回息を深く吐くだろうか
[4629.884] engarang: ぜうのムカデ人間内部レートまでさげよう
[4639.121] (S)ygarshy: きしょい
[4639.284] naya15300: オットセイもいます
[4643.156] (S)ンパールーパー: きつい
[4644.368] ayarechan13: おもんないのがキツい
[4661.436] naya15300: 深夜は香ばしいやつ多いな
[4664.205] (S)ンパールーパー: 大外れ懲罰マッチ
[4666.891] aoinoaoiro: 内部っていうのはレベル的なことですか？
[4678.699] オーノン: ポイントが溶けていく音がするな
[4680.290] ash02134: くそキモいうえにおもんないっていうgmセージ
[4688.652] h1de4ndseek: エイム連やな
[4691.114] (S)ンパールーパー: ＋強くない
[4718.956] (S)ンパールーパー: あの一回流したのがそんなに重かったのか
[4731.999] (S)ンパールーパー: セージ？
[4735.139] ash02134: セージ役満です
[4741.381] naya15300: 大トロの香り
[4755.845] (S)ンパールーパー: おもんないきしょい弱いトロール、役満じゃない？
[4756.487] オーノン: ヨルはトロールでチェンバーは普通に負けてるからUKが３人分頑張れ
[4766.881] ash02134: セージの音量下げよう
[4772.137] naya15300: セージ友達いなそう
[4776.506] timosi0077: こういうvcと話すの怖くてバロいまだにできない
[4794.470] (S)ンパールーパー: セージ、デート振られたんかな
[4795.390] オーノン: @timosi0077 NoVCでいいぞ
[4799.683] naya15300: フルパだけやろう
[4811.595] h1de4ndseek: こういうマッチは速攻降参いれてる
[4813.428] 佐藤__: 野良ランクのVCなんて基本聞く価値ないから最初から全ミュートでいいよ
[4817.573] timosi0077: バロってvc必ず必要だと思ってました。ありがとうございます！
[4819.526] (S)ンパールーパー: 一本取ればそれで勝ち
[4837.632] オーノン: NoVCでゴルプラ帯をセンチで遊ぶのが正解だよこのゲーム
[4852.468] (S)ンパールーパー: ｗｗｗ
[4858.560] (S)bringox: あえてねw
[4864.014] ash02134: このセージだけは一生無視で良い
[4913.727] (S)ンパールーパー: 死人はしゃべるなｗ
[4969.828] (S)ンパールーパー: ヨル…
[4990.165] (S)ンパールーパー: すぅ
[5016.541] (S)ンパールーパー: 懲罰もいいとこだよこれ
[5045.308] 佐藤__: ヨルセージがパーティーだとするとチェンバーとのトリオで最悪
[5049.175] engarang: 一回流すだけこんな仕打ちを受けるのかw
[5091.093] emma291159: アセンダント帯でも劣勢だとこうなる人多いよ
[5098.560] (S)ンパールーパー: ｗｗｗｗ
[5100.927] (S)こよ111: 地下送り
[5101.933] (S)Owl__zzz: BloodTrail
[5114.542] (S)ンパールーパー: 闇ヴぁロのお勉強だね
[5179.368] aoinoaoiro: 初本配信なかなかヘビーでむしろおもしろいです
[5226.283] (S)ンパールーパー: ｗｗｗｗ
[5233.066] naya15300: ？？？案件
[5234.827] (S)ンパールーパー: ヨルオペ？
[5235.053] ash02134: 4v2負けるんかい
[5303.841] oka_okaoka: こんばんはー！
[5311.278] (S)_たいしょう: _たいしょう subscribed with Prime. 
[5311.804] naya15300: えらいなぁ
[5353.948] (S)ンパールーパー: えらこ
