[242.633] mick39039: フナとリジェがんばれや！
[245.728] u_cchi: エッジ１５ｐ目標ですｗ
[248.847] su_gar__25: フナリジェでファイトして漁夫られたらしい
[249.149] smoena: 安置外でファイトしたら漁夫来て共倒れ
[249.165] (S)marrona91: 🍄つよい
[253.436] mendy11111: @takumiti_jpn 低スぺPCアピやめてね
[256.198] KeNG_tv: ワースの精神
[257.233] お弁当屋3: あと6pt
[258.157] Takamaron: 配信待ってました
[258.199] ティーセブン: タグ反映遅いやつ多すぎだろ
[258.913] takumisushi: エッジ15ポイント目標だよ
[261.661] pplopplo: rejectとfnaは最初やりあって二つとも漁夫でしんだ
[263.333] h0wakama: チームたぬかなはこの次？
[266.087] kabakabao3: こいつら始まる前にデカいウンコの話してた
[267.568] シュバイソ: がおいっす
[270.256] hiro2712: それはそう
[274.073] キューブってる: タグ言ってくるのやめてね 
[274.219] hyuuu_032: つぶしあってくれ
[275.260] jundaisuki2002: おそいぞ！
[275.807] RainBerry1515: バチバチやね
[277.130] (S)venven8: ぼど！内定もらった！(関係ない話ですまん
[278.029] KeNG_tv: プライドバトルよ
[279.097] mci_foden: 好きなんちゃう
[279.358] グラル87: プライドバトル
[280.120] gurararaaa: 片思いしてるリジェクト
[280.286] Miiyo7: REJECT はそろそろ無双して欲しい
[281.097] 7tatatatata7: ほんとにそう
[281.436] テコンダー: 更新したらAPEXやったわ
[281.637] arnananan: 長丁場す
[281.740] キューブってる: 長いね
[281.788] りぼん03: ボドミラーありがとう😊
[282.613] (S)44_vit: 44_vit subscribed with Prime. 
[283.138] u_cchi: やったあああああああああ
[283.337] huyvyhbvcchh: フナの方が格上だししゃあない
[283.692] alicejmmmm: あ
[284.157] ティーセブン: ｗｗｗ
[285.094] kzkyjm: あ
[285.838] umm_i_am: いっぱい見れるね
[285.920] ぱんぷきんへっど: だる！？
[286.341] baushgkls: あ
[286.356] コサンジです: ボドカVSフォイの全面戦争
[286.422] けーーしぃ: あ
[286.486] 肆愛徒: あんだけANに物申してるからね
[286.560] kaerukun_7: あ
[286.683] こったさん: a
[286.856] hi39_x_x: あ
[287.061] obanzaistudio: フナみたいなムーブやろうとしてぶつかり合ってる
[287.070] ただのともや: あ
