[43.929] sono_1611: うわ
[44.435] ajtmmtbgp: おめ
[44.965] (S)もこうやぞ: batoraSudachikun7
[44.994] (S)gardenpo: batoraValo
[45.123] (S)yff32415: batoraValo
[45.126] mb2sy: なあ音量さげてくんね？うるさいよ
[45.161] gr3y_h3art: エヘエヘ言いすぎだぞ！
[45.167] (S)miyamori7209: batoraValo
[45.821] tak191812: 連投お願いします
[46.063] おさかなさーもん: BloodTrail
[46.068] konbini7: 配信もせずに裏でコソコソとたのしそうだったな
[46.190] あのにも: きてぃーら
[46.278] (S)ユーエスケー: batoraValo
[46.281] (S)魑魑魑魑: 義務笑い
[46.420] kanakana6: 仕事は?
[46.528] ikoooru: バトラ好きー 
[46.541] (S)tyiramisu3314: やったああああああああああああああああああああああああああああああああああ
[46.545] nishio0: BloodTrail
[46.571] 豆電球㌘: batoraSudachikunAnimation
[46.744] エクレシア: うんこちゃんはじ…えーっと…いつもっ…昔から、あのー…あのっ！…パワポケ8のときからほんとに、あの～…見させてｲﾀﾀﾞｲﾃ…
[46.968] いかいかなん: うん、こちゃん
[46.981] (S)はんぺん太郎: batoraSudachikunAnimation
[47.056] mogimogi5: batoraValo
[47.168] strongzerooo: BloodTrail
[47.181] (S)elferia226: それはおめ
[47.378] osodaso: きtらあああああああああああああああ
[47.412] ri_nemuri: うおおおおおおおおおおおおおおおおおおお
[47.532] INkey_001: にぃにって呼ばせろ
[47.590] redwopu2: うん こちゃん
[47.824] (S)harumakiudon: うおw
[47.973] simarisu0402: おめ
[48.012] (S)hituzi333: カトさん？！
[48.166] Hsnik_: なにしてんのおまえ
[48.173] kawaaa0: おめ
[48.188] impacttto: はぁ…
[48.683] shoot3r_1: 444444444
[48.779] tenkina123456: 軍団入り
[48.880] (S)ﾐｮ: 軍団入りやめてね 
[48.888] ビートきよし: 小僧
[48.895] sakuramotiy: 早く挨拶しろよ！
[48.977] (S)오코메짱: 顔出せ
[48.979] いこます15: 加藤軍団！？
[48.986] (S)pandasan_power: batoraValo
[48.997] (S)エル_: batoraValo
[49.005] (S)sakana_chan_: batoraSudachikun3
[49.032] (S)minatoyssy: batoraValo
[49.072] fushi5726: ***ちゃんはじ…えーっと…いつもっ…昔から、あのー…あのっ！…パワポケ8のときからほんとに、あの～…見させてｲﾀﾀﾞｲﾃ…
[49.087] (S)村紗あざらし: うん、こちゃん！？！？！？
[49.582] g_h0164: batoraValo
[49.614] yayayakn: batoraValo
[49.790] パパイレ: さくらスキンってそういうことか？
[49.839] (S)tympomn: うきうきバロ
[49.840] 岩谷翔平: まさかの第2回valoきたぁぁぁぁぁぁぁ
[49.998] ひむたらこ: 配信ありがとう
[50.005] akinorimuroi1209: サブスクください
[50.208] moa102: 嬉しそう
[50.228] ku_taro: 44444
[50.424] ll_cc_002: それはおめw
[50.476] runrunxan: ヴァロ4
[51.114] (S)かまめし1523: おめ
[51.195] avaranti: 英雄団きたああああああああ
[51.257] kenssaaki: ええええええええ
[51.322] ryou1813150: きたあああああ
[51.437] (S)giten1415: めっちゃニッコニコで草
[51.443] (S)p184: 44444
[51.576] bubobo_mowa: batoraValo
[51.897] sdxse: うんこちゃんはじ…えーっと…いつもっ…昔から…あのー…あのっ…パワポケ8のときからほんとに…あの～…見させてｲﾀﾀﾞｲﾃ…
[52.068] りょりょ24: よかったね！
[52.140] ftacoyaki: batoraValo
[52.160] ブロンズです: オンオフすんなよ
[52.198] ねねと: バッさんウキウキで草
[52.264] ~MISSING_COMMENTER_INFO~: ヴァロきtらああああああああああああああああ
[52.282] (S)lory_del: batoraValo
[52.545] buzz_cloud: あーあ
[52.769] kazuuso: おいあのコピペくれよ！！だれか！！！
[52.921] lokinlokinlokin: はんじょうのとこにいたんかよ
[52.946] pochibukuro0: 左上すだちくん忘れてますよ
[52.996] ougust__: もう俺の知ってるお前はいないよ
[53.023] apple_pie0827: でゅんとやるからって配信つけるな
[53.049] kanakana6: はぁ
[53.190] choco_ptotq: バトラ「yabai」
[53.478] (S)strfjj: batoraValo
[53.576] kali118: ウキウキで草なんよｗ
[53.875] (S)yuthi_hida: batoraKirai
[53.914] typewith: MAPかくせ
[54.137] (S)frorida_22: でゅん！？
[54.358] ウソッキー: 加藤純一英雄団入団最終試験
[54.456] (S)あかしゃち: batoraValo
[54.510] じゃっこ_: きｔらあああああああああ
[54.557] (S)monouliszt1: それはおめw
[54.666] Cure4ce: 顔出さなくていいからワイプに口角写せ
[54.695] yoro_shikune: まじか
[54.846] ANAPA0000: ！？
[55.247] ごまつゆ: batoraValo
[55.339] komatsu0829: batoraValo
[55.572] oeoupro: じゅん...///
[55.730] (S)wo_nderland: 明日仕事やろ？
[55.900] (S)うぃはち: batoraValo
[56.150] (S)lsugizo: きtらああああああああああ！！！！！
[56.478] groovy_gozila: 二回目があったとはな
[56.558] sdxse: うんこちゃんはじ…えーっと…いつもっ…昔から…あのー…あのっ…パワポケ8のときからほんとに…あの～…見させてｲﾀﾀﾞｲﾃ…うんこちゃんはじ…えーっと…いつもっ…昔から…あのー…あのっ…パワポケ8のときからほんとに…あの～…見させてｲﾀﾀﾞｲﾃ…
[56.676] ionisation: コピペはっや
[56.685] todo_19: えー、やってたの？
[56.774] ~MISSING_COMMENTER_INFO~: うんこちゃんと！？
[56.885] (S)kotono_ha: batoraValo
[57.119] あんソロ: ｲﾀﾀﾞｲﾃ
[57.179] akibo312: yoshimiDance
[57.664] (S)elferia226: ニコニコで草
[57.672] ~MISSING_COMMENTER_INFO~: 祝痴漢界隈加入‼️
[57.782] mogimogi5: batoraValo
[57.864] heinry140403: マップ隠しとこ
[57.868] heishosann: ウキウキやん
[58.123] (S)shikurarock: 英雄団おめw
[58.297] (S)猫舌の犬: BloodTrail
[58.349] 海軍大将黄ギャル: にっこにこでわろた
[59.255] gage_grandfinal: でゅん444444
[59.302] m1kyyyta_x: GWの最後によかったな
[59.487] (S)ティアーモ大好きアモーレ: おい！篝火の話しろ！！！！！
[60.218] (S)パルテナ難民: batoraValo
[60.781] カフ力: 馴れ合いヴァロ
[61.017] kanakana6: ウキウキなの可愛い
[61.061] yyyuuna: 加藤純一英傑団 
[61.296] (S)yff32415: batoraValo
[61.462] ~MISSING_COMMENTER_INFO~: うんこちゃん！？
[61.526] todo_19: BloodTrail
[61.566] (S)named_silva: うんこちゃんはじ…えーっと…いつもっ…昔から、あのー…あのっ！…パワポケ8のときからほんとに、あの～…見させてｲﾀﾀﾞｲﾃ…
[61.767] (S)minatoyssy: ニヤニヤしてそう
[62.104] (S)pon_pon_bomb_: 3窓してるわ
[62.334] ドゥテルテ: ヴァロ4
[62.440] ll_cc_002: 小僧ウキウキでｸｶなんよ
[62.540] (S)もずク: よお 
[62.551] uyunienk: かかってて草なんよw
[62.624] motopei: マップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せ
[62.646] Gomadare_: たのしそう
[62.845] shoot3r_1: かっさんと 
[63.060] エクレシア: きっもw
[63.074] yokogeko66: batoraValo
[63.114] (S)サかね: よかったね
[63.539] (S)しめち: batoraValo
[63.579] (S)meme_andac: ヴァロ444
[63.759] (S)hituzi333: batoraValo
[63.961] ikanosashimiiiii: 加藤さんとやりたくて下げランしたかいがあったね
[63.991] あんソロ: うんこちゃんはじ…えーっと…いつもっ…昔から…あのー…あのっ…パワポケ8のときからほんとに…あの～…見させてｲﾀﾀﾞｲﾃ…うんこちゃんはじ…えーっと…いつもっ…昔から…あのー…あのっ…パワポケ8のときからほんとに…あの～…見させてｲﾀﾀﾞｲﾃ…
[64.131] (S)claude__debussy: 小僧ウキウキで草なんよｗ
[64.353] (S)ﾐｮ: バッさんウキウキで草
[64.507] (S)歌い踊り舞う私はマララ: この人仕事やめたん?
[64.778] (S)wo_nderland: きっもｗ
[65.005] (S)frorida_22: じゅん！？
[65.016] (S)ふじグレ: batoraValo
[65.257] ほっしゃ: バトラ！？
[65.470] 熟成カルボナーラ: w
[65.926] iris9120: バトラウキウキで草
[66.123] (S)sai11000: batoraSudachikunAnimation
[66.317] いわシー: 痴漢界隈入団おめ！ 
[66.340] パパイレ: さくらスキンって🌸
[66.978] 極寒: うきうきで草
[67.066] yumugara: 先程また裏でヴァロラントをしたことを自白しましたね
[67.093] lokinlokinlokin: あれうんｋやん
[67.113] (S)明日ハ我ガ身: batoraValo
[67.206] (S)草なんよ: batoraSudachikun5
[67.206] nyappori: イタダイテ
[67.207] batora314: BloodTrail
