[122.567] jinro_hope: うおおおおおおおおおおおおおおおおおおおおお
[122.861] maru__2127: ｗｗｗｗｗｗｗｗｗ
[123.171] 呂布カルパス: きたあああああああああああああああああああああ
[124.047] Mainyu55: あっつ
[124.146] shinsoku_yu: ｗｗｗｗｗｗｗｗｗ
[124.176] サムライチャンバラ: こんばんは 
[124.415] fukausa: ｗｗｗｗｗ
[124.884] りーばぁみん: ｗｗｗｗｗ
[125.079] (S)sq9ra: wwwwww
[125.145] pppppopy: いいね
[125.361] r_eyna0824: www
[125.568] yvngboittv: 待てと！
[125.644] marumaruuuuuu: ｗｗｗｗｗ
[125.843] lily3nari: wwwww
[126.369] (S)令和のペレ: ｗｗｗｗｗｗｗ
[127.263] orkupez: うおおおおお
[127.466] (S)yoshg7y: 全力待機待ってます！
[127.501] tengu_114514: www wwwwww
[127.672] (S)さみすす: wwww
[127.708] (S)miyawo_meow: www
[127.711] カツラギ3: あっつ
[127.764] じぶ0102: あっつ
[127.895] pupezou: wwwwwww
[128.369] flat1925: wwww
[128.597] ただのともや: きたああああああああああああ
[128.600] (S)Quu_o: あざすvorzさん
[128.698] agjpdtdagm: うおおおおおおお
[128.810] (S)yoshg7y: w
[129.230] puion_: 🐮🖐️
[129.412] don5515: リドル呪われてない？
[129.424] qawsed1145: wwwww
[129.699] friedexx: むちゃくちゃで草w
[130.366] unanagg: あっつ
[130.431] wadarin: 流石に今日無理ちゃうか
[130.483] kqreh: batoraSudachikunAnimation
[130.942] あるちェ: 結構いいなそれwwwww
[130.972] (S)pepesizin: wwwww
[131.021] まきぴっぴ: すまん見たい
[131.684] nazal03: あざす
[131.879] dorano02: お前のチーム呪われてる
[131.902] gtscot: たのんます
[132.164] dedenp: 10 にょっす
[132.834] グラル87: 負け筋
[132.947] (S)Crown_chan: wwww
[133.047] ssssssssszx: NotLikeThis
[133.277] hhhhhsitai: リドルが楽しみで1週間頑張ったのにwww
[133.475] ねこサカナ: なんならボルズすら起動してないらしいぞ
[133.691] rivel_aaa: 逆に見たいまであるよ
[134.276] rosh_fever: APEXよりひどいやんｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[135.861] サムライチャンバラ: karubisTT
[135.975] yamatotakeru777: みたい
[136.015] カツラギ3: ボドカ5でいこう
[136.321] hain38: めっちゃみたい
[137.563] sakaki1102: 1番見たいだろ
[138.378] glicoxxx: ぼるず10人も集まるか？
[138.409] 7picnic7: こん
[138.686] f_chicken1128: にょっす🐮✋×10
[138.929] etojackk: ぼるず任せた
[139.150] uooo4080: 1/3
[139.852] リーン: 🤚🤚🤚
[140.013] Yanchi_8324: 見たいです
[140.510] blaotnkzz: ブリーチ10人やめてね
[140.567] (S)Quu_o: にょにょにょっす
[141.740] しばこう: 🖐🐮
[141.961] ashuramugen: それはそれでみたい
[143.147] gtyan89: ボドも準備しとけ。
[143.567] (S)imokorori: ボルズも入れないからボドカvsユリースで勝負決めよう
[144.269] yata_17: 🐮✋🐮✋🐮✋🐮✋🐮✋🐮✋🐮✋🐮✋🐮✋🐮✋
[145.446] agjpdtdagm: 静止画10枚は見たい
[145.498] samekani: ぼるずも入れんらしい
[147.480] hisui1217: 視聴者参加型？？？
[149.144] nazal03: 逆にみたい
[149.300] サムライチャンバラ: これだから riotさんは、、 
[150.675] 184_________: 前回みたいな事になるなら最初からの方がいい
[151.597] しばこう: CoDしてたからか？
[152.426] はとはと: サンキューriot
[154.194] 7tk4: free4sRage
[154.262] (S)令和のペレ: なんでや１１１
[155.853] (S)ゆにおん12: 延期も日程きつそう
[155.952] はとむぎ化粧水: あれ
[156.414] flat1925: がちでなんでなんだ
[156.941] kqreh: 俺いくで 
[160.640] t010t_010: なのにRIOTはこの前ぜんぶjoxjoxのせいにしたのか
[162.185] tachumey: 個人のアカウントじゃダメなの？
[162.892] aqutan_sukikamo: エースがこの前BANされたのもそれが原因ですか❓️？？
[164.730] カツラギ3: こればっかりはしゃーないな
[166.133] tkr052309: ソルダムも名前気合い入ってたのにな
[168.346] pppppopy: 今年のriotどうした？
[169.377] sumiyon: 試合途中でテック入るくらいならさっさと延期してほしい
[169.598] kabigonvv: まーーーーーーーーーーーーーーーーーーーーた
[170.456] サムライチャンバラ: karubisLllllllllllll
[171.089] ただのともや: 自分行けます。行かせてください
[179.530] corner3999: ボドカとユリースの睨み合いだけ先やっとかないか？
[179.835] yutapon46: なんかリドルばっかなってて可哀想や
[180.520] kurakura1212: 延期してどうにかなるもんなの？
[180.825] グラル87: これでまた選手に責任なすりつけるのやめてね
[183.874] wadarin: 延期で解決すればいいけど
[184.257] honda_sankakkei: たしかに
[190.273] tengu_114514: ボルズ5人vsボドカ5人じゃダメなん？
[192.145] ARAMA826: ｗｗｗｗ
[192.298] uooo4080: アホやん
[193.285] しばこう: リドル擦り付けいくぞおおおお
[193.652] fukausa: なんでムラゲバレルは問題なかったんだろう
[195.493] 愛子さまガチ恋: ムラゲのpcからいこう
[195.767] octtako86: wwwww
[196.992] (S)ゆにおん12: wwww
[197.135] Mainyu55: 多動？ｗ
[197.721] ねこサカナ: www
[198.649] りーばぁみん: ｗｗｗｗ
[198.859] Ghost_of_mentaico: wwww
[198.941] (S)Quu_o: wwwww
[199.975] zen7lk: wwww
[200.392] みっどてんぽ: ｗｗｗｗ
[201.215] (S)Crown_chan: wwwwwwwww
[201.686] pupezou: wwwwwww
[202.143] あるちェ: wwwwww
[202.162] ssssssssszx: ？！
[202.923] tkr052309: 訓練所でバンされてたぞ笑笑
[202.979] yata_17: wwwwwww
[203.381] kazuho04: wwwwww
[204.150] ただのともや: wwwww
[204.278] angry_hungry19: わけわからんｗ
[204.973] jagaimo468: wwww
[205.169] etojackk: そんなことあるんやw
[205.207] みりみりみりみり: やばすぎw
[206.917] (S)ゆにおん12: そんなんあるのかよ
[208.415] honda_sankakkei: www
[209.585] nacir_3651: そんなバカ初めて聞いた
[209.964] シンラくん: おいいいいいいい
[210.215] arlingtonnnnn: えw
[211.367] じょける: ｗｗｗ
[211.433] m_nao0419: www
[211.994] maru__2127: ｗｗｗｗｗ
[212.281] (S)ボルビック: ボルビック subscribed with Prime. They've subscribed for 3 months! 
[212.705] Mainyu55: ｗｗｗ
[212.707] あるちェ: なんしてんの?ww
[213.936] (S)せきゆ: wwwww
[214.406] rxuto_ow: wwwww
[214.625] spinet12345: ｗｗｗｗ
[215.731] 184_________: wwwwww
[218.358] ねこサカナ: しょうもなBANすぎるw
[218.444] day0n_twitch: wwww
[220.815] 11yakitori11: 訓練所なんて好きにさせろやwww
[225.720] じょける: 定点探してたらＢＡＮされるってこと？ｗ
[225.977] tawotowa: 訓練所でｗｗｗｗ
[226.704] arlingtonnnnn: 訓練所はいいだろw
[228.810] wadarin: クソガキらしくていいな
[229.161] aqutan_sukikamo: SZのグローバルエイムに壊される可能性は高いですか？？？？
[229.648] みりみりみりみり: それやったことあるわw
[230.257] yuzu4mee: それ時間的にどれぐらいすればBANされるんや
[233.367] 桜鏡月: 桜鏡月 subscribed at Tier 1. They've subscribed for 12 months! 
[234.215] octtako86: 無理
[234.539] 184_________: 思わん
[235.006] (S)Quu_o: 無理そー
[235.073] marrymerrymary0203: おもわない
[235.189] spinet12345: むりじゃね
[236.182] kazuho04: うーん
[236.208] sumiyon: 治るわけない
[236.601] sprchikatyan: Vorz頑張れ
[236.822] sas4m_: 今日は無理やろ
[237.278] tengu_114514: いや
[237.480] カツラギ3: むりや
[237.934] kqreh: 無理
[238.035] lkjhgfdsa24: むりだとおもう
[239.085] fear3324: 無理そう
[239.206] sen_you_chan: 思わない
[239.272] ssssssssszx: おい！りおんとタイマンしろ！！！
[239.313] pokepokepopopo: 思わん
[239.974] グラル87: むり
[240.086] Riopikumin: 見てーよ
[240.608] kabigonvv: 延期だと思う
[241.073] (S)imokorori: 全員なら逆に直る
[242.183] カツラギ3: デスマいこう
[244.314] don5515: え
[245.093] uooo4080: 出禁
[245.533] m_nao0419: えぇー
[247.616] 7picnic7: ｗｗｗ
[248.176] rivel_aaa: えぇ
[248.810] artemis_ais: 相手も落ちてるから無理やと思う
[249.148] spinet12345: 出禁です
[250.502] gedoyama: また延期？
[250.917] marrymerrymary0203: 出禁
[252.005] wadarin: 少なくとも今日は無理かもです
[252.915] みりみりみりみり: 次ばぼどinか
[253.532] manimani0418: おにやもチェンバーでずっとエイム置いて動かなかったら警告きたらしいよ
[253.979] jinro_hope: ぼるずすら出禁
[256.687] friedexx: 前も無理だったし絶対無理www
[258.568] marumaruuuuuu: １０人の夢破れる。。。
[260.667] (S)ぎあちゃん: ぎあちゃん subscribed with Prime. They've subscribed for 7 months! 
[261.857] ryugeru: 相手チームも全員入れないの？
[262.093] _カタクリコ: 今日は無理そう
