[1011.690] (S)akahige9280: www
[1016.876] (S)r1ku_0701: マップやばw
[1023.290] lililllln: わんわん！
[1024.983] sun_hidamari: アスレ要素あんのか
[1026.561] inufu: PopNemo
[1031.607] lililllln: あれ
[1033.919] shape_196: あ
[1035.009] (S)あずきです: こたちゃん吠えてる？
[1037.151] (S)けーーま: こたちゃん
[1053.373] (S)あとたろ: おいすですぅ！
[1091.148] (S)あずきです: キャラが上向くたびにヘンディーも上向くのおもろw
[1119.486] shape_196: ｗｗ
[1122.428] (S)えりち_: ないすー！
[1122.470] (S)akahige9280: www
[1122.590] lililllln: ないすーｗｗｗ
[1123.760] shape_196: うまあ
[1125.561] (S)akahige9280: tonaka2Nice2
[1126.683] Nagoya_taro: www
[1188.334] lililllln: ないすー
[1189.545] 3210pika: うまw
[1189.748] (S)えりち_: tonaka2Nice2
[1192.081] (S)akahige9280: つよーい
[1193.213] lililllln: ｗｗｗｗｗｗｗ
[1203.798] lililllln: 名前呼んでるだけなんよｗｗ
[1261.398] (S)junn_0212: わぁお
[1270.293] lililllln: あ
[1273.269] (S)junn_0212: wwww
[1273.710] lililllln: ｗｗｗｗ
[1274.018] Nagoya_taro: www
[1274.654] shape_196: ｗｗｗ
[1274.853] (S)akahige9280: あ
[1276.576] 3210pika: ないすぅw
[1278.451] lililllln: ないすー
[1281.922] デクです: 負けとるやないかいw
[1286.213] Nagoya_taro: 絶対キレてるw
[1345.051] lililllln: たまひゅん
[1347.438] (S)えりち_: あぶなw
[1363.904] lililllln: ないすぅ
[1381.958] lililllln: アイソツヨ
[1404.333] デクです: なるほどね
[1407.138] shape_196: wｗｗｗ
[1407.848] lililllln: ｗｗｗｗｗｗｗ
[1409.295] (S)akahige9280: まさかのねw
[1416.263] lililllln: な、なんでかなぁ
[1426.184] shape_196: wｗｗｗｗ
[1431.158] lililllln: ボドカには勝てないりおん
[1433.603] Nagoya_taro: www
[1450.419] (S)akahige9280: りおんに勝ってニコニコなボドw
[1463.401] shape_196: ｗｗｗ
[1468.586] (S)えりち_: 笑い方www
[1473.615] lililllln: 悪魔みたいな笑い声がたくさんｗ
[1478.375] (S)akahige9280: サイコパスやw
[1485.190] Nagoya_taro: 悪い人だらけやw
[1566.770] lililllln: ないすー
[1578.566] shape_196: ｗｗｗｗ
[1581.066] (S)えりち_: www
[1581.278] かなりカナリア: www
[1583.250] (S)akahige9280: www
[1583.773] Nagoya_taro: www
[1584.168] デクです: www
[1584.318] lililllln: ｗｗ
[1592.877] Nagoya_taro: 自殺名所w
[1603.748] (S)あずきです: 全力で楽しんでるなぁw
[1637.498] lililllln: LUL
[1670.539] lililllln: ワーイ！
[1700.964] lililllln: ないすー
[1704.414] (S)akahige9280: ないすー
[1768.350] lililllln: ボドちゃんが好きすぎる男たち
[1797.186] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[1812.078] (S)akahige9280: www
[1812.931] lililllln: ｗｗｗ
[1813.329] 3210pika: おおおw
[1823.541] Nagoya_taro: 鬼の首取ったくらいにwww
[1855.825] lililllln: ないすー！
[1857.961] (S)akahige9280: tonaka2Nice2
[1863.243] (S)manji5616: www
[1863.596] lililllln: ｗｗｗ
[1864.320] 3210pika: w
[1872.804] (S)akahige9280: 仲間割れwww
[1874.040] lililllln: 間違いなんだよね？ｗｗ
[1925.663] lililllln: ntnt
[1994.316] (S)akahige9280: すごw
[2015.544] さくぅ_: こんばんはー
[2033.191] lililllln: ないすー！
[2036.455] lililllln: うおお
[2037.928] Nagoya_taro: VDKに賞金でもかかってる？ww
[2091.558] lililllln: うるさw
[2097.696] フ工ﾉﾚ: ｗｗｗｗ
[2099.098] yata_17: 魂の回復www
[2126.867] lililllln: ああああ
[2131.687] (S)はおちゃ: ｗｗｗｗｗｗ
[2133.694] zakiyoka: しれっと
[2141.458] (S)フ工ﾉﾚ: ｗｗｗｗｗ
[2142.673] lililllln: ｗｗｗ
[2142.683] さくぅ_: w
[2194.620] (S)akahige9280: www
[2197.895] zakiyoka: あちゃー
[2198.682] lililllln: NotLikeThis
[2198.768] (S)はおちゃ: ｗｗｗ
[2199.832] (S)k1ng10646: www
[2220.096] lililllln: うるーか？ｗｗｗ
[2230.202] Nagoya_taro: www
[2280.044] lililllln: 誰？
[2295.382] zakiyoka: ないす
[2298.576] lililllln: ないすー
[2315.839] lililllln: ？ｗｗ
[2315.994] (S)えりち_: w
[2319.171] (S)akahige9280: ぷっさん？w
[2333.985] shimony1123: りおんシェリフ縛りか
[2354.167] lililllln: ぎゃー
[2370.397] shape_196: ww
[2372.210] (S)akahige9280: www
[2373.731] lililllln: ｗｗｗ
[2377.487] (S)えりち_: ぞろぞろきたw
[2381.128] Nagoya_taro: ボドカw
[2381.273] (S)manji5616: www
[2411.846] lililllln: U^ェ^U
[2416.671] (S)あずきです: こたちゃんw
[2421.302] setsudakun: 🐕
[2424.301] (S)フ工ﾉﾚ: わんわんお！
[2424.554] zakiyoka: どしたどした
[2428.906] lililllln: けんきのとこかな
[2476.671] lililllln: ないすー
[2477.331] (S)akahige9280: tonaka2Nice2
[2480.821] zakiyoka: ないす
[2492.446] (S)k1ng10646: tonaka2Nice2
[2501.259] (S)えりち_: いけぼw
[2504.857] lililllln: w
[2576.031] Juicewisdom: axeumBlush
[2597.802] lililllln: ないすーGG〜
[2597.969] (S)akahige9280: tonaka2Ggggggggg
[2602.030] (S)えりち_: tonaka2Nice2
[2606.559] zakiyoka: gg
[2610.592] (S)k1ng10646: tonaka2Ggggggggg
[2610.796] さくぅ_: tonaka2Nice2
[2621.405] lililllln: ｗｗｗ
[2634.809] (S)akahige9280: あんとき？w
[2635.910] (S)あずきです: リオン無双w
[2660.433] (S)akahige9280: 楽しいねw
[2722.240] lililllln: ねこたつ礼儀正しい
[2758.150] lililllln: LUL
[2766.302] lililllln: かっこ…いい…
[2771.354] zakiyoka: 危険な賭けww
[2781.371] tattu_kun: 意外と結構持ってるんやね
[2803.040] shimony1123: @tattu_kun 全部あるアカウントなんじゃないかな
[2818.187] lililllln: ノリノリ！
[2833.166] (S)じぇにん: 次は違うチームなんだ
[2843.349] (S)じぇにん: フルーレいいねぇ
[2846.940] lililllln: まあそれはかっこいいか
[2855.470] tattu_kun: そっか、新パッチのアカウントか
[2874.339] (S)あとたろ: スキンってモチベあがるんよなぁ！
[2878.617] (S)akahige9280: 遅刻w
[2880.355] shimony1123: COD？ｗ
[2880.705] lililllln: ｗｗｗ
[2889.716] kei_gamaguchi2: じゃあラプ様狙おう
[2957.912] (S)akahige9280: 物足りんみたいな言い方w
[2958.099] lililllln: BloodTrail
[2960.762] (S)えりち_: これだけwww
[2961.358] (S)あとたろ: ひはんでっすか・・！
[3000.558] lililllln: わぁ
