[662.296] namacobushi: ZETAもかなりかっこよくない？
[669.049] kyuryui: 葛葉は？
[670.999] ねんここ3: オシャレなレティクルですね
[680.527] 31t4ppy01: 違法ミラーきたああ
[681.198] mew3v: 徒歩レイド来ました
[684.968] わもん: 携帯画面
[692.611] ダイナミックモーブ: 昔のT1のロゴダサかったよね笑
[701.598] ベロのブラシ: ピングースタイル
[711.322] yusei0304: ZETAはギリかっこいいより
[714.565] khyan225: 俺はSKTの頃のほうが好き
[716.159] asapyukun: zetaがんばれー
[719.779] ベロのブラシ: ｔ１クロスヘア
[721.848] リリルリル: なんて効率がいい画面なんだ
[726.976] bejitaburumnk: どっちもみにくくて草
[753.957] prralol: なんやこの横着な画面
[754.776] ファイトさん: shortで配信見てる？
[762.448] vellggg: talonに負けたせいでzeta厳しくなった
[762.637] jeepjeepjeep44: ボドカのクロスヘアでっか
[779.364] mew3v: ぼどうっま
[785.518] ベロのブラシ: 勝って欲しいけど全然２－０でサクッと負けうる
[800.432] yushiro_t88: タロンがzeta構成でロータス勝ってるんよね
[803.709] khyan225: ひろろんがんばれ
[817.730] 8036_: これが最近の流行りのクロスヘア
[830.423] mitarashidesu: でかすぎだろ
[834.569] a8mahman: とりあえず2－０頼みます
[837.192] ベロのブラシ: 違法クロスヘア
[839.245] (S)なかたけ11: 今年のT1強いか弱いかよくわからんのよなー
[846.139] iranaidesu: ZETA何勝何敗？
[847.168] goldendendendenden: やばいasurai T1予想やw
[851.071] dreamkitson0505: そもそも試合数が組みで違うのクソ、運営が無能
[871.725] rion222222: もうちょいかかるか
[875.135] 遠心分離機: 17時スタートじゃない？
[876.518] asapyukun: asurai T1予想やめてね
[880.056] khyan225: 多分無理だけどBLDがまだプレイオフの可能性あるのアホすぎ
[886.056] yocchi15679: zetaってまだ可能性あるの？
[895.935] ssooooss: asuraiやめてね 
[906.026] いたまえ: 可能性？あるよ
[908.660] asikusai4: ここ勝ってTSがなんかみたいなのだった気がする
[918.143] special_moriman: チェンバー対決あるか
[919.316] h4nqb1_: スチームでGWセール始まってるけどボドさんおすすめげーむありますか？
[920.048] SseinRJ: アセント勝てそうじゃない？
[923.835] marrymerrymary0203: とりあえず勝たないと100パー敗退
[930.671] sas4m_: iZuヨルえぐいからブリーズだけはないな
[932.735] おやつおやつ: とにかく勝ってくれ！
[941.026] rion222222: ブリーズはパワー負けするからないと思うな
[941.275] yocchi15679: とりあえずここ勝ってからなのかあざす
[942.057] てとぽおおおおん: スプリットの二の舞いはやめてくれよな
[944.153] masirokk: とりあえず勝たんと無理で、出来れば2-0や
[948.982] りふです: おじゃ
[978.744] SseinRJ: ん？
[979.256] てとぽおおおおん: バインド！？
[984.487] marrymerrymary0203: ほう
[990.478] khyan225: バインドZETAやったっけ
[997.178] darkflamemagic: 預測通りだ
[1000.077] kamui0670: ロータスで終わりよ
[1002.438] ssooooss: ZETAのT1戦といえばバインドのイメージある
[1002.621] ベロのブラシ: サンセットもうええて
[1004.813] 早慶近: またヨルやりそう
[1008.675] mew3v: また？
[1010.723] SseinRJ: サンセットゴミだから消そう
[1011.868] a8mahman: もう2－０頼んます
[1014.213] ベロのブラシ: おもんないアセント
[1016.056] tary0112: サンセットまでいかせない
[1017.149] namacobushi: ZETAロータスサンセットずっとやってる
[1017.295] pom2_zzz: ロータスで終わらそう
[1017.850] trust_me_baka: 新マップなのにもう飽きた
[1020.524] ~MISSING_COMMENTER_INFO~: ロータスサンセット何回みたか
[1021.046] rion222222: ブリーズ全然出ないから消してくれ
[1021.415] gori9804: 2-0で勝てばええねん
[1022.042] marrymerrymary0203: 2-0で終わらせよう
[1024.155] jan0613_w: ヘイブンが見たい 
[1030.236] z3ro_127: ぜんぶチェンバーじゃね
[1030.413] khyan225: アイボもええわ
[1031.373] うみやすてぃも: いつもこれ
[1037.754] fear3324: アイボはやめて
