[117.213] Pistachius: welcome back Beast TV!
[117.856] shiba400: ドネコロなんて最初から無かった
[118.273] セメナキャイケナイ: ウメふーでRIZAPのCM出よう
[119.085] domontyan: ウメさんの事を匿名でデブって言ってる奴で自分の容姿の事を明かさないのはｋｚ
[120.090] nekoputa: アル中って病気やろ
[121.572] fapfapjpn: PogChamp
[122.201] zako2ako: ウメちゃんおかえり
[122.474] hosp1990: ドネコロでライザップ
[122.807] (M)Farpenoodle: jiyuDaigasm
[125.004] ZAZENBEATS: はよせい
[125.159] hkfj0: ドネコロは忘れろ
[126.021] sowhat77179: アルコールは筋肉分解するのがなぁ
[126.981] opbmklo: ウメちゃああああん 
[128.956] spade0325: クロダと同じ生活すれば痩せられるで
[131.329] kyorory: 遅刻したらまずはごめんなさいでしょ
[131.468] popcornunknow: 梅原大吾
[133.070] suwatei: 引き締まったウメちゃんが見たいよー
[133.073] kamisimeru: 今のお腹見せて欲しい
[133.600] zako1919: ドネコロをマイルドにしてＴＯＰＡＮＧＡの企画マルぱくりしろ
[134.440] crispymkmk: ダイエット配信
[136.022] umbasaFGC: oroThink
[139.301] yamanekojiro: BibleThump
[139.388] erumoa1111: ネット民の容姿に触れるな
[139.696] kinpren: お
[140.050] beehive3: DAIGO
[140.324] mutuizumi: クロダ式
[141.494] (S)cafe_gondo: お
[142.015] sgt1234567: ドネートでライザップは草
[144.311] bobumakihara1212: きた
[144.413] lookeezy: #makeryugreatagain
[145.021] (S)daruma2597: 音が
[145.068] (S)balthazar000: ひっさしぶりや〜
[145.112] crusade893: きたああああああああああ
[145.130] banana0520: 俺は不細工だから誰も容姿で叩かないよ
[145.192] umeguile: はやくウメみせて
[145.257] 稲川淳子: ん
[146.191] yukidaruma_: きｔらああああああああああああああああああああああああああ
[146.670] orihsnek: jiyuDaigasm
[146.972] psionicpsi: ドネコロの資金トパンガチャレンジと一緒にしたら？
[147.132] junya0430: なんかきたー
[147.194] tobibako: ウメちゃんもうちょい痩せてー
[147.332] ~MISSING_COMMENTER_INFO~: 戻ってきたー！
[147.357] stainless304: きtらあああああああああああ
[148.104] yakiniku96: うおおおおおおおおおおおおおおおおおおおおおおおおおおおお
[148.185] crispymkmk: お
[148.474] ぱらだいす12345: 音ｗｗｗ
[148.583] korichigebanban: きちゃああああああああああああああああああああああああああああああああああ
[148.746] sarah_0519: きた
[148.791] memenki: 野豚が野獣に戻る日
[150.158] hituji_: 久しぶり
[150.179] りとやほ: 音ｗｗｗｗ
[150.228] daigo1998: 見れないんだけどもうやってんの？
[150.874] Papapadad: 音がビーストに
[152.451] Sorachan1144: 初回になんて言って始めたか思い出して
[153.038] ~MISSING_COMMENTER_INFO~: きたー
[153.100] BonGouki: 水中かな？
[153.671] すだちー: 音がｗｗｗ
[153.692] benizakurat: きたー！！
[153.697] kokemomomomo: MrDestructoid
[154.215] げろげろまる: 舞ってた
[154.744] entrony: Squid1
[154.804] tenshi_ch: ブボボボボボボ
[155.971] zweihandor: まるまる
[156.202] asakura3dayo: uiuiiiiiiiiiiiiiiiiiiiiiiiiiiii
[156.278] psionicpsi: ﾊｼﾞﾏﾀ
[156.470] gudeusagi: こんばんは！！
[157.095] omochi_3: 獣じゃなくて豚なんだよね
[157.207] bobumakihara1212: あれ？
[158.267] fapfapjpn: PogChamp
[158.349] kan_can7216: いたあああああああ
