[745.428] (S)sugi_tree3: 蠱毒みたいにして最強を決めよう
[747.581] maddy2623: 出ますよ 最低視聴者数！
[748.679] bec118_japan: 別室でうめちゃんが解答しながらボケて対決して！、！
[751.504] (S)n242f45aa: それすら嘘ｗ
[751.654] dogstark: せめてコーチング入れてからやってほしい
[752.531] une3333: 逆獣道
[753.955] ルシブロ: ノーブルはつえーぞー
[755.078] pondenring0930: ２時間持つと思う？
[758.535] feel2525: そこに勝ち負けは存在するのだろうか
[766.332] (S)4きね8: まさしく闇のゲーム
[767.319] (S)n242f45aa: つまんな唯一神
[776.192] watanabe0731: だんごさんは話すのが苦手なタイプ？
[778.899] (S)ponponguripon: どっちが勝ちなんだ
[781.496] une3333: 見てる人も含めて、全員死ぬんじゃなかろうかｗ
[789.892] ys120: 一番澄んだ水面なのはトラボ神
[793.445] (S)ymd1222: 負けたら魂抜かれる
[795.716] パパゲーノ: いっそ水ダウの泥酔大喜利で
[795.726] 157655: 人の笑顔を奪うための戦い
[795.928] 無心に: ユーモア段位戦始まる？
[796.579] tarako330: ウメさん、サルーインの実況何時からですん？
[828.452] bec118_japan: 溜まるの？？
[835.283] (S)軽く捻るか: 19時30分からみたいですよ！
[838.331] prisira: Ｘにかいてあるぞ
[852.919] tarako330: なるほど。教えてくれて有難うございます！
[867.652] pinkpaper_h: 昇竜拳のコマンドって何で出してますか？
[882.804] (S)sugi_tree3: ウメちゃんミンサガ何周するんだろ
[887.273] donachan: 使うのかっ
[890.300] une3333: バフ優先か
[899.002] bec118_japan: 強化あるからか
[903.743] (M)gameinntwitch: 野田くんは声のみ？
[907.885] tabibitox: 1R目使えば3R目の勝率がかなり高いしな
[918.639] une3333: のーだーくん！
[919.703] prisira: リアル野田
[919.812] mm2351: まじか
[920.201] v_harumi_v: おおお！
[920.638] aranami0: マジかw
[922.167] balthazar000: え、リアル実況？
[922.955] sn0wf0x3: www
[923.500] poposuke: umeCats
[923.748] super_fluo: くるんかいw
[924.282] 157655: オフライン実況だったのか
[925.157] bec118_japan: 周りの音拾えるようにしてーーー
[926.122] (S)箸くれ: え？
[926.424] feel2525: 生の野田！？
[927.671] leon12061829: w
[931.545] pompom393: リアルこわれちゃーう聞けるか
[932.692] (S)vaio_95: 隣で実況されるのw
[932.856] 無心に: 野田が来るのだ
[933.722] prisira: 野田が生で！？
[933.803] Opening_Runner: 初だっけかな？
[933.909] 000105: 解説えいた無料？？
[933.943] ルシブロ: 今日野田くん遊びに来る
[936.915] tarako330: 野田くんはミンサガやったことあるのかね
[937.666] balthazar000: いくら払ったんだ、、、
[940.929] sn0wf0x3: どんたんか
[942.313] (M)gameinntwitch: ほう
[945.514] 000105: 解説えいた無理？
[945.609] latenight000: サルーイン戦のアール実況のオンオフは選択可能ですか？
[946.430] tabibitox: ノリノリだろうしｗ
[947.126] Jam10505: サルーインさんに言いたい言葉はありますか？
[949.402] (S)ymd1222: サルーイン倒せるまでやるの？
[952.614] aranami0: 龍ちゃん大ちゃんが見られちまうってワケだ
[954.441] pondenring0930: うーめーはーらーくーん、あーそーぼっ
[954.786] necomuraneco: 生よくばりさーん聞けるね
[957.043] une3333: メンおじさんは野田くん呼びなんですねｗ
