[365.010] kinpren: ☆-(ノﾟДﾟ)八(ﾟДﾟ )ノｲｴｰｲ
[365.221] Binbo_chama: おおおおめでとーーーー
[366.794] matanitan: おめおめー
[367.445] kumatedd: おめでとうございまーす
[367.674] (S)ohnumakunio: おめでとう 
[367.872] kumanobed: 8888888888
[368.657] (S)じゃんじゃじゃん: おめ
[369.176] roytaly: アンドリュウウウウ
[369.624] Heracles_12: 33 
[369.854] sasasf5: おめでとーーーーーーーーーーーー
[371.446] Imaise: イェーイ
[371.526] 泣けるぜ: haaapi baaasudeey tsuuu yuuuuu
[371.804] (S)214p: umeJam
[372.030] kyouji22: おめでとうー
[372.136] b_oka5: おっさんどもがこんなんやってもサムイよ
[372.467] burisuke: ３３まだまだ
[374.090] Mitarashi0406: うぇーーーー
[375.656] あーるわいねっとわーく: アンドリューおめでとう！
[376.487] (S)MadEggMania: もっと上科と思ってた
[376.589] dwbh0220: ッケイ
[377.398] kou1daigo: 88888
[378.104] kumatedd: いいなぁ
[378.193] meltingzoo: Happy birthday!!
[378.463] rayray1104: あったけぇ
[378.683] tw_numa: すてき！
[380.475] Ceciltaisa: ｱﾝﾄﾞﾘｭｰめでてぇなぁ！
[384.822] (S)Papapadad: おれより年下だったのか\\
[385.375] kumatedd: 高いケーキくいてぇ
[388.200] tw_numa: サプライズ？
[389.375] (S)kuchikey_7144: おめでとー 
[392.332] MAMEDEtuPOU: アンドリューおめでとーー 
[393.818] Imaise: アンドリューいつもほんまありがとうな
[396.466] (S)イガ: Happy～
[398.208] sasasf5: to me
[398.918] burisuke: １９８５年生まれか7～
[400.404] Mitarashi0406: メナトザンギってどうなの
[403.566] ~MISSING_COMMENTER_INFO~: アンドリューっていつも通訳してる人か
[404.224] (S)ohnumakunio: アンドリューためだった 
[404.438] roytaly: ｗ
[404.448] 1300kkw: プール今はじまったとこ？
[406.975] canon_203: ハパイバスデー
[407.383] kumatedd: いないんかーい
[407.388] (S)papami_typhoon: w
[409.850] (S)fdsfdddd: イケメンなのに
[409.934] imurilove: ｗｗ
[410.444] burisuke: OMG
[410.857] Imaise: HBD Andrew
[411.585] meltingzoo: 33 yo
[412.602] that_japanese_dude: イケメンなのにねぇ
[414.159] ~MISSING_COMMENTER_INFO~: Daigo 
[414.207] kou1daigo: ww
[415.471] tw_numa: イケメンなのに
[416.025] Mitarashi0406: いません！
[416.806] masokishin: 生日快乐
[417.820] canon_203: 誰か彼女になってやって
[421.014] makibisi8787: ok
[421.303] (S)イガ: 男は年とっても大丈夫よ
[421.488] Ryugui: アンドリューおめでとう
[422.809] (S)MadEggMania: 聞こえるよ
[423.354] sasasf5: 聞こえてます！
[424.808] (S)aidachrome: あれ、明日はガチくんの誕生日だっけ？
[425.056] cafe_gondo: オッケーよ
[425.740] Mitarashi0406: ウメハラが彼女
[427.262] 1300kkw: いいかんじ
[428.342] curryricemaster: ok
[428.353] Yagr6: HI FROM USA
[429.265] tw_numa: 聞こえるように
[429.435] burisuke: アンドリュー神経質っぽいしなｗ
[430.124] francis_02446: ちょうどいい
[430.374] Imaise: 聞こえてるよ！
[431.092] n242f45aa: これぐらいでいいよ
[431.107] 超アンディー: 大丈夫
[432.710] dwbh0220: ふつう
[433.599] emrld_s: これでバランスいいんじゃない？
[433.641] (S)fdsfdddd: これより大きいとウメちゃんたちの声聞こえなくなる
[434.189] tw_numa: 聞こえるよ
[434.949] (S)214p: ちょうどいい
[435.580] (S)ohnumakunio: いいかんじ
[436.647] clear_asahi: ええよ
[436.871] iisnotgat18dk: こんなもん
[437.041] meltingzoo: ちょうどいい
[437.923] nup1965: いいかんじ
[439.384] Imaise: ちょうどいいですよ！
[442.732] juukinrou: こっちの会話が聞こえなくなったら本末転倒だからね
[447.947] tw_numa: ちょうどよす
[448.311] Mitarashi0406: 右奥にいるのえいた？
[448.690] canon_203: 中継入ったらうるさくなるかもだしね
[449.944] oleo0227: 今はこれでOK、現地の実況が始まるともう少し下げたほうがいいかも
[451.960] clear_asahi: うめちゃんだ
[460.907] nup1965: えいたっぽいね
[466.962] mejiro_: ｗｗｗ
[467.703] zyagamon: 中野？
[467.936] clear_asahi: ひどい
[468.874] Kanquez05: soreha
[469.602] Ryugui: 率直に言うとね
[470.964] (S)ohnumakunio: アンドリューのトークが聞きたい
[472.185] Heracles_12: 泥棒ｗｗ
[472.489] tw_numa: むしろ大きいくらい
[474.918] canon_203: 雑すぎｗｗｗ
[476.275] itinitizaku: 格闘家のキモのマネージャージョーサンに似てる
[477.764] Imaise: 中野だなこれ
[478.061] 山田たろう太郎: TableHere
[480.904] tissuepaper857: 2窓を勧めていけｗ
[481.409] curryricemaster: ももちも応援配信やるみたいよ
[483.054] iisnotgat18dk: これロックポンとキチパか
[484.772] sstrfd: いーやwinwinの関係だね
[485.628] juukinrou: ふ～どクイズやるの？
[486.915] hituji_: べあべあ
[487.794] makibisi8787: 全体で盛り上がればまあね
[489.199] Mitarashi0406: 本家超え目指していけ
[490.574] y_sasami: 大会ミラーしてる配信なんていっぱいあるしな
[491.103] canon_203: アンドリューの誕生日動画でしょ？
[493.773] vaaaans0614: ゲーム画面より配信の画面大きくして
[495.359] oleo0227: 配信戦国時代始まったな
[495.543] みずさわ: アンドリューのfighter IDって公開されてるの？
[496.197] XxTearsxX: BibleThump
[497.375] hadogamosenpai: ウメちゃん オイッス 
[498.727] tissuepaper857: ん？
[502.758] satoukazuma777: どうせ拾わないからいいよ
[503.965] Ceciltaisa: ウメちゃん体重は
[504.756] kumatedd: ねこ
[506.625] (S)ohnumakunio: アンドリューとのなれそめ
[507.503] yensama: 体重
[509.481] vovovoooooo: 初恋は何歳ですか?
[510.984] masakiti42: 折笠とウメハラの出会い
[511.566] gypsy2603: どこから配信してるんですか？
[513.178] shikamaru1219: 飯ツイートはだれがつくってるの?
[514.110] こまお: ウメ新彼女の話
[515.350] Imaise: 猫の話
[515.411] akiaki0612: 猫は？
[517.835] domontyan: 今日はグランドファイナルまで配信ありますか？
[518.153] kumatedd: マラソンマシンの値段
[521.713] wash4: ゲーセンにいた歴代の女ゲーマーでいちばん美人だったのは誰？
[523.555] Heracles_12: 新しい彼女
[523.851] sasasf5: ケーキ入刀配信
