[724.929] (S)5don: 配信ちょいご無沙汰です。市民で敵兵士を説得する鬼畜ステージどうなりましたか…？
[725.167] あと1983: シレンかセキロウか
[728.131] 東北のスロカス: シレンいいねぇ
[731.304] オシュ: 他のFEシリーズやってほしい
[731.718] (S)eremin_39: シレンいいですね
[734.870] (S)kurataro: セキロ見たいかも
[743.018] ~MISSING_COMMENTER_INFO~: 第３次スパロボやろう
[744.833] nipopo2682: ヌキさんのセキロを超えることは不可能だよ
[745.899] datami3: セキロウ見たいです
[746.022] niemalsaufgeben: 新作は人来そう
[752.973] NAOjpp: せきろっはボンたん枠
[754.743] (S)une3333: セキロは多分偉いことなるぞw
[759.082] apulo4649: うそだろ？
[759.508] (S)poki_frappe: ダークソウル系の新しいやつ
[762.726] hachi_mitsu: このシリーズの続きは嬉しいな
[766.587] (S)kurataro: てことは、ヌキローも知らずか
[769.146] (S)eremin_39: 激むず３Dアクション
[769.301] toshioj: セキローは他もやってるから良くない？
[769.333] (S)名倉やないかい: 流石に知らないは・・・
[771.309] NAOjpp: せきろはぼんちゃんがやるだろ
[773.065] (S)b0tes: b0tes subscribed at Tier 1. They've subscribed for 11 months! 
[775.807] tyapa95: ヌキローは覇権
[781.159] ~MISSING_COMMENTER_INFO~: 他見てないからやるなら見る
[784.085] (S)kurataro: 石井プロとかもやってるね
[784.497] ~MISSING_COMMENTER_INFO~: やりたいやつやってこ
[786.378] zurumukeeveryday: APEXとかは
[786.566] ~MISSING_COMMENTER_INFO~: 結局もうメタすらやってない
[787.252] (S)jigokunonekomatu: オウガバトルとかは？
[788.107] ヘルプさん: この面いけそう？
[788.353] (S)5don: セキロウは和風のダクソっぽさ
[788.383] (S)une3333: セキロは流石に梅ちゃん無理じゃないかな？w
[789.212] owaiwaiwai: ダークソウル系ではなくない？
[790.368] (S)みかずきーん: ヌキさんのセキローはマジ笑ったw
[791.063] (S)b0tes: jiyuDaigasm
[791.873] kappapa7: 隻狼
[795.343] (S)shopynis: うんセキロウはボンちゃんだねー
