[249.926] (S)neonkzsyou: あ
[251.233] number29yona: startggのROUND4見れば生き残ってる人何人かわかるよ
[253.519] yonayona04: ぽんたさん
[253.871] (S)simetu_no_maeba: ふふ
[254.468] yamy_r: だれがのこってる？うめちゃんとか？
[255.170] (S)ﾄｪｪｪｪｲ: 一般通過ジュリ
[255.347] (S)もんもんもん: ボタン気になる
[255.601] (S)0001100111: ぽんたさん
[255.880] guest324438: ああああ
[256.989] 煩悩劣拳: 武器商人ありがとー
[258.377] aiueo03: 見覚えあるとおもった
[258.470] (S)teitei0343: あ〜！！
[259.400] popo_golira: ぽんたさん
[259.991] takashiintothevoid: 消された動画
[260.458] (S)きそば: ぽんたさんや
[262.698] ほねこっぷ: あーポンタさんか
[263.620] X_March_X: 武器商人や
[264.867] テンカワ: ボタン買います
[266.427] (S)みなぷ080821_: 一瞬どぐにゃんに見えた
[266.481] nakamurahima: 初日で配信台出てた人か
[268.932] tarouhonmono: 腰ひっく
[269.370] gin_and_nick: ときどボタン見せて～
[270.754] さだ0: 武器商人さん
[273.315] (S)neonkzsyou: 動画消されたんだが
[275.269] pacifico35: メンテナンスしてほしい
[275.367] (S)雑食: 初日配信台でしたな
[279.855] (S)asayake_cider: あるんだｗ
[282.154] おかあさんいつも: あるんか
[282.466] spellbound0401: さすがや
[283.255] saibabasan: ファンガいたぁ
[283.796] ほねこっぷ: やべえボタンが出来た
[284.609] ライム_: かわゆ
[284.926] レベルゼロ: かわE
[286.279] (S)ジョニー中本: かわゆーーー
[287.455] (S)MasudaTheMenace: かわいいね
[288.576] umechin7: かわいい
[288.912] gin_and_nick: なるおせこいぞ
[289.292] daisya1919: かわゆ
[289.376] ほねこっぷ: 可愛い
[289.689] (S)TNTNBRN: は？？？？？？？？？？？？？？？？
[289.871] nakamurahima: かわよ
[290.120] kumasan_umai: モテるなぁ
[290.663] (S)hiroyagi_: かわゆ
[290.883] (S)lil_ozi_vert_: かわゆ
[290.887] (S)takumaru23: うおおお
[290.893] おかあさんいつも: かわいい！
[291.144] (S)teitei0343: スタッフファンいたぁ！
[291.251] pacifico35: あらかわいいわねあなた
[291.381] (S)lovepeace369: かわゆ！
[291.960] (S)simetu_no_maeba: かわヨ
[292.298] (S)13eeb: おいおい
[292.399] (S)10jqka: かわいい
[293.079] spellbound0401: かわゆ
[293.102] (S)めしをくえ: もってもてやぞ！
[293.297] (S)みなぷ080821_: かわよ
