[54.931] kei04050: こんー
[55.133] (S)tetedayo_: こんちゃー 
[55.470] (S)うみゅねむ: ういーーーーーーー
[56.228] (S)わいへいち: こんちゃ
[56.428] (S)ryo_8697: こん！！
[56.993] (S)進_: hiirag17Boss
[57.027] tairu167: 頑張ってくださいー
[57.199] (S)yamu_ymym: hiirag17Boss
[57.203] (S)ワタルさん: hiirag17Fight
[57.608] (S)niflmr: hiirag17Fight
[57.872] (S)tanakabayo: MercyWing1
[57.982] (S)きのころ: hiirag17Boss
[58.167] (S)tictam: こんちゃす
[58.454] (S)ﾉﾘ: hiirag17Boss
[58.472] (S)クロコダイン: Cheer1000
[58.618] muntim7: ちゃす
[58.670] (S)aina040_: がんばれツルギー 
[58.746] (S)kasteera: きたあああああ
[59.303] (S)mmmmiina: こんばんはー
[59.504] nisiura: FootBall
[60.249] (S)anemone4429: anemone4429 subscribed with Prime. They've subscribed for 2 months! 
[61.046] karina081010: どもー
[61.120] (S)kein_morte: こん
[61.220] (S)ryo_8697: hiirag17Boss
[62.055] (S)みじんコ: 頑張れ！
[62.081] (S)min__109: hiirag17Boss
[62.124] nisiura: FootBall
[62.367] (S)08ryyyyy: hiirag17Iq
[63.220] (S)わしを抱かんかい: こん
[63.815] (S)u_u37: hiirag17Boss
[64.411] (S)温泉饅頭さん: こんばんはー
[64.606] (S)chokochip1: みっちーさんと鉄拳以来やな
[65.428] (S)R4m96: にょ
[65.445] (S)neco2279: きたーー！！！！
[65.606] (S)omarukun_96: hiirag17Fight
[65.680] (S)beemelyum: nyosu
[65.738] (S)marui_ao: きたあああ
[66.035] (S)kitei33: こんー
[66.043] (S)どなたろ: ういーっす
[66.418] (S)z1gzagb: こんばんは
[67.158] (S)pojittt: 本田とブランカだけには負けんといてな
[67.453] (S)08ryyyyy: hiirag17Fight
[68.433] (S)saitengrat: saitengrat subscribed with Prime. They've subscribed for 2 months! 
[68.891] (S)redrumS21: hiirag17Money
[69.118] (S)kasteera: こくにいコーチング楽しみ
[69.122] amo_1210: タイミング噛み合いすぎたーー
[69.452] (S)わしを抱かんかい: hiirag17Fight
[69.479] (S)penchan1234: penchan1234 subscribed with Prime. They've subscribed for 2 months! 
[70.511] (S)のーるん: hiirag17Boss
[71.477] akueriasu0112: ワンチャンうめちゃん
[71.790] (S)08ryyyyy: hiirag17Bbb
[72.172] (S)nogorou1011: こん！
[72.424] (S)leonnkmr: CRカップ頑張れ！
[72.499] (S)kame2983: あばれちらかせ！
[72.544] (S)SOLUNA_000: 今日はこくの日です
[73.856] (S)左久良深琴: 頑張れつるちゃん
[74.052] kenjillall: コーチはウメちゃんやな！
[74.659] (S)manowa_1: hiirag17Fight
[74.886] (S)gomayuri: こんばんはー！
[74.936] (S)みかんぼうや: きたあああ 
[75.949] nisiura: NewRecord
[76.089] (S)08ryyyyy: hiirag17Www
[76.142] (S)nekochanjp: hiirag17Fight
[76.852] (S)aina040_: hiirag17Fight
[76.905] (S)ゆずレモン3: 釣竿に特別なロゴとかあったのか気になる
[76.974] yuusya_sama: PopNemo
[78.676] (S)hiyoko217: こんー
[80.413] (S)ワタルさん: hiirag17Www
[81.020] (S)ランチはピクニック: ランチはピクニック subscribed with Prime. They've subscribed for 2 months, currently on a 2 month streak! 
[81.029] (S)みむちゃん__: rustの釣竿きたんだwww
[82.197] (S)08ryyyyy: hiirag17Aaa
[83.062] ドスはるき: こん！
[83.184] (S)whirling_cat: こんばんは〜 
[83.248] akumawami: 頑張れ！！
[83.265] (S)omarukun_96: hiirag17Boss
[85.026] (S)琥太郎です: こんばんはぁー
[85.269] ruruxxx02: ファン太コーチ
[85.378] (S)くまマリー: よ 
[86.205] (S)あるぼい: ~MISSING_MESSAGE_INFO~
[87.427] (S)ツルツルギ: hiirag17Fight
[89.032] (S)08ryyyyy: hiirag17Aa
[89.615] (S)siomm_: こん
[90.174] (S)hayatekawayu: にょっすー
[90.653] (S)はちみつ832: hiirag17Bbb
[90.875] (S)taiyou158: hiirag17Bbb
[91.796] (S)わしを抱かんかい: ⋆͛📢٩( ᐛ )و<ｶﾞﾝﾊﾞﾚｰ!!
[91.940] (S)redrumS21: スト6 
[92.235] (S)the_goku_sf: hiirag17Boss
[92.845] (S)れあちゃー: こんー
[94.092] akueriasu0112: コーチは誰ですかい？
[95.162] (S)sora15_pg: ぶいすぽお局チーム楽しみや
[95.217] (S)konishi625: あいーー
[95.230] (S)yamadasanchi: hiirag17Boss
[95.538] (S)sa_sya1: きたー
[95.855] (S)きのころ: あい～～～
[96.078] (S)08ryyyyy: おいーーー🎣
[96.543] (S)yukimaru0609: 頑張ってー
[97.333] (S)ニャンニャンこ: hiirag17Bbb
[97.851] (S)luoxuansama: hiirag17Boss
[98.568] (S)うみゅねむ: 応援してんで
[98.958] (S)ぷくてん: hiirag17Fight
[100.347] (S)noin2277: hiirag17Boss
[100.443] karina081010: うおおお
[100.516] (S)beemelyum: hiirag17Fight
[100.918] (S)the_goku_sf: あいー
[101.191] (S)kame2983: うおーーーー！！！
[101.792] (S)taiyou158: hiirag17Ha
[101.938] (S)mon9n: mon9n subscribed at Tier 1. They've subscribed for 5 months! !
[102.577] (S)hayatekawayu: ふぁいとーーー！！
[102.789] (S)mitametako: hiirag17Fight
[102.947] (S)zuu_mg: hiirag17Fight
[103.001] (S)pprin11: hiirag17Fight
[103.042] (S)pariri622: やろやろー
[103.095] (S)わしを抱かんかい: GO
[103.925] tookuyaa6: こんばんわー
[104.514] (S)はちみつ832: 成れ！！！
[105.111] (S)kate_yoru: がんば〜
[105.288] (S)nemuou: 勝ちオッズ期待
[105.326] (S)marui_ao: いえーい
[106.237] (S)のーるん: やりましょーーー！！
[106.455] (S)naanana__2: ふぁいーーーー
[106.814] (S)awaif: がんばれ〜
[107.022] 紅白のかまぼこ: うおおおおおお！！！！
[108.690] fuu5353: ふぁいとー！！！
[110.384] (S)琥太郎です: やってやってー！
[110.593] (S)tanakabayo: hiirag17Fight
[110.770] (S)konishi625: 888888
[111.862] 紅白のかまぼこ: 88888888
[112.254] (S)nasp0n: うおおおおおおおおおおおおおおおお
[112.267] (S)taiyou158: hiirag17Fight
[112.369] (S)umami12: 8888888
[112.457] (S)hotatechang55: おめでとー！！！
[112.598] (S)marui_ao: 8888
[112.664] (S)エメラルドスプラッシュ: よいしょおおおおおおおおおお
[113.390] akueriasu0112: ふぁいてぃん
[113.592] (S)awaif: 88888
