[8.571] フﾄ: umetya-nn!
[365.928] 将門ゴルゴロ: 丸く収めようとする野田氏に対して全部お互い喋らせろというウメさん流石でした
[370.150] nihonsyu_: こくkskで5年ってクラハシオゴウはどんだけすごかったんだｗ
[373.286] kbjn10mg: しかし何でKSKってそんな敵多いんだ
[377.391] (S)kwsk3: 落ち着いたらそういうのしたいって反省会でいってたよ
[382.800] ehong100: 62 win?
[383.190] wahaha7788: あのまま野田氏が話続けたらｋｓｋが爆発しそうだったからね
[387.468] ﾃﾄﾗﾝ: というかアールが丸く収めてるようで火に油そそぐシーンも
[389.446] infammerz: 62 wins, nice ! and alredy rank 694. he is serious now
[394.354] (S)blackcoffee0821: きのうの配信だとkskさん悪い人には思えない
[403.204] InstantRiot: lets go, 100 wins! 
[404.677] (S)kwsk3: そりゃあ、お前も敵か？で周りを全員敵にしてきたからっしょ
[413.581] ﾃﾄﾗﾝ: 一時期病んでて自分でも何言ってるか分からない時期があったんでしょう
[417.058] kaigaizei: 業界人とKSKの関係もそうなんだがコメント欄とかでも無駄に嫌われてたからKSK
[417.114] makurag: そら悪い人ではないだろ
[419.202] akittyan: こんにちはー
[419.706] (S)kwsk3: 精神的に病んでたんでしょ
[421.722] kaworuko19: キレそうだったのは作り話扱いされたこくの方なんだよなぁ
[442.250] なるかみ_: 一体何があったのか簡単に教えて
[444.731] (S)kwsk3: こくにいマジであのときよくぞ耐えた！って感じよね
[457.548] ~MISSING_COMMENTER_INFO~: 絶縁三銃士から絶縁四天王ならなくて良かった
[461.748] une3333: こくにぃとksk
[463.954] zero02kte: GivePLZ
[465.591] muji_na: あららららら
[467.442] (S)yamasa141414: みんな仲良くなった
[469.991] umeguile: 強すぎる
[470.157] une3333: さんが仲直りしました、以上
[470.477] nomitora1234: なんの話だ
[471.275] (S)omedetroit: ある意味コロナで自粛してなかったら昨日の和解はなかった
[475.084] 45tm83: pルート
[482.908] tibusa8: ウメさん掃除終わった？
[483.297] (S)kwsk3: Pルート草
[484.384] une3333: こくにぃとkskさんが仲直りしました。
[485.687] kaworuko19: 〇ラタ式最大反撃が4人目だttawatte
[485.689] 新福菜館マン: 昔言ってた畑を耕した人には彼も含まれるんやろか
[485.730] rm_rf__: コロナ和解
[487.684] kbjn10mg: ニコニコにもKSKの敵がいたんだっけ？
[489.413] なるかみ_: Gルートじゃなくてよかったあ
[491.242] tabibitox: 昨日のアーカイブみておいで
[494.854] foxnao: Sweep
[495.156] wahaha7788: メンタルやられてるとわけわかんなくなっちまうからな
[498.330] kaigaizei: ダイジェスト「話作ったろ？」「あららららら」
[503.973] 将門ゴルゴロ: コロナが繋ぐ絆
[508.517] ehong100: Omg he got 3 Acc above rank 600
[509.568] shiro_risu01: gルートやめてw
[510.755] (S)blackcoffee0821: kskもアンテやってたね
[524.494] muji_na: アンテやってるんだ
[524.890] girotin89: コロナ和解は新しい
[529.126] meganesandesuyo: 次はヌキさん呼んでほしいね
[531.261] (S)cherumo: 今日カタンとラジオ両方できるの？
[534.475] shiro_risu01: ksk氏デトロイトもやってたらしいよ
[538.440] tibusa8: KSKはアンテ合わなかったらしい
[540.394] (S)omedetroit: 逆にこくが永久ブロックしてる3人はよっぽどなんだなと思ったわww
[540.699] yuyu09250925: 梅ちゃんに抱かれたい人が増えた
[543.440] ホナウド: そのあとのカタンでもKSKさん語録が飛び交ってて良かったです
[543.625] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[547.107] muji_na: あの小川さんも反応してたのすごかった
[556.888] (S)titan0130: リュウの血管気持ち悪
[557.631] チョコミんト: お前も敵か
[559.952] (S)kwsk3: ミーム化したほうが救われるよ
[564.299] takuyatakuyatakuya: ダイヤのリュウ！
[568.875] ﾃﾄﾗﾝ: ブロックしてる3人大体の人が分かってたのも闇が深い
[572.248] umeguile: オッサン
[587.602] (S)zappnn: ホームレス感
