[5.270] (S)RFKage: umeCossack
[511.319] (S)cqc5555: ジジイ達で健康番組やってほしい
[512.241] loopy000401: 氷河期なのにあったけぇ
[514.502] chahaaaaan: 蛇足さんて知り合いだったの？
[545.329] (S)ましゅダヨ: なんやかんや顔が広い
[546.547] (S)hoshi_boshi_0: 坂ちゃんもスト6やったら面白いのになー
[553.103] をかし: 蛇足さんって元々歌い手だっけ
[554.277] tarako330: ゆうて蛇足さんもうすぐ５０やけどなぁ
[557.157] てべす1103: トパチャリの顔合わせの予定とかはあります？
[559.071] everaltar: 坂本さんもスト6の配信ではケン使ってたぞ
[566.612] warotyphoon: ｗｗｗｗｗｗ
[567.637] (S)ましゅダヨ: wwwwwww
[568.305] (S)あぱれる君: dasokuAu
[568.385] (S)ちぇんぷる: www
[568.808] maya_g01: ｗｗｗ
[569.285] godiva_matsui: 蛇足の兄貴ってガイルの声優と友達だよね
[569.727] フﾄ: wwwww
[571.040] をかし: あぅ
[571.366] (S)hoshi_boshi_0: wwwww
[572.440] nail06k: きびC～
[572.483] une3333: え、そんなお年なんだ
[573.701] johndoe6523rp: 蛇足さんが元バーチャ勢って言うのは知ってる
[574.926] (S)yukikaze083: ｗｗｗ
[575.393] (S)ちぇんぷる: もろて！
[575.574] たまごやき813: 蛇足さん46だから、普通にウメちゃんより年上っていう
[579.561] (S)ましゅダヨ: やめたげてよぉww
[580.684] chahaaaaan: 次の闇話題は予定ありますか？
[582.861] kurobedam: トパチャリの声優チームにゲドチン入ってなくて泣いた 
[584.576] balthazar000: あの見た目で、、、
[586.635] akiaki0612: うっすらサコさんに似てない？
[586.749] メタルぱんだ: ｗｗｗ
[588.756] moviepassion: sakoさんよりも年上なの凄い
[590.246] (S)hoshi_boshi_0: まだ4年あります
[594.274] balthazar000: VF勢なんか
[594.279] (S)yukikaze083: へー
[597.442] une3333: 配信のサムネとかで見るけど、かなり若くないですか？
[598.923] まるいとうふ: 意外
[600.757] 1108044k: 46って格ゲーだと誰？
[602.318] をかし: バーチャ神
[609.027] aiksama100: トパチャリのチーム練早く見たいわ
[611.517] uwbxlwyhsiqj: 蛇足さんバーチャめっちゃ強かったんだっけ？
[621.595] kc_tc0006: 蛇足さんはホリエモンとも仲良いから、交友関係広い
[622.766] melon_pan14: トパチャリのウメちゃんチーム強すぎないか？
[623.808] bec118_japan: 太刀川さんっておいくつなの？
[628.694] たまごやき813: 元々は元祖ネット歌い手の国民的アイドルだからな、蛇足さん
[628.735] oooippp: メイウェザー
[634.829] Very_Bad_Fish: what is he doing ?
[637.498] johndoe6523rp: 蛇足さんはバーチャ2を結構やってたとか。
[639.761] kurobedam: タチは大谷とタメだっけ
[658.136] melon_pan14: 蛇足さんはXJAPAN以外のV系古参バンド全員飲み友だよ
[659.317] kurobedam: 立川と太刀川がいるのね
[660.800] (S)hoshi_boshi_0: おお50前
[660.966] Ehrinim: finger training
[661.354] bec118_japan: ほえーーじゃあちょっと上か
[672.512] をかし: メスターとか？
[680.975] warotyphoon: あ、ウメさんより結構お兄さんだったのか
[686.054] (S)グレンシア: 今年50になるね
[687.174] kuniyoshi8: 若い見た目だなぁ
[689.114] poposuke: 74年生まれっぽい
[716.445] takahashiseigi: 幕末坂本氏は元電力会社のリーマン
[718.712] tabibitox: 74年うまれはことし50か
[723.912] (S)ましゅダヨ: ww
[724.497] fahmy0825: I wanna see UmeGief more lol
[726.149] (S)あぱれる君: アニキ
[726.230] tarako330: 蛇足さんマスターいったんだっけ？
[730.595] (S)hoshi_boshi_0: "にぃ"
[731.013] てべす1103: トパチャリはグッパチがガチメンバー過ぎるね
[732.018] une3333: ウメちゃんが年上と絡むのってなかなか珍しい？
[732.444] uwbxlwyhsiqj: 蛇足の兄貴(ガチ)
[735.387] tarako330: 今年４１かな？
[736.176] (S)あぱれる君: ４１
[747.657] (S)グレンシア: 太刀川さんディカプリオと同い年
[747.851] moviepassion: ほぼ同い年か
[749.679] kiyosiro: 坂本さん明治生まれだよ
[750.069] prisira: こく曰く４０歳以上だから蛇足さんセーフやな！
[754.955] johndoe6523rp: 蛇足さんとランクマで当たってましたね。ザンギでｗｗ
[757.269] tarako330: 声は若く感じるよ
[757.603] tabibitox: 今年41なら2個下でしょ
[758.612] (S)tonyudx2025: インターネット老人会やん
[765.663] daichan1200: それで何かするん？
[765.797] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[767.088] フﾄ: 初老会たのしみ
[770.083] kc_tc0006: 坂本さん、声のせいで若く感じる
[778.207] (S)ちぇんぷる: インターネット老人会イイネ！
[783.671] メタルぱんだ: 兄貴！
[787.259] 1108044k: マゴさんもう40かぁ・・・
[790.756] tarako330: 坂本さん顔写してないからね
[794.988] akkerakan_: ジェネギャなく話せる
[798.723] moviepassion: 40いないな
[809.394] (S)軽く捻るか: マゴさんめちゃくちゃ若く見えるなあ
[809.515] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[819.482] (S)hoshi_boshi_0: 坂本さんは顔出しはしてない
[821.133] メタルぱんだ: ｗｗ
[823.919] prisira: 面白かったね
[825.864] をかし: キャサ夫の話だいぶ面白かった
[829.603] loopy000401: 格ゲーマー高齢化問題
[837.254] jigokunonekomatu: ジョニイとは？との落差
[837.814] daichan1200: 坂本さん格ゲーうまいんだっけ
[842.863] falcanon: こんばんは。
[845.692] (S)sherufala: ぶっちぎり一位ですわ
[845.836] 1108044k: あとちょっとで格ゲー黄金世代もみんな40代に…
[856.209] johndoe6523rp: 真澄さんが家に来た会もめちゃ面白かったww
[856.816] (S)かみさま_: あけましておめでとうございます！！！👴✨️
[861.299] kuniyoshi8: みんな格ゲーやってたんだなぁ
[877.994] maddy2623: 子供の頃は40代なんてめちゃくちゃおっさんだと思ってなかったです？
[879.591] (S)hoshi_boshi_0: 坂ちゃんスマブラ強いのは知ってる
[881.232] tarako330: 坂本さんゲームはそつなくこなすよねうまいかどうかは別だけど
[897.007] latenight000: スト2時代に全く格ゲーやってないって、もうゲーム触ってないとかの家庭じゃないと難しい
[898.362] (S)ちぇんぷる: 坂ちゃんの笑い声につられるんだよなー
[901.284] chicken_dumpling: please try Guile for fun
[914.579] tarako330: 任天堂から案件もらうくらいに人気だよね
[922.908] だいこん_: ウメちゃんこんにちは～何やら今日は謎の集まりがあるようで
[924.107] tamujiro: ムテガイルとは、やって欲しいです
[926.743] 1108044k: 任天堂から案件は凄いな
[928.473] なかしょう: 坂本さんはGGXXはやってたっぽい
[929.140] (S)グレンシア: うめちゃんと同い年だけどマジでクラスのスーファミ持ちの男は8割スト2持ってたレベル
[938.046] latenight000: もう人気者は完全にネットに移ってる感じするなぁ
[941.694] melon_pan14: スト2ってタイトルで１０個くらいシリーズあったってほんとですか？
