[174.382] tora6666: 布団乾燥機あればホテルで乾かせるよ
[174.572] (S)シミズム: 信じるなよw
[175.131] あと1983: すごい狂人
[176.382] どみのん: ウメちゃんやべぇっすw
[178.537] tsubame5204: umeSalute
[179.369] teruharu_: 旅の達人cafeさんいるからちょっと安心
[180.474] QUENCH666: Cheer100
[180.761] magic_girls777: 防水スプレー吹いとけば？？
[182.195] mogai555: また膝壊すぞｗ
[182.822] celsior_chan: クロックスきつそー
[183.772] suginaka56: SwiftRage
[184.243] izumi_ryu: 濡れたってクロックスよりはましなんじゃ…
[185.055] 1108044k: クロックスで30kmは歩いたことないでしょｗ
[187.278] weeep1: 足合わなかったら擦れまくって地獄だよ裸足クロックス
[188.099] shinichi_uni: 足の皮ふにゃふにゃになっちゃいます😢
[189.686] gannaranna: 足の皮がさすがにきついな
[189.998] raybanm: 雨用の靴カバー買いなよ
[193.980] (S)uwamonq: 他に対策無かったの？？？？
[194.317] justinfun74185269: 人狼いない？
[195.180] sikusi: 転んだりして怪我しないでね
[195.208] queuhcs: クロックスはやばいやろ
[204.054] 左派: gmbPatapata
[204.222] 新福菜館マン: 熊出たら勝てる？
[205.462] MFGUMBY: MFGUMBY subscribed with Prime. 
[206.617] papipopon: パチもん
[206.991] aiusonaiuson: aiusonaiuson subscribed with Prime. 
[207.424] merkava_mk2: 靴用の雨具KSKに登山用品店で買ってきてもらお
[212.210] prototypeie: クロックスのパチモン
[213.852] ememeume: ですらw
[213.930] mogai555: クロックスの下位互換
[214.800] ライム_: サンダルやんけ
[214.982] meganesandesuyo: www
[216.527] ラリぶべぼ: 便所サンダル
[217.818] (S)ぐるえむ: LUL
[218.152] wonderhit1: ゼビオでゴアテックスの靴買おう？金持ちの人だけ
[223.868] teruharu_: ドンキのパチモン…
[225.000] ima_son: ウォーキングシューズは上がメッシュになってるから防水スプレーあんま意味なさげ
[227.417] pochichan11: ホカはどうしたの
[227.587] _うに_: 100円ショップで売ってるやつw
[230.598] effector_shop: ウメ以外のメンツは履き慣れてない靴はマジでやめた方が良い
[230.673] (S)raurakd: w
[233.276] ねっかちゃん: ホカ買ったんでしょ？
[234.166] よもぎです: きたー
[237.237] (S)uwamonq: 傘さすの？カッパ着るの？
[238.324] izumi_ryu: 途中山道とかあるんじゃないの？
[238.714] 黒猫くん: ウメさん!
[238.994] mogai555: 今く使うにしろ靴ずれしたら積むじゃんｗｗ
[243.080] inu_ikura_ika: 荒川まで歩いてたときも結構だよね
[243.377] shokugo55: 遭難しそう
[249.793] justinfun74185269: メインキャラはクロックス
[250.326] pixel_fgc: Daigo is not playing sfv?
[253.311] (S)haicro_zm: そんなひどい雨にはならなそうかな
[254.513] ememeume: ホカは何色買いましたか？
[257.019] mogai555: 各自の靴紹介しない？
[257.069] donguri326: ゴアテックスくクロックス
[257.819] EDN3rd: 雨のマラソン大会でサンダル履いてる人見たことないでしょ
[260.820] chin_56_: all crocs
[261.408] ポンポン: ウメちゃんのわくわくが伝わる
[263.565] nikorinko: ウメさん以外脱落しそうw
[264.044] sikusi: 梅原さんいけるかもだけど、他の人は危ないかもしれんぞw
[265.653] どみのん: えいたマジで大丈夫なのかw
[265.929] weeep1: 履きなれてない靴で挑む時点でやばそうｗ
[266.318] Kanquez05: えいた一日目で終了やん
[267.721] wonderhit1: 五本指ソックス履くなら靴ハーフサイズアップしないときついから普通のソックスも買っといた方がいい
[268.992] wahaha7788: ワークマンに防水の靴2000円で売ってるよ
[269.158] ライム_: まだ都内？
[271.325] (S)bec118_japan: 伝説配信待機
[272.395] teruharu_: それぞれなんとか生き延びて下さい
[272.860] みみち_333: 八戸市でまってますね
[281.393] micaTM: 靴カバー、簡易的なもの100均にもあるかもです
