[354.384] (S)leing_dayooon: 無難にみんな大好きなものだね
[364.551] Tetchan_25: 焼き鳥でもいい
[368.955] otinpoko_united: 確かに奢られるってなると2択になる
[372.147] vul221b: 2択よな
[374.155] ただのともや: 焼肉寿司は高い物出して貰ってる感あるから人に奢る時に向いてる
[375.643] daru0222: 高いもん行くよねwww
[380.882] あおのり___: わかりやすくいいものよな
[384.530] sgb_oyster: おはよう
[386.857] らむぽっぷ: 焼肉と寿司の結論構成
[391.270] shujinkmr: 寿司とか焼く肉なんて全員好きやから言いやすい。
[392.301] senseihangeki12: 結構わかりやすいのがね
[392.528] 春茶ソ大好き侍: まぁハズレが少ないしなぁ
[393.432] ニノトン: 鉄板屋さんいい
[394.052] シンラくん: 鰻重になる時来るかもw
[398.245] ikageso_6: うなぎもいいぞ
[405.073] 10ruru: あんまり嫌いって人もいないしね
[411.481] おひやん: イタリアンだとどうしてもサイゼのイメージついてるかもですね
[413.913] (S)homuhomuqb: そもそも焼き肉とか安いってイメージないしな
[435.116] damact7326: 中華はスパイス類が苦手かも
[441.804] Classyjp: 焼肉無理なのよしなまくらいだよ
[450.107] cake010major_0503: たしかに高校の打ち上げとか焼肉おおい
[451.297] 春茶ソ大好き侍: イタリアンって好み分かれるのもあると思う
[465.032] zeroa3939: 高級店だとマナーとかではしゃげなそう
[468.686] oboko29: イタリアン行ったことないわ
[469.405] イッパツイキ太郎: 焼肉好きだけど脂がきつすぎて量食えなくて悔しくて毎回涙流しながら食ってる
[474.361] チクビネラウノ: ボドカセレブやな
[476.688] ga9i: ワイン最初に飲むなら何がおすすめとかありますか？
[483.229] 欧陽菲菲: しばらくナッシュ？
[487.815] mamenoki_chan: イタリアンとワインは最高や
[496.577] ice7se: イタリアンだと苦手なもの入ってる事とかが結構あるからな
[499.673] 電気マツモト: リドガキはカルビとかめっちゃ頼んでそう
[507.448] ミカゲハルト: ナッシュ何がおいしいですか？
[521.239] (S)雨水ぺとる: 彼女さんって御飯作ったりしないの？
[525.162] kak_sharp: 仲いい友達がそれぞれ魚ダメ、肉ダメ、酒ダメでメジャーなもん食えない😭
[529.464] 春茶ソ大好き侍: そういえばスタレって結局裏でやってるんですか？配信して欲しいとかじゃないけど
[552.573] daru0222: 次の日終わるwww
[554.148] 電気マツモト: やば
[556.388] 10ruru: もうハラミがちょうどいいのよ
[556.482] (S)leing_dayooon: 草
[558.450] ただのともや: やばw
[559.986] 春茶ソ大好き侍: すげぇw
[562.370] ニノトン: 焼肉と酒合わせると次の日終わる
[563.115] 欧陽菲菲: それはもう肉じゃなくて米奢ってるじゃん
[563.322] らむぽっぷ: イメージ通りすぎる笑
[564.105] イッパツイキ太郎: どっちも見た目通りよ食いっぷりやな
[566.115] (S)yoshg7y: いい若者すぎる
[568.147] ghsjjfbi: 食わせ甲斐あるなw
[569.010] あおのり___: もう赤身しか食えんわ
[573.843] magical_ba77: ハラミとタンが好きやわ
[579.501] (S)homuhomuqb: そうなんや
[582.986] かたやん: 寿司屋行くときもソルダムとかユニで来るんか？
[583.107] damact7326: 次の試合もその勢いで頑張ろう
[584.181] ice7se: やつーかあんま食べなそう
[602.721] (S)arumon_JP: まだ20前半なのに最近脂まじきつい
[605.687] (S)leing_dayooon: 肉と米の相性最高すぎる
[606.749] iru_pika: wwww
[608.262] qadoro: やつーかきゅんは小食
[614.288] カツラギ3: おっはー
[626.210] (S)homuhomuqb: わろた
[627.322] かたやん: ｗｗｗ
[629.335] (S)yoshg7y: 食べてくれたおかげであのジェット、、、
[629.771] daru0222: 草
[630.013] miraigata: ユニフォーム再再販ある？
[632.381] シンラくん: 短パン小僧
[635.202] ikageso_6: 勝って食う飯はうめーよな
[635.945] 春茶ソ大好き侍: ワロタ😂
[651.459] イッパツイキ太郎: 短パンサンダルはガキというかおじさんやねん
[653.194] kmiyotaa: おはよう 
[655.292] 春茶ソ大好き侍: 小僧寿し
[655.502] ice7se: 個室？
[678.395] bonheihe: FLに勝ったのマジか
[681.063] nolnnnn: 外国人食うことより話すことに夢中そう
[698.466] かたやん: 勝てて良かった
[704.350] hamumelon43: はやくムラゲ戦みたい
[713.966] (S)arumon_JP: じょじょがまじでパパよな
[714.069] カナ口ア: 何かriddleが強いのもあるけどFL負けるべくしてけた感じ
[714.693] (S)leing_dayooon: 楽しそうなのガチでこっちも楽しい
[714.839] (S)雨水ぺとる: 次も勝ってほしい
