[856.843] godumetyan: おしっこさんこんにちわ
[857.143] JollyPhobic: KonCha
[859.080] ~MISSING_COMMENTER_INFO~: ウメちゃんおらんぞ
[861.236] Sorachan1144: (ﾟДﾟ≡ﾟДﾟ)ﾄﾞｺﾄﾞｺ?
[862.829] tentough: ジョビン…
[864.169] Meso999: ジョビンたん？
[866.313] (S)あと1983: 解説しっかりしてるからいいぞー
[867.519] anz121823: やまとの声素敵
[867.755] ririsia2580: ウメちゃんおらんやん！
[868.058] menpati: こんちゃ
[868.131] umechin7: ウメちゃんは？？？？？？
[868.944] fourper212: ウメちゃんどこー？
[873.222] mayamikio: no umehara...
[875.028] ~MISSING_COMMENTER_INFO~: 後半からウメちゃん出るって事か
[875.697] sleeperywhenfighter: Jyobin!!!
[875.866] (S)waylev765: top8からウメちゃん？
[877.098] (S)kumatedd: 後半はいるのか
[878.861] (S)recycle4: ウメちゃんはベスト8から
[878.904] kuzubal: 後半になったらウメちゃんが出るとは言っていない
[879.973] Sorachan1144: 後半出るのか！？
[880.330] (S)obo_006: トップ８からウメちゃんいるような言い方がｗ
[881.050] (S)rdstus: top８から出るの？
[882.171] namenamekonkon: top8からもウメちゃん出るとは言ってないぞ
[882.561] (S)流川棚: ＴＯＰ８からウメちゃん出る！？ほんと！？
[882.581] (S)あと1983: ウメちゃんは事務作業してるよ
[882.605] 名無しベータ: TOP8からウメちゃん？
[882.619] (S)hosp1990: 重役出勤
[889.079] higan1983: ウメちゃん来たら呼んで
[890.487] hoehoeR: どんどん利用してくれって言うたからな
[892.543] (S)kumatedd: ウメちゃん経理してるってマジ？
[896.026] (S)obo_006: なんでｗ
[896.923] umechin7: ウメちゃんどこだっ！！！
[898.903] hitmehitme: umehara will come in best 8
[898.936] (S)maryjazz: ウメちゃんいないのか
[901.176] Futomaru_kun: 最後にうめちゃんのビデオメッセージが
[901.525] (S)ta3z_: 心が狭いｗ
[902.085] Robinsonsbluecar: ウメちゃんきたらよんでー
[902.247] tusk_3821: ウメちゃんは経理と筋トレしてる
[904.413] watafork: ゴミかよこいつ
[905.161] tentough: ジョビン…
[906.027] (S)obo_006: 何のためにやるねんｗ
[907.266] Sorachan1144: えｗ
[910.140] anz121823: ジョビンもトップでもないくせにw
[911.400] ~MISSING_COMMENTER_INFO~: TOP8からウメちゃん出るって約束して
[911.751] crusade893: 反対していこ
[912.292] godumetyan: ウメちゃんｻｲｷｮ
[913.505] asdtzg: は？
[914.877] g3kob_: この企画の存在意義が
[915.572] quququ12345: は？
[915.589] (S)あと1983: 嫉妬がひどいｗ
[916.797] typewild9: ジョビン相変わらずだな
[916.981] (S)Lazzberry: www
[917.985] (S)obo_006: 妨害勢いるぞ
[918.056] (S)waylev765: ウメ経理はさすがに？ｗ
[920.238] fourper212: でるの？
[921.155] (S)spring__thief: お前が行っても金の無駄だしなぁ
[921.330] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[922.012] tentough: ジョビン
[925.402] tomato1618: 企画だいなしにしていけ
[928.116] oisiisio: スベリ芸？
[930.636] tv_twitch01: jyobin!!!!!
[930.811] (S)あと1983: ジョビンメンバー
[934.314] hadogamosenpai: ウメさん いないならバイバイ
[936.539] tentough: ジョビン…
[940.307] tujimen: ジョビン冗談にしてもなんだかなあ
[940.945] Tonnziru: アンドレアどこ？
[942.338] (S)recycle4: ジョビンってなんか結果出してプロになったん？
[944.675] crusade893: そうだねw
[947.982] uhauhap: 非難？
[954.346] kuzubal: 賞金よしもとに9割持って行かれそう
[968.339] mayamikio: perfect body
[970.274] (S)user0511: 賞金分配どうなのか知りたいね
[972.235] cqc2000: なんでビースTVでやってんの？
[972.913] (S)spring__thief: これに金出すならひょっこりはんの2000円ぐらい払っとけよ吉本
[982.166] tentough: ジョビン…
[986.004] ~MISSING_COMMENTER_INFO~: 頑張りまーす
[990.565] (S)maryjazz: 吉本芸人詳しくない
[994.115] fourper212: しかもオンラインか
[998.416] (S)waylev765: やらせとかは絶対やめて欲しいね
[1002.544] (S)あと1983: オンラインとな
[1002.767] crusade893: シングルエリなんだ
[1003.570] (S)Lazzberry: シングルきちーw
[1008.785] (S)kumatedd: オンラインなのか
[1013.699] (S)SKPseconds: 吉本がBeasTV配信てどういう契約なんだろうな。ジョビン個人ならわからいでもないが
[1019.681] ~MISSING_COMMENTER_INFO~: オンラインかー。韓国人入ってきそう
[1021.019] erutei: なんだこれ？
[1026.624] tv_twitch01: jyobin play ryu!!!
[1028.485] Meso999: 瀧上とかは別の事務所だよね？
[1039.302] menpati: ジョビンって何者？
[1043.735] ~MISSING_COMMENTER_INFO~: 瀧上は関根と同じ事務所でしょ
[1047.826] (S)hosp1990: エントリーは国内ってあるぞ
[1057.190] ~MISSING_COMMENTER_INFO~: へぇーってＷ
[1061.235] 79MrWolf: play necalli
[1063.665] hitmehitme: ラグだったら どうする?
[1078.019] godumetyan: ジョビンの表情硬いね
[1085.710] kemononeko: ウメは?
[1090.704] (S)user0511: ジョビンは元格闘家で日本チャンピオン
[1099.389] (S)domontyan: ウメちゃんいないね
[1105.124] kemononeko: なんだ
[1105.852] menpati: なるほど
[1106.740] crusade893: 4台進行
[1113.232] (S)hosp1990: ベスト8から来るってさ
[1115.273] ~MISSING_COMMENTER_INFO~: ウメちゃん後半から出るみたいな事言ってたよ。ただ確実に出るとは言ってない
[1129.322] mayamikio: ラグスイッチ持ちが優勝出来る素晴らしい大会
[1140.110] watafork: ベスト８まではこの3人でやるみたいなことは言ってた
[1142.524] ~MISSING_COMMENTER_INFO~: 出るとは言ってない
[1143.950] (S)domontyan: ↑情報ありがとです
[1143.987] oisiisio: Cブロックはユリアン2体なんか
[1144.255] fourper212: じゃあまた来るわ、ウメちゃんきたら教えて
[1144.867] sasakumadrops: 美人の奥さんは応援に来てるのん？
[1152.535] umechin7: ウメちゃん後半から出るの？信じていいの？
[1163.619] (S)user0511: アンドレアもベスト８から？
[1168.338] (S)hosp1990: ﾜｶﾝﾈ
[1172.275] (S)obo_006: 出ないでしょｗ
[1172.571] quququ12345: 出るのかなーぐらいに思ってるもうがいい
[1177.718] devilishblack: この企画ってロンハーの淳がやろうって言ってたやつか？
[1178.184] uhauhap: ウメスレ見てればわかる
[1183.139] ~MISSING_COMMENTER_INFO~: TOP8までこの3人だっていうことは言い切ってたよ
[1184.849] (S)domontyan: 入室できないのは悲しいね・・
[1185.946] Sorachan1144: ウメはいません前半なんでね、みたいな言い方だった
[1191.145] (S)~MISSING_COMMENTER_INFO~: ジョビンじゃなくてアンドレアめ良くない？
[1196.992] Meso999: いたぁ
[1204.823] (S)domontyan: かげっちもおるんか おお
[1206.597] (S)しいたけもぐもぐ: 梅出たら教えて
[1212.165] m_tw: オンラインなんだ
[1213.403] (S)あけち002: 後半ウメくるのかな
[1214.550] ~MISSING_COMMENTER_INFO~: まらお は名前がだめだろ
[1216.938] (S)obo_006: おおーりゅうきちくんがんばれ
[1229.340] (S)rdstus: りゅうきちさん
