[478.607] ~MISSING_COMMENTER_INFO~: !sens
[478.700] (M)Nightbot: Valo: dpi800, 0.25 // Apex pad: 4-1 linear, no deadzone // Apex mouse: dpi800, 1.26
[483.680] 投げやり大往生: なっつ
[499.072] hasepi8: かえる
[508.982] ganges456: か、え、る
[509.451] maru__2127: カエルかｗｗｗ
[524.809] ssssssssszx: 🐸
[530.748] オカっち: ゲコー
[531.034] (S)チーム水原: ボドカ蛙化
[531.327] hasepi8: げこ
[563.085] lionelmessi4545: オーバーレイくれぇ
[585.632] (S)激ローメタモン: zerost7Thumbsup
[586.273] ganges456: カエルに好かれる女
[611.405] 投げやり大往生: 昆虫だいたいそう
[611.860] tetsukun0324: じゃあゼロストもだめか
[626.300] 150en: あかりん声でかくておもろい
[638.218] 96nowa: ボドジョイ
[645.544] psyduck_cu: wwww
[646.188] あごーと: あかさん声でっか
[646.310] 臭めのこかりん: このぶいすぽ3人どのフルパにもおるやん
[653.128] mew3v: あ
[658.994] ssssssssszx: WutFace
[659.224] superharutan: ww
[663.382] potatknight: 構成弱くねw
[667.762] オカっち: あかりんw
[776.528] ssssssssszx: vodkav2Angryvdk
[787.299] ignistadayo: あかさん声でけい
[790.383] あかんね: やっぱ武器買った方が勝率上がるんかな
[830.854] Juicewisdom: axeumSip
[1081.982] syogomaru: あかりんにモクもらったら？？
[1083.707] 96nowa: つよ
[1137.834] leon632545: さすがリドル
[1138.471] (S)モナカのお腹: モナカのお腹 subscribed with Prime. They've subscribed for 3 months! 
[1153.706] (S)激ローメタモン: ボドズ！？
[1157.303] オカっち: まさかのオーナー出陣
[1160.936] tsutomukunn: ボドカにょっす
[1258.720] roi_6160: !crosshair
[1258.831] (M)Nightbot: 0;s;1;P;c;8;u;000000FF;o;1;b;1;s;0;0t;3;0l;1;0v;0;0g;1;0o;0;0a;1;0f;0;1t;1;1l;4;1g;1;1o;0;1a;1;1m;0;1f;0;S;c;0;o;1
[1348.135] 96nowa: つよ
[1446.037] ssssssssszx: ｲｸ!
[1447.901] kachitoma: イクッ！
[1482.460] キューブってる: ござる
[1485.718] オカっち: ござ！？ 
[1488.319] oniyanma08: RaccAttack
[1524.844] キューブってる: 人数有利！！！
[1563.454] oniyanma08: ﾊｲﾝ!
[1566.797] らむぽっぷ: あ
[1568.614] takomarudao: 歯茎はや
[1572.491] (S)swmkw: vodkav2Surprise
[1585.367] キューブってる: フラグやめてやめてね 
[1659.258] nuuriiiiii: akariAnya
[1702.643] とっぽさん: とっぽさん subscribed at Tier 1. They've subscribed for 21 months, currently on a 20 month streak! 
[1720.180] 96nowa: いって
[1752.288] renaado46363: akariPenraa
[1756.861] renaado46363: akariPaku
[1787.893] 96nowa: ひげおやじ！？w
[1802.808] ditto1221: ひげおやじは別の人やん
[1805.398] (S)marrona91: ひげおやじ草
[1830.011] ditto1221: チームツヨ
[1847.761] らむぽっぷ: 倉内くんつよー
[1879.232] 96nowa: b来ないなー
[1933.030] 96nowa: モクwwwwww
[1953.043] わああああああああ: あかりんこえでかw
[2014.660] moltn5922: 誰かのタイピング音すげえ入ってるw
[2016.714] 凜315: 声デカいよななんかｗ
[2033.201] 濃い麦ノぷるびネス: あかりんのdiscordの音だけデカイからね 
[2217.024] 揚げ煎餅: こんばんは
[2258.168] よたるまる: ぼどちゃんまっぷかくれてないよん
[2358.897] aaa_ketchup: 遅延あるからマップ大丈夫だよ多分
[2370.325] (S)arumon_JP: 遅延あるからマップ隠しいらないんじゃない？
[2387.409] yuk1_tnk: あかさん声でか
[2413.150] たやはか: 確かに
[2440.840] ameagari_417: ふむ
[2483.701] 96nowa: クラッチくん強いな
[2504.322] 濃い麦ノぷるびネス: もっこり 
[2556.246] ezoharunobu: あかりんのvcでか
[2562.993] 怜といいます: あかりんのvcでか
[2565.782] yuk1_tnk: おしりす
[2590.699] Juicewisdom: axeumSip
[2742.760] らむぽっぷ: これって...
[2748.343] 96nowa: やばいフラグが
[2785.061] takatakabouzu: 今きたけど音量調整ミスってあかりんで耳壊れた
[2891.647] mimitabu__: ｗ
[2892.836] neosuitoutakesi: wwwwwwwwwww
[2897.718] cthlyy: ワロタ
[2974.837] aftter1: あかりんうるせえええ
[2983.408] ssssssssszx: あぅ
[2990.680] らむぽっぷ: あかさんでかいなｗ
[2993.562] ramiabb: 音割れあかりん
[3003.239] shogo_5231: あかりんの声とタッピング音レベチ
[3047.814] とと8: とと8 subscribed at Tier 1. They've subscribed for 23 months! 
[3099.820] ssssssssszx: ま、まずい
[3120.032] nobuto1106: 、
[3132.503] (S)arisube: ajak0nTe3
[3221.431] 96nowa: ototot
[3316.900] dippzy____: あ、あの
[3318.870] 96nowa: タイミング 
[3346.689] 怜といいます: あかりんのvcでか
[3432.933] nobuto1106: nt
[3435.268] 96nowa: gg
[3441.646] takomarudao: フラグが・・・
[3445.275] garigariruin: あかりんはぐいたなーｗｗｗｗｗｗｗ
[3446.346] 4うる: www
[3447.379] ssssssssszx: BibleThump
[3459.994] キューブってる: あかりんさぁ～
[3471.535] しゅらいむ: gg
[3474.356] aqutan_sukikamo: あかり声でっか
[3640.687] haru2gon: w
[3650.872] (S)arisube: 背負えあかり
[3735.570] sakana_sakana09: HeyGuys
[3771.571] lightzamasu: ｗ
[3779.927] 96nowa: うびびびびび
[3876.685] haru2gon: ナイスー
[3907.120] haru2gon: ナイス〜！！
[3908.714] ssssssssszx: つんよー
[3909.782] m_tubasa: うんま
[3913.221] らむぽっぷ: いいねえ
[3921.389] ジヴァ: つよ
[3945.129] alo_pome: えらいプレー多いな
[3953.369] 96nowa: ゴーストw
[3973.649] 96nowa: つよ
[3978.271] ssssssssszx: エイムあったまってきたねえ
[3980.696] arinko567: 仕上がってるなｗ
[3999.999] haru2gon: 強すぎ
[4083.215] 96nowa: 浜辺w
[4271.239] ssssssssszx: BloodTrail
[4278.991] キューブってる: ｗｗｗｗｗｗ
[4293.037] kaname0608: alt???
[4381.189] Juicewisdom: axeumSip
[4388.761] 96nowa: うっま
[4392.522] らむぽっぷ: つよいねー
[4392.637] (S)swmkw: vodkav2Gotochi
[4392.836] funifunifunifunifuni: うま
[4394.908] ssssssssszx: つんよ！
[4423.946] tasashin: 最強
[4492.247] 96nowa: 弾がwww
[4501.002] Soyute_0x0: えっど
