[446.912] (S)lunasolnars: 姉きたーーーーーーーーーーーー
[448.212] prisira: ウメパパ？
[450.393] (S)higashimurayama: ボン嫁？
[452.406] ilm0806: 若手より、無難なゲストはいないと思ったわ
[456.482] natuoman: 惜しいのか
[457.377] Aatyu: umeFail
[460.186] ぼぜ: パラセールはまだ？
[460.207] 000105: 学がある感じか
[464.421] lapistaxx: sako娘
[468.805] hachi_mitsu: ウメハラ姉？
[472.368] ilm0806: パラセールはゲット済み
[475.061] ilm0806: しの さんか
[476.212] (S)triton11519: ウメちゃんの元カノか～
[478.281] Kanquez05: ウメキャット
[478.478] (S)lunasolnars: 俺らの中に存在は認知されてる人物なの？
[479.843] prisira: まさかの敏腕マネージャー？
[481.093] yamame: 誰や
[484.225] かげでん: ちきりん？
[485.317] (S)higashimurayama: しのさんは超みたいよなー
[486.444] rere0: にゃんこ
[495.293] van__houten: 折笠さん
[499.108] 多抜深夜: ハンマーで
[501.105] RetroSuperGamer: Daigo san.
[503.354] (S)ポンポン: ウメちゃんハート３つじゃん
[505.241] ilm0806: スポンサーさん？
[508.390] ぼぜ: 爆弾でもええぞ
[509.584] (S)lunasolnars: まさかのウメキャットがゲストとか？
[515.069] (S)triton11519: 敢えて大貫さん
[515.327] prototypeie: 文化人か
[521.363] (S)blackcoffee0821: 大竹まこと
[527.020] rm_rf__: ほんまや神殿いってハート変えてこよ
[528.707] dobakon: ウメちゃんこんばんは
[531.097] (S)higashimurayama: 尻職人？
[537.063] (S)omochi09: こんばんはー
[540.537] かげでん: 中曽根元総理の孫
[546.031] ilm0806: 京アニの人？
[548.355] van__houten: 安倍総理の奥さん
[551.067] zenzen108: 序盤のお金ですね
[555.737] hosuhosu: 沢尻
[558.097] rondarchia: 爆弾でふっとばさず殴ったほうが
[562.963] みょうぎ: とよぽんさん
[563.119] (S)lunasolnars: 沢尻エリカに売った売人とか？
[565.573] 000105: 浜村さん
[566.372] prisira: akikiさん？
[576.482] ~MISSING_COMMENTER_INFO~: タピオカ店の店長か。確かに有名人じゃないな
[577.056] 多抜深夜: ハンマーで壊せる
[585.997] ilm0806: デスストのコジマ監督か
[586.364] cormorrCRM: アンタッチャブル
[586.390] orange016: こく
[587.686] yamame: 格ゲー関係？
[587.931] ぼぜ: 松田さん？
[588.977] (S)triton11519: ゲーマーの身内系
