[1964.037] (S)ンパールーパー: ころたんになった後みたいだね
[1997.782] (S)appppppiiii: こんばんは！！！！！！！
[2023.238] (S)こよ111: ここもわかりづらい
[2033.909] (S)appppppiiii: ライブで演奏中 咳でそうなったら必死に我慢するんですか？？
[2039.183] (S)yaseig777: 陸珊瑚美しい
[2060.713] (S)yaseig777: キリンとレイギエナ？の討伐で死ぬほどお世話になったなぁ
[2079.567] (M)えっっっくす: やったか…？
[2080.987] (S)ンパールーパー: 受付嬢生きてます。 
[2091.875] (S)yaseig777: 耐久力SSS
[2096.723] (S)ンパールーパー: ミュータントタートルズみたいなやついたぞ
[2110.234] (S)こよ111: レイギエナとかいうクソモンス
[2122.089] (S)ンパールーパー: ピンピンしてやがる。
[2132.748] (S)ンパールーパー: そのお姉さんタイプ
[2135.062] (S)yaseig777: レイギエナ？シリーズのセット効果クソ強だったからめっちゃ回した覚えがあるw
[2157.417] (S)yaseig777: 女竜人団長、エッチ！
[2208.845] (S)ンパールーパー: ツィツィって言い難いなw
[2221.535] (S)こよ111: あのDiscordって飯テロしてもいいですか？？
[2260.287] (S)こよ111: ゴッドフード仙川二郎を食べてきたので載っけます
[2270.519] (S)ンパールーパー: 飯テロの場合はカテゴリどこになるんだ…w雑談？
[2347.615] (M)えっっっくす: 殿堂入り？
[2378.450] (S)ンパールーパー: 電動ラーメンか
[2385.310] (S)ンパールーパー: 殿堂…、、、
[2385.825] ituki0131: 初見です！ギター道から知ってmorohaの虜になりました。ギター歴半年ですが、命の不始末に挑戦中です！素敵な曲に出会えて感謝です！
[2387.616] i_eki: 二郎ってどうやって頼むかわかんなくてこわい
[2394.051] (S)こよ111: 野菜マシにしたのに少ししか入ってないとこも愛せる
[2405.511] (M)えっっっくす: 次仙川行ったら食べてみます
[2423.897] (S)ンパールーパー: 二郎の注文とスト6の技名は呪文
[2426.892] (S)yaseig777: こないだの火事でも中でラーメン食ってたっていうニュースおもろかった
[2457.966] (S)yaseig777: 全無視は草
[2466.820] (S)ンパールーパー: 頼む意味w
[2486.412] sasi47: こっわ
[2495.502] (S)ンパールーパー: え、可愛い
[2506.285] (S)Owl__zzz: ２番らへん？
[2507.112] (S)こよ111: チャーシューの網切ってて破片死ぬほど飛ばされました
[2509.223] (S)ンパールーパー: コウモリ弄り回した感半端なくて可愛い
[2509.433] (S)yaseig777: こいつのオトモ装備がマジでかわいいんだ
[2552.309] (S)yaseig777: この登っても何もない謎のツタ
[2562.231] (S)ンパールーパー: 飯テロの前のdiscordのメッセージもラーメン二郎なんだよな笑
[2593.644] (S)appppppiiii: 今日は麻婆豆腐なのに二郎系ラーメン食べたくなりました
[2598.500] (S)ンパールーパー: 受付嬢ってサイコパス？
[2613.453] (S)ンパールーパー: 倒せって言われてんのに、綺麗な生態系〜✨️って
[2642.896] (S)yaseig777: ツィツィヤックはラプトルみたいな閃光放つトカゲみたいなやつです
[2650.292] (S)ンパールーパー: ピンク版アバターみたいだね
[2691.934] (S)ンパールーパー: 違うらしい
[2700.861] (M)えっっっくす: イニシが居ないから…構成負けです
[2727.233] (S)ンパールーパー: 流して懲罰マッチ楽しみましょう。
[2751.355] (S)ンパールーパー: こわ
[2767.633] (M)えっっっくす: いつも蛍が案内してくれるのかと思ってました。そんな甘くなかった。
[2779.978] Mo_okln: 初コメです！UKさんこんにちわ
[2783.600] (S)ンパールーパー: 光るラメは仕事しないのか
[2805.068] Mo_okln: 丁度自分も最近ワールド始めました、昨日ここやりました笑
[2810.539] (S)yaseig777: 足跡とか発見したら案内してくれるぺこよ
[2829.321] meltasco: 大体そこにいる気がするけどな
[2839.897] (S)こよ111: マジでこの痕跡システムめんどうくさい
[2842.539] (S)ンパールーパー: お
[2855.231] (S)ンパールーパー: うわ、赤とかだと思ってたら紫だ。こいつ
[2872.487] (S)ンパールーパー: w
[2878.608] (S)yaseig777: キリン討伐で大体味方してくれる可愛いヤツ
[2885.606] Mo_okln: おーじゃねぇよ笑笑
[2909.259] (S)ンパールーパー: 受付嬢のストレスを添えて
[2996.250] Mo_okln: 生態系のピラミッド理解させましょう
[3071.580] i_eki: 今discordで仙川二郎見て横転した、なんだこの食べ物
[3077.915] (S)ンパールーパー: 発見という名の討伐
[3135.020] (S)ンパールーパー: 生態系整えに来たよぉ
[3149.785] (S)こよ111: 神飯、ゴッドフードです。
[3168.811] (S)ンパールーパー: 殿堂ラーメンです
[3318.312] Mo_okln: UKさん最近知って、始めは少し怖い人かと思ってたんですけどめちゃくちゃ面白くて好きになりました
[3361.366] (S)ンパールーパー: 超登らせる
[3368.966] takumasii1: やあ
[3397.716] (S)こよ111: こっわ
[3405.465] (S)ンパールーパー: それが一番怖いｗ
[3412.327] (M)えっっっくす: 今ってストーリーの何%くらい？
[3435.070] Mo_okln: そこも含めて好きっす笑UKさんの影響でギターも衝動買いしました！
[3445.928] (S)こよ111: ミラボレアスを100%にするなら10も行ってないかも…
[3454.485] (M)えっっっくす: fmlchShake
[3461.829] (S)ンパールーパー: このおじいちゃんヨーダみたい
[3594.044] takumasii1: まだ一番上で余裕
[3604.018] turnip_blue: こんにちは！
[3646.823] (S)yaseig777: ここには飯屋ないぺこよ
[3649.122] にわとりさんだよ: こんにちは！
[3665.598] (S)こよ111: キャンプで食いましょう
[3692.017] (S)こよ111: 受付嬢ガチアンチ
[3819.992] takumasii1: こいつきもい
[3845.657] (S)yaseig777: パオウルムー見た目は最高に可愛い、戦い方最高にウザい
[3927.001] (S)ンパールーパー: 首元あったかそうなモンスターや
[3960.028] (S)ンパールーパー: おしりきもぉい。。。
[4046.744] (S)yaseig777: 他モンス討伐のときのツィツィヤック、大体閃光で味方してくれるからありがてぇ
[4071.036] (S)Owl__zzz: 閃光職人
[4075.888] (S)こよ111: 昨日の敵は今日の友
[4273.345] (S)ンパールーパー: かえってきてぇ
[4281.444] (S)ンパールーパー: あ、帰ってきたｗ
[4311.838] (S)yaseig777: こいつのオトモ装備つくってマスコットにしよう
[4329.983] (S)ンパールーパー: ダルシムが可愛くなっちゃう
[4375.637] (S)ンパールーパー: お姉さん綺麗
[4421.787] (S)ンパールーパー: んきゃわ
[4426.715] (M)えっっっくす: もふもふ
[4436.571] (S)ンパールーパー: 抱きしめて寝たい
[4449.734] (S)ンパールーパー: かわいいダルシムだねぇ
[4483.637] (S)ンパールーパー: 夜何食べるの？
[4540.779] (S)ンパールーパー: コブラみたい
[4590.057] (S)ンパールーパー: 自分の手柄みたいに言いやがって
[4614.447] (S)yaseig777: しょうき
[4631.605] (S)ンパールーパー: 瘴気？
[4656.617] takumasii1: とげとげのやつや
[4687.564] (S)ンパールーパー: 改良アルマジロやん
[4691.308] (S)yaseig777: ウラガンキンのパチモン
[5132.581] (S)ンパールーパー: ｗ
[5274.142] (S)ンパールーパー: ガス溜まりや。。。
[5306.056] (S)ンパールーパー: えｗ
[5355.761] (S)亀仁郎: ギターの質問していいですか？
[5434.895] takumasii1: いたー
