[77.723] (S)jaden397: もしかして緊急ではないのか...？
[78.307] nuko_nu: ワイプ 
[79.318] twoos4431: そういうツイッチをバカにした発言はまずいです
[79.457] bavaku: 緊急
[79.457] cho_suke1031: just chattin’?
[82.048] (S)jaden397: 緊急！？
[82.886] hiyodori09: かものはし お前が先駆者になれ！！
[83.430] otamaSo: …待てと！
[83.518] leopon_1021: 緊急
[83.611] wichan1516: 緊急
[84.970] vxfjbvx: ワイプ欲しいんやけど
[85.090] hirohiro1: パワポケやってくれるの助かる
[85.090] バジェット: 自らが開拓するしかない
[85.123] raftan122: きたあああああああああ
[85.701] japanyuta: かもさんのお顔ありません、、、
[87.588] bartologolon: パワポケ１４ならないか？
[87.741] ynwnnbf: turuokORIGINAL
[87.776] (S)nabenabeman: turuokKinkyu
[88.540] horigucha: きたあああああああああ
[88.885] (S)tyunmaru0821: レトロかな
[89.348] raruraru315: 誰もやってないシャドウバースってゲームはどうなりました？
[89.913] Tonnelatbay: おい！ワイプわい！？！？
[90.022] ao_ken89: 日ハムにボコボコにされたよ 
[90.922] (S)trsrhrhy: き 
[91.405] molimun: レトロゲー
[92.309] berith24: コスプレイヤーのワイプ比で頼む
[94.470] sonoh_m: 大丈夫だよ
[95.457] takotako510: 3ってかもさん初見？
[95.745] mini_3232: レトロ
[96.720] (S)trsrhrhy: turuokKinkyu
[98.516] raftan122: パワポケ14までやってくれ
[98.930] tororu_m: いまおまえの動画見ようと思ってたら通知来た
[99.724] gmkz774: はんじょうは切り抜きでいいや
[99.823] sonoh_m: 雑談でも大丈夫だよ
[99.971] yuua0817: otherでええよ
[100.391] (S)けいちゃんん: turuokKinkyu
[101.095] (S)trsrhrhy: おこだね
[102.015] おおえにょたかうし: 4545するつもりだったのに
[102.938] misosoup5296: だまでやれ
[103.439] bluebeans123: やったぁ
[104.427] 亜門37: やあ
[104.676] maayosa: やきう
[105.580] ghighijkljkl: これは流石に【緩急】
[105.832] nanikorewingman: めちゃやった3だ
[108.087] ohshibatoshihiro: サブちゃんの途中から
[108.179] Van_dain: かもきちゃああああああああああああああああああああああああ
[108.230] yonpe_: 筋トレでええやろ
[109.275] kuduuuuuu: 3楽しみすぐる！！！
