[322.055] あさつき教: ウメちゃん的にお店の評価はどうなの？
[325.578] tosshy_type89: tosshy_type89 subscribed at Tier 1. They've subscribed for 33 months! お散歩 
[327.393] 四国エスハ: ゴン太って人は料理人なのかな
[327.857] Killerpanda2040: ドリブルバー略してドリバーではないのか
[328.447] (S)ちぇんぷる: こんちわ！
[329.511] wagon65: スト6も遊べちゃうんですか？
[332.505] niemalsaufgeben: 夢の我が店か
[336.844] luen_ley: zero3で遊べたりはしないですか？
[342.830] WataruTV: 勝負良いね！
[343.746] weeep1: でしょうね
[343.850] rias9121: 飲食自体はやってたよね
[348.309] edgawatinpo: 正直すぎるｗ
[349.454] raurakd: あの感じだとそうね
[354.511] light_hight: ちょっと場所がわかりづらいよなあ
[355.275] さっぽさんぽ: 軍艦ビルの隣のビルか
[356.303] teruharu_: 新宿行ったらササッと行きたいなあ
[356.661] mm2351: でかい店目指してるわけでもないんでしょ
[361.119] あさつき教: なるほど～
[365.601] sahaha213: 知り合い以外は入りにくそう
[367.318] myodent21: 飯は美味い？
[367.708] SleepShiva: そういう店って長続きしないのが現実なのよね…
[371.346] toki0823: お酒は楽しくが基本だから人大事よね
[372.034] chin_56_: 星二つ
[372.658] (S)箸くれ: 行けたらEvoJapan見に行こうかなと思ってるからやってたら寄りたいなぁ
[372.972] mimiprettybot: ゴンタも汚ねぇ花火になるの？
[375.613] jagajaga1943: ゲーミングノート持っていけばスト６対戦できますかね
[384.709] (S)きしー: 新宿で飲むときはいっぱいぐらい行ってみたいなー
[388.291] (S)dalhi: お店もこれから育つよね
[389.449] oinari6: それは厳しいんじゃないか
[391.510] echa_pi: ローストビーフ食べたい〜
[392.114] (S)sai927: ほう
[392.592] 000105: ワール
[397.543] v_harumi_v: もう着いちゃう
[400.674] mohita_3: ここが
[401.100] あさつき教: もしかしたらウメちゃんと飲めるなら行ってみたいかもしれない
[402.910] (S)のぶとも: タントアール？
[402.939] (S)ダービー1: ダービー1 subscribed with Prime. 
[404.285] mm2351: 客いないのになぜか潰れない常連系の店すこ
[407.293] potocki1810: 持ち帰りとかあるのでせうか?
[409.126] une3333: あら
[410.115] 000105: 強い名前だ
[410.187] chin_56_: ｻﾞｯｻﾞｯｻﾞｯ
[411.503] myodent21: 到着〜
[412.271] 憂う者の弟子: おしゃれ
[412.979] magu_dx: もう着いた
[413.043] ぬーぼー2: ここ家から徒歩圏内だ・・・・
[413.548] v_harumi_v: 電波がんばって
[414.168] baycurry16: さすが歩くのが早い
[414.581] (S)イエール: umeYay
[414.730] teruharu_: ひい
[414.907] (S)sai927: 電波が
[415.646] sahaha213: あ
[416.498] une3333: 電波怪しいか
[416.661] ふむち: 電波悪いって誰か言ってなかったっけ
[416.751] らくがき魔: 電波きびしいか？
[417.065] wagon65: 回線が…
[417.228] pondenring0930: 店飲み配信最初の1時間とかだったらやっても大丈夫そう
[417.855] 四国エスハ: 電波が
[419.296] (S)ベビちゃむ: でんぱーーーー
[420.370] pondenring0930: あ、電波が
[420.689] light_hight: 電波ぁ！
[420.886] nikukuisugi333: 電波がんばれえええ
[422.991] mame1800: ；；
[423.935] (S)銀廻宗創始挙天和尚: 東新宿あんまいったことないす
[424.688] (S)sai927: 画面がポリゴン
[424.915] one596: 電波遮断ビルか
[424.917] DancingSheep1119: ああ
[425.261] wonderhit1: 電波みが
[425.743] mohita_3: 攻撃を受けている
[426.531] (S)きしー: いいところなのにー
[428.184] echa_pi: でむぱッ
