[28.429] huroran_: こんどぐ〜
[574.730] (S)godog02: ヤヴァイ
[578.795] (S)all_hd: ひなーのがんばれえ
[578.908] dekamega: や↑ばい
[579.682] (S)iwap0n: どぐらメンタルコーチ頼みますわ
[583.697] risa_rice: きちゃった❤️
[585.031] こすもどりっぷ: 追撃するじゃんねぇ
[586.176] (S)鉄板: おはスパ
[586.228] naryuhama: 更にギアを上げるぞ
[586.721] mesa1004: あの釈迦さんも最初の大会吐きそう言ってたからなw
[586.886] shi_a__: 緊張ほぐしにザンギいっとく？
[587.732] tkgnotamago: あと1時間と12分か
[590.065] めめせー: やめてね 
[590.511] パンクラトプス: やめてね 
[590.588] hige_yarou: おじもニッコリしてまう
[590.825] katanantoka: メンタルメンタル
[597.008] ノイン70: ひなーのがんばれ～‼️
[597.368] seki_yoku: BloodTrail
[599.811] unimel1x: 圧かけやめてね 
[600.515] にゃんたー_121: BloodTrail
[601.219] グラットン: hinanoYametene
[601.384] (S)roziumu: 緊張ほぐしにザンギでかわいがりするか
[601.552] tsuka_chin: まめスパおはよ
[607.069] r18_takemaru: 緊張も楽しめたらいいよね
[609.191] (M)墾田永年私財砲: 橘ひなのさん配信枠：https://www.youtube.com/live/3sO_xKb59ro?si=8Dpx5MZYOzChBI7V  現在未開場です
[612.952] hyperion0123: とことん向き合うしかないよ
[620.298] (S)shrimp_square: まめスパｵﾊﾝﾖ
[620.902] dekamega: ドラゴンヘッドの奴みたいに海馬いじれば緊張しなくなるゾ
[628.897] (S)うちま_: SA3詠唱して緊張解くか
[632.865] katanantoka: アシ強だけは忘れないで・・・
[634.758] naryuhama: 最後は手癖しか出てこねえ
[637.298] hyperion0123: 頑張れひなーの！！
[638.431] gomibakokerio: 響いてないな
[645.092] rc_succession: お馬さんのシャドーロールと一緒やね
[645.678] risa_rice: SA3詠唱いいな
[653.390] dekamega: 響いた確認追撃
[654.531] shi_a__: やること整理いいね
[655.152] puruo0715: ザンギしたいって？
[658.902] hyperion0123: ひなーのWIN
[659.118] tkgnotamago: アシ強！アシ強！アシ強！
[661.257] konagaki: 強アシストあてる
[665.209] めめせー: チーム戦じゃないからね
[669.978] unimel1x: 対戦中は1人やもんなぁ
[672.201] にゃんたー_121: 仲間おるからねぇ
[674.512] (S)鉄板: 一人っきりの戦いは初めてか
[679.694] r18_takemaru: どぐらがいるよぉ（ﾆﾁｬｧ）
[684.008] risa_rice: 強アシスト！
[687.471] (S)13Nemesis: また心持ちが違う感じなのね
[694.174] katanantoka: 一切の孤独
[700.175] unimel1x: SA3詠唱でどぐにゃん思い出していこう
[701.008] risa_rice: どぐらに頼っていけ
[704.354] miro36363: 何よりみんなで楽しんでほしいよね
[713.119] shi_a__: 神メモ
[718.184] にゃんたー_121: ｼｭｯｼｭｼｭ
[725.483] こすもどりっぷ: 詠唱で心を落ち着けよう
[727.789] toto3210119: 言うよ？
[728.723] soh1375: どぐら兄やん信じろ
[729.039] ダリルちゃん: 他のところでもいってたよ
[731.341] varomu: 初出場の人たちは無理だろうけど気負わないで・・・
[731.869] (S)gokukeshi: 楽しいねぇ～まで言ってたよ
[732.320] 煮干し銀: 平常心に戻れる魔法の言葉
[733.762] risa_rice: SA詠唱いいぞ
[733.950] shi_a__: メモの内容ＳＡ３のセリフだったりしない？
[734.123] echizen2000: 楽しいねぇ！
[735.582] r18_takemaru: 本配信で抜かれてほしいな
[737.243] mesa1004: 下手したら本配信のるぞw
[743.406] こすもどりっぷ: どっちやねんw
[745.180] katanantoka: むしろ詠唱した方がいいかもしれない
[746.436] dekamega: ごんめ～～～
[746.687] グラットン: wwww
[751.476] varomu: 緊張してます？
[753.549] (S)アベ0206: リアル
[763.273] omu_maro: 緊張を楽しもう
[768.914] えるまあ: 皆んな緊張するよw
[778.480] naryuhama: 方言
[779.605] (S)gokukeshi: 方言
[786.846] soh1375: 方言やめれ
[787.705] ダリルちゃん: 島の方言出たな
[787.734] shi_a__: つまり、無理
[790.142] (S)コムコムぽん: 「緊張したまま何とか戦え！」
[791.440] risa_rice: 緊張するなはガー不
[791.648] ふぁんとむらいだー: 無理
[792.645] chef_oizumi: そんなおもろい？ｗ
[794.328] dekamega: ゲーセン村の方言
[799.848] juno0220: ガーフってなんやルフィーの爺さんか？
[802.867] akiravec: マーダーダッシュするか
[803.941] seven_bluewave: 方言出てるよー
[804.324] (S)鉄板: ガー不は標準語でもええやろ…
[806.253] 煮干し銀: やれんの〜？
[810.394] tkgnotamago: このゲーム唯一のガー不
[810.427] にゃんたー_121: 🤯
[811.184] あすか002: こんちは 緊張ない人はガチで強いからね
[813.066] toto3210119: 緊張を飼い慣らす
[815.689] Sei3939: CRカップはめっちゃ緊張したってウメさん言ってたね
[817.803] miro36363: 相手も緊張してるし同じよね
[819.308] (S)アベ0206: 考えない・考えすぎない
[820.363] unimel1x: やることを体に染みつけるんや
[822.377] rc_succession: ちゃんと向き合ってるから緊張する
[827.790] こすもどりっぷ: 価値のある敗け方をね
[830.292] naryuhama: 最後に整理していこう
[844.007] shi_a__: 得たもの実感してもらいたいよねぇ
[844.568] r18_takemaru: 催眠術かけるか
[844.987] unimel1x: リスナーもそう思います
[847.834] (S)うちま_: 安定行動事前に考えとくの大事、なおそれも忘れる
[849.086] にゃんたー_121: 💀
[850.055] あすか002: 相手のリプレイ対策みないと
[851.384] (M)墾田永年私財砲: 💀
[852.410] risa_rice: どぐにゃん会話うまいよね
[855.900] ダリルちゃん: わかるマーン！
[856.081] malboro5555: 去年のSFL最後のどぐらさんより
[857.926] araiiiiiiii: 仕上げはおかーあさーん
[865.122] seven_bluewave: ワイトもそう思います
[865.609] グラットン: ww
[867.107] (S)鉄板: わかるマーン！
[867.833] こすもどりっぷ: なに？w
[870.048] あすか002: 気持ち悪
[871.288] unimel1x: キモない？
[874.994] echizen2000: ちょいキモ
[876.244] にゃんたー_121: 怖いよ
[878.519] (S)13Nemesis: こわい
[881.247] (S)godog02: ﾃﾞｭﾌﾌ
[891.573] (S)LooseDash: こんどぐ～
