[384.916] きょむろーら: 懸賞金エグ…
[386.731] kei_vlz113: おかえりー
[387.878] rays_0121: おかえり
[389.966] ギムネマ茶: おかえり
[390.856] (S)_あしゃ: おかえり～
[391.073] くるまふ: いい感じだよ!
[391.861] (S)setsuna_74: setsuna_74 subscribed with Prime. 
[392.375] wolf_vltt: ゆらん4キルしたぞ
[393.808] takuma153: いいよ
[394.437] わやみんぐ: いいよ
[397.366] fre_____d: いいよー
[398.341] kasyu_940: 4CEした
[398.594] taro_Vlrt: シャツも見えていい感じ
[399.000] rozena2525: ４キル
[399.807] suoro75: ４CE
[399.997] jima922: 4ce
[400.574] rays_0121: 4ce
[401.280] maru_3366: 4kil
[401.971] r1ar1a_: 4ce
[404.322] ririri_rpi: ４
[404.893] me_tmt: カメラ目線ちょうだい
[405.148] ゆきころ: 4CE
[405.454] takuma153: 4ce
[409.024] 私さーもんちゃん: エースしかけた
[409.073] 7ゆき7: 4
[409.514] しゅーまいい: そう
[410.037] ppffvv_00: 当たり前じゃないからな！
[410.504] amadnm: 4ce二回目
[411.246] rays_0121: 今日はゆらんの日
[417.030] rozena2525: チクチク
[418.233] ゆきころ: 足りんま？
[419.120] kasyu_940: ?
[419.964] 私さーもんちゃん: パイセン厳しいな
[421.013] r1ar1a_: 四皇なのにな
[421.238] ギムネマ茶: 足りんぞユラン
[422.294] (S)もあ_모아: w
[422.521] hanayo123456: テンタなら5ラウンド連続エースなのになぁ
[423.738] _えびふらい_: 懸賞金上げてこ〜
[425.987] mamimami422: BloodTrail
[426.889] aaaasahi_0123: うっさwww
[430.256] gonzalez2477: 配信の音小さめ？
[431.222] suoro75: え
[437.523] r1ar1a_: そうだよ
[437.661] rays_0121: うざい先輩やめてね
[442.760] suoro75: ぬけえ
[448.938] rep008_: 見たことあるな
[451.646] すのは_: lazvellNice
[451.684] ririri_rpi: ゲームオンもうちょい
[453.231] 01_suzuki: ゲーム音上げてほしいです
[455.823] にゃんキャッツ: ゲーム音が小さいww
[456.200] rozena2525: クッソ小さい
[459.894] r1ar1a_: スラッシュ回転率えぐい
[460.758] banagher_14: 聞こえない
[461.770] shian_m: uageterukedotiisai
[461.901] takuma153: さっき使ったのにもう溜まりそうやん
[463.747] tkmmamorun: めっちゃちいさい
[463.835] 1400dpi_riki02: 声がおおきい
[463.967] (S)もあ_모아: てんたの声がバカでかくなる
[464.946] (S)yamatakeboy: 声でかい
[466.454] kai8dy: これゆらん1440 1080?
[468.374] すべすまんがに: じゃあ声下げて
[469.168] shian_m: 上げてるけど小さいｗ
[469.239] elkiyox: そうするとてんたの声が笑
[469.503] jima922: てんたの声がでかくなるw
[471.780] 不完全生命体: TENNNの声がでかいんだわ
[471.818] fre_____d: そしたら喋り声でかなる
[472.388] ホビです: あげたら叫んだ時うるさい
[472.768] いそきち: 声とのバランスが
[473.097] kasyu_940: ｗ
[473.115] くるまふ: 普通に小さいかもてんたの声はバッチリ聞こえるよ！
[474.112] ririri_rpi: てんきんの声でかすぎる
[474.304] すのは_: スマホの音上げるとてんたの声めっちゃでかくなふ
[474.783] sukemaru777: てんたが叫んだ瞬間終わる
[474.839] betanon: てんたの声もうでかいのよ
[474.978] tkmmamorun: めっちゃちいさいよ
[476.382] gonzalez2477: 100％っす
[476.494] rays_0121: てんたがデカいかも
[478.232] yammq77: この引き伸ばしはTENNNリスペクト、いやアスペクト
[478.257] mamihirk: 俺だよ！
[478.324] mpmpmqmpmp: wwww
[482.986] kaneqnnn: wwww
[484.678] すべすまんがに: いやゲーム音ちっちゃいよ
[485.743] ゆきころ: TENNNの声がでかくて配信音小さい
[488.045] takuma153: さっきなんか下げたせいで小さくなったよゲーム音
[496.621] suoro75: あっぶねえ
[496.702] kasyu_940: シュッシュッポッポ 
[497.568] rays_0121: まだうるさいな
[498.306] fre_____d: いい！
[508.352] r1ar1a_: わかんない
[508.638] (S)ohco_0: ohco_0 subscribed at Tier 1. They've subscribed for 7 months! ZETAWIN!!!
[510.452] mamihirk: わとはぷん
[510.834] 不完全生命体: どうなってる？
[514.320] 1400dpi_riki02: ワイプちょい下
[517.725] suoro75: いいぞおおお
[524.737] suoro75: あぶねええええ
[524.943] (S)もあ_모아: あぶねええええ
[525.765] rays_0121: あぶねえええ
[526.812] kirpyofthestars: あぶねえええええええ
[526.818] kasyu_940: あぶねえええええええ
[527.703] mamihirk: ああああああああ
[527.752] hanayo123456: 何それw
[529.281] ギムネマ茶: いずつっよ
[530.235] kei_age: あっぶな
[530.360] imo_hoshi: こえええ
[530.758] mamihirk: こっわ
[531.511] rep008_: バケモンやん
[531.526] spilca_: あっぶううううう
[532.915] (S)もあ_모아: いずやべ
[533.313] maru_3366: izuuj
[533.380] rays_0121: こわすぎ
[539.742] ririri_rpi: つっよ
[546.491] rozena2525: 怖すぎｗ
[549.793] かいり채널: あぶなw
[555.861] r1ar1a_: リプレイ出せ
[556.155] gorilla515adgjmptw: Lazさんバインド前何使ってたけ？
[561.464] r1ar1a_: サイファー
[565.136] blitzzz__z: !goods
[568.241] gorilla515adgjmptw: ありがとう
[571.993] rion222222: 金きっついなあ
[577.305] 1400dpi_riki02: wwwww
[578.232] shian_m: ありがとうなてんた
[579.841] ギムネマ茶: T1もだよね
[580.971] ruea0309: 勝ったらどうなる？
[583.115] delendpg: 勝ったら
[583.410] kai8dy: さらに2-0が好ましいと
[585.436] kei_age: ZETAWIN
[589.655] takuma153: ラウンド差の話もあるし2-0がいいな
[589.752] ririri_rpi: できれば2-0
[597.972] suoro75: 牛さん任せはきついね
[602.513] 不完全生命体: T1も2-0じゃないと厳しい
[610.393] koto0o0: 取られなくてもts任せだよ
[624.749] ギムネマ茶: 草
[628.482] spilca_: ww
[632.912] suoro75: ゆらん！
[633.177] にゃんキャッツ: depowKawaiine
[637.531] (S)もあ_모아: ゆらんやばい
[640.733] rep008_: ゆらんエグ
[640.805] rays_0121: ゆらんday
[642.577] rozena2525: ゆらんがつおい
[642.796] hanayo123456: ユランどうしたん？w
[644.469] なぎちゃです: ゆらん
[644.590] ちうわ: ゆらん強すぎる
[644.664] 1400dpi_riki02: なんか強くね
[645.486] kumoryou: yuranyuranyuran
[646.518] kai8dy: まじでゆらんがせかいかえてる
[649.840] r1ar1a_: ゆらん懸賞金やばそう
