[379.012] (S)raurakd: 怖い
[383.174] (S)じゃむじゃむお: 画面にエディ・マーフィしか映ってない
[387.224] みんら: ツリーガードいる？
[393.479] もきち555: 黒ｗ
[393.602] rinmu_7: 聖地巡礼かぁ？
[393.967] HirocoT: ？
[394.791] ウダガール: みたいｗ
[396.411] LEE4646: 画面が暗いから気になるｗ
[396.655] oleo0227: KSK配信からだと見える
[397.492] kaigaizei: KSK配信で見れる
[399.566] momiji4431: ま？
[400.569] chin_56_: 夜デン？
[401.157] (S)machakyuro: じゃあ樹霊さんおるやんｗ
[401.480] mahiro_8: なに？
[402.747] natsume1313: みたいよ！
[402.976] taroumaruh: 黄金樹の化身おるぞ
[406.381] enuemu3: あじ？
[406.549] PUCHU7788: ダンジョン生成中
[408.060] yoshikawa_yo: 金田一か？
[408.605] lstang: エロデンホテル？
[411.863] mgrppaso: スキーリゾートなんで
[412.529] mahiro_8: なにがいる？
[414.082] JeniXO: 今日泊まるホテルはeスポーツイベントの開催場所に結構なってたりしますね
[416.301] gajonaori: まじで黄金樹でワロタ
[418.502] porcupinepine: 大丈夫か？
[419.698] (S)mart_00_: まったく映らないw
[422.547] mgrppaso: やっぱり画面側にカメラなってるよ
[427.733] タクティカルバイザー鬼道: うめはら、エルデの王におなりよ・・・
[434.302] pipitamn: 誓おう
[436.677] (S)machakyuro: もしかしたら種子オチてるかもよｗ
[437.980] neon_d99: スキー場だから
[444.461] 65vr39: 逃げて
[444.565] HirocoT: 路肩落ちはやば・・
[444.696] 000105: google マップ見て たぶん駐車場
[449.071] pochichan11: そうさね
[449.469] mahiro_8: みえたー
[451.050] みんら: 根本に種落ちてそう
[451.518] jagajaga1943: ほんとだｗ
[453.962] HirocoT: おおー
[454.479] gajonaori: うつったｗ
[457.003] burupapu: ｗｗｗ
[457.140] exdesu: 木が一本
[457.319] genosaurer0228: 安比グランドホテル？
[457.736] porcupinepine: あったあ
[457.954] Komandz: 黄金樹ww
[458.199] momiji4431: きれい
[462.301] (S)hiaaru: 黄金樹あるのか…
[465.767] (S)machakyuro: エスト瓶一個増えるぞｗ
[466.287] bikibiki999: 黄金樹がデフォにｗ
[466.748] amakuchi_110: そんな場所は地図に無いぞ、、とかなら怖いね
[466.820] LEE4646: お、あれかｗ
[468.009] neon_d99: 黄金樹基本になってるの草
[468.096] gajonaori: 黄金樹をご照覧あれ！
[468.331] mahiro_8: 安心しました
[469.339] ~MISSING_COMMENTER_INFO~: Dさん冷やさない方が良いですよ。血行良くして、細胞組織を回復させるらしいです。最近のスポーツ界ではアイシングはしないみたい
[469.373] burupapu: 化身いそう
[469.574] (S)黒光り肉の: みんな褪せ人エンドある？
[471.347] yoshikawa_yo: なんかおもろいことになってきたなw
[472.198] berocyuu: 桜？
[476.072] jagajaga1943: ここが黄金協か
[477.400] (S)wankoro_moti: PotFriend
[483.677] みんら: 300キロ散歩をご照覧あれぃ！
[486.519] タクティカルバイザー鬼道: きれいだ
[488.566] hairi0610: イワテの王になる
[488.776] lstang: 杖の戦技？
[494.393] 65vr39: 呪われた木
[496.431] burupapu: へー
[497.272] neon_d99: 黄金樹
[497.530] amakuchi_110: 肝試しも始まっちまったか
[498.761] 失地王: 焼団子
[500.707] タクティカルバイザー鬼道: 聖樹もあるやんけ
[501.692] tachaomi8: アイシングはしないわけではない
[503.382] (S)じゃむじゃむお: アイシングはしてるよ
[503.777] chamomile21: カフェ氏論文まで見てたあ
[505.024] weeep1: アイシングするしないも行ったり来たりだなぁ
[507.405] mahiro_8: お分かりいただけただろうか
[507.805] kuniyoshi8: 昔の常識も変わって来てるんだねぇ
[507.978] chatamaru: 筋肉痛ガチ勢
[508.168] (S)mart_00_: してるよ
[509.772] sakula_n: 聖杯の雫落ちてそう
[512.679] 戸愚呂妹: えいたはプラシーボで回復してるからね
[513.238] もきち555: 樹あったぁ
[515.315] tentough: ッハァァァァァァァァァァァァァ
[517.017] porcupinepine: ３０キロ歩くスポーツね
[519.140] donekofg: 体を治すために熱出してる気がするんだけど冷やす必要あるのかね
[519.804] (S)泣き虫サクラ: 大谷が冷やしてるかどうかで決めよう
[520.082] aquarium_tw: クラウンはいい割りとホテルだなー
[521.638] ebikatsu39: もうわかんねー
[522.090] balthazar000: 年の功？
[523.184] ~MISSING_COMMENTER_INFO~: 持病があるのでね
[525.528] ~MISSING_COMMENTER_INFO~: 直後はしたほうがいいけどずっと冷やしてると回復遅いみたいな話じゃなかったっけ
[531.853] (S)fortis600: 「らしい」「みたい」っていうググっただけの知識持ち込むのやめたほうがいいんじゃない
[534.064] 廿楽_芽衣: 今の痛みを軽減させたいなら冷やす。回復を早くしたいなら温める
[534.183] beastbeast: でもメジャーの大谷は毎回アイシングしてるよね
[535.913] donekofg: 野球はめっちゃ冷やしてるイメージ
[540.728] (S)ｾﾀﾒﾝ: 雪残ってるねえ
[544.519] puertoescondidomota: 良いホテルだなー
[545.372] burupapu: 競歩とかどんなケアなんだろうな
[547.603] 000105: コンビニも近いしな
[547.807] neon_d99: メタ分析終えてない諸説は無駄
[548.231] (S)ノア1844: 結局プラシーボ効果で自分があったものが一番良いというのが正解なんですかねｗ
[548.523] rinmu_7: 痛める前のアイシングは良いらしいけどね
[549.913] (S)machakyuro: スポーツのアイシングしないは痛みない時の話ね
[554.522] (S)mart_00_: 野球はしてる
[558.744] tentough: らしいとかいやだ
[562.549] (S)ｾﾀﾒﾝ: 雪じゃなかったわ
[566.496] (S)keel_116: 個人差もあるから、本人が楽なの選ぶのが良いわな
[570.409] (S)ima_son: Dが決めるしかない
[573.019] balthazar000: スキー場よそこ
[574.775] neon_d99: スキー場や
[575.014] donekofg: 人体もそんなに解析されてないからしゃーない謎だらけよ
[576.178] burisuke: 最低３度とかみたけど
[578.292] mahiro_8: ここまで来れば安心
[579.480] yoshikawa_yo: あ、今日も車中なのかw
[580.389] Kenken725: スキー場でしょ
