[193.746] caloria777: 止まりかけていた
[195.059] auroradon5: うおおおおおおお
[195.413] jikiru6: ぐるぐる
[196.559] jaco8210: 号泣
[197.408] Gordstorm: 板橋が生んだモンスター
[197.954] 56ne5656: ハメコさんすげぇなｗ
[198.098] asakura3dayo: いいねいいね
[198.666] brocco999: 歌っていただきましょう
[199.703] tenshi_ch: セクシィイィイイイイイイイ
[200.356] amicitia07: 仕上げてきたなｗ
[201.430] サメカツ1999: すげーやつ
[202.114] Planetrollcall: なげえｗｗｗｗ
[203.733] auroradon5: ”繊細なキャラ”
[204.605] ロディア8: うおおおおおおおおおおおお
[204.681] Papapadad: 最初からこういう風にちゃんとした大会ぽくやっとけばよかったのに
[205.560] callinchicken: 盛り上げるねぇ
[206.005] taira4564: 号泣
[206.032] ユンボ: クンニエフウウウウウウウウウウウウウウウウウウウウ
[206.793] littlestory4: あいつぁすげぇんすよぉ
[206.864] shikamaru123456: イイコメントだな
[206.940] Gordstorm: KP
[207.067] kinpren: かんぱーい
[208.308] asakura3dayo: ふつーかよｗｗｗｗｗｗｗｗｗｗ
[208.445] AtomPeter: いけんく
[208.862] (S)burisuke: 板Ｚ！！
[209.038] ロディア8: 温度差ｗｗｗ
[209.200] nhhhe: うおおおおお！！
[209.543] otogibanashi: 煽るね
[209.654] lookeezy: LUL
[209.922] suhr0917: いいねえｗｗ
[210.008] spade0325: うおおおおお！
[210.120] まままままま: 板ざんドネコロ終わらせてくれ
[212.135] rin_p15: KN
[212.209] 帝王大貫: がんばれ～～～～～～～い
[212.540] nocholien: いええええええええええええええええ
[212.565] サメカツ1999: ほぼないw
[212.945] 56ne5656: 軽いｗ
[212.963] Gordstorm: かんぱーい
[213.229] emuemue_mm: うおおおおお
[213.260] ezjo0608: 号泣してる？
[213.301] lucita_lapita: おおおおおおお
[213.445] ao_sagi: シーン
[213.647] suwatei: おおおおお
[213.698] broken_balcony: いけんく いけんく
[213.963] adawong123: ｗ
[214.357] gEnbOKu_: うぃ～
[216.092] Meso999: KP
[216.737] largsrn: シーン
[216.810] g3179: ほぼ空ｗ
[217.479] caloria777: おー？
[217.608] nihonsyu_: ゆるういｗｗｗ
[218.008] h2hiroyuki: 海外大会回れないアマチュアのために続けるって今ウメちゃんが言ったばっかりなの聞いてなかったの？
[218.145] taroumaruh: ニヤァ
[218.297] metoxys: butter-churning?
[220.956] vermilionsheep: くつろいでるな
[220.986] eoru55: オッサンじゃねーか！
[221.057] amicitia07: おつかれすおつかれす
[221.274] kaiyama21: ハメコさんいいぞおお！！！
[222.171] koma2007: 有能ハメコさん有能！
[222.715] lookeezy: Ice coffee lmaoo
[223.654] saitama_da: ドネコロを終わらせた男
[224.251] ユンボ: ニヤニヤして行く
[224.858] scarDlee: もう入ってないやんww
[225.274] Enpitsu213: 6年前って何?
[225.353] callinchicken: 楽しそうでええな
[225.837] AnneSh1rley: 割と普通な感じで笑ったw
[226.671] ~MISSING_COMMENTER_INFO~: ｗｗｗ
[226.906] conscell: ニヤニヤ
[227.110] auroradon5: ｗｗｗｗｗ
[228.043] fushimomo: 前フリ仕上がってんなｗ
[228.649] こてさん: ここまで勝ち上がってきたからこそだろ
[229.248] spade0325: もうゆ〜〜るいw
[230.835] Planetrollcall: ｗｗｗｗ
[231.522] サメカツ1999: 罰ゲームされてない?
[232.016] ロディア8: ハシビロン！？
[232.938] lucita_lapita: いいね
[233.288] emuemue_mm: かっこいい！
[233.351] metoxys: lmao
[234.283] lookeezy: LUL
[234.980] glenbntn: OMG DAIGO WHY DID YOU CUT YOUR HAIR YOU JUST LOST LOREAL SPONSOR
[235.688] Ssblitz: lol
[236.092] ユンボ: ふーきゅん
[237.703] asakura3dayo: ウメちゃん笑いすぎだろｗｗｗｗ
[239.273] b_oka5: ハシビロン
[239.560] unheil619: ラーメンのほうが好きじゃない？
[240.119] jikiru6: はしびろん
[240.148] ぱらだいす12345: いい口上だなｗ
[240.784] callinchicken: ｗｗｗｗｗｗ
[241.543] nhhhe: ｗｗｗｗｗ
[241.957] rin_p15: GK
