[222.418] gnm1616: 大会出てみて手応えはどうだったんだろう
[225.783] 名無しベータ: 忙しいのにありがとー
[229.281] (S)heatup8: カワノくんうれしい
[230.059] (S)usa451: カワノ東京いるの？
[231.853] (S)ememeume: 楽しみにしてますー
[232.459] (S)piyopiyomaru555: 質問送ったよ Tシャツあたりますように
[233.920] (S)tombo_rider123: rag観ました？
[234.204] spclink: カワノとはとは？状態
[238.132] easter6620: 誰だよｗ
[240.935] (S)何も知らないジョンスノウ: 忙しすぎるねー
[243.553] あと1983: 生きるハリができた
[244.241] (S)salad_maki: 不遜カワノ
[247.459] coralbeaf: 配信も大会も両立するスタイル
[248.327] (S)shiotama: CPT出てみてガイルはどんな感じですか？
[248.677] (S)aznyan_nyan: 長島パイナポーとはもみたいな
[249.131] wtw4t2: 需要ないでしょ
[250.093] nacci516: カリンで優勝ってやっぱりすごい？
[250.443] (S)takeo_onakasuita: パイナポーより先にカワノがきたか
[252.682] (S)myruju: カワノとは？やる意味とは？
[255.861] soscrub: PogChamp
[256.605] dsadsa454654: 深夜の路地裏
[257.465] (S)atsu_240: 多忙な中ありがたいですよっ
[257.564] (S)ememeume: 歩くことで体調整えていく
[261.617] xenys3: パイナポーのノート読んでる？
[265.024] aprikola: どうしてカワノを選んだんですか？
[265.254] (S)usa451: ジョニィとはタイミングちがったな
[265.594] (S)joshua_cat: 金のかかった板ザンはなかなかに強いらしい
[267.736] (S)oinari6: 相変わらずガイル一本？
[268.092] あと1983: 円がかかるとつよいねー
[270.060] (S)ememeume: 二連覇
[272.563] (S)takeo_onakasuita: パイナポーの前説よかったです
[272.873] ken783: 板ザンさん国内大会で強いよな
[277.492] izumih71128: FRの感想聞かせてください
[278.182] (S)heatup8: カワノくん何でも答えてくれるから面白くなりそうw
[283.175] (S)van__houten: umeGuile
[283.275] (S)ememeume: パイナポーのブログとても良いです
[283.560] (S)tombo_rider123: ネモさんがグツってそうな内容で面白かった
[285.218] (S)triton11519: パイナポーとは
[286.969] runtasusu: カワノは期待の新人だからな 立川臭がすごいけど
[288.497] (S)kumatedd: へえー
[288.786] (S)平本: パイナポーノートよかったね
[293.779] TEIKETTO: RAGEはノンスタの井上がすごく良かった。
[295.006] doragenight11: 新キャラでユン出て強かったらガイルから変える？
[302.622] Unzaree: monkaS
[308.935] clearasahi500: これどこ？
[309.045] nacci516: 新キャラ来なかったね
[309.279] runtasusu: 家から近いんだっけ
[311.498] (S)shiotama: した
[312.119] alm1rc: 00:00?
[312.292] balthazar000: VIPルーム？
[313.611] (S)kumatedd: イタリアン？
[314.178] あと1983: したね
[316.926] (S)takeo_onakasuita: しました
[319.655] (S)atsu_240: ゆってたねっ
[319.702] (S)usa451: 日暮里かと思ってたわ
[331.054] (S)ememeume: PS4貸してあげましょー
[334.236] ken783: ネモさん、八田さんに裏切られたときの顔が面白かったｗ
[335.552] gmmcom: めっちゃリアル
[336.062] gengoro1198: 板ザンチーム、唯一全員活躍してたね。
[342.583] (S)でかくん: umeGuile
[352.945] (S)nukkatti: バイソンは鬼門ですね
[359.660] nacci516: 板ザンはチーム戦強いね
[361.691] easter6620: イチロー引退
[370.651] wtw4t2: ジョニー
[373.006] (S)aori37: イチロー会見と同時に見てる
[373.356] (S)niemalsaufgeben: 今後のCPT
[374.187] dsadsa454654: バイソンどうする
[377.691] shupii097: バイソンに是空はなし？
[378.474] nacci516: ファイナルラウンド
[380.718] runtasusu: ジョニーの大躍進について
[381.931] ken783: punkが凄かった
[384.785] (S)ememeume: Beastv効果
[385.566] TEIKETTO: イチローが引退してしまう
[386.393] aprikola: ジョニィ
[387.865] gengoro1198: ブライアンFとは
[391.315] renoa0521: 海外でガイル使った感じはどうでしたか
[395.893] xenys3: ガイル相当弱ってるけど大丈夫？
[397.103] mohumonn120: やっぱガイル一本なのですか？
[398.422] (S)shiotama: ガイルの手応えはどうですか？
[402.561] doragenight11: イチロー４５歳で現役引退だって
[403.200] (S)rhayader_alone: ガイルはお得意様
[408.217] nacci516: 海外やたらG多くなかった？
[411.664] (S)usa451: G多かったな
[417.527] ken783: punkの確認制度が高すぎてももちが後ろ下がり出来なくなってた
[418.134] TEIKETTO: やっぱ弾抜けきちぃですか？
[421.998] (S)aori37: イチローと梅さん言うこと同じ
[423.808] (S)triton11519: ガイルどうなのかな～1シーズン戦い抜ける？
[424.091] gengoro1198: オアーつえーな
[430.056] (S)aryupaka: 去年の組手ではスマッグに勝てたのに
[431.286] saburou777: 2キャラないと厳しい感じだ
[432.406] coralbeaf: 組手のスマッグ戦はいい感じだったから克服したかと思ってたね
[434.502] (S)niemalsaufgeben: イチローに負けてらんねーぞ
[434.711] 高田健志最強: パンク優勝について語れ
[435.811] (S)でかくん: イチローの歳まではプロやれるな？
[436.358] john888k: Gだいぶ暴れてたね
[437.533] kumanobed: 海外だとGの評価がかなり高いらしいですね
[447.480] runtasusu: 結構劣勢なのか
[450.174] (S)shiotama: なるほど
[455.232] (S)壱万円札: 試合見たかったです 配信なく残念でした
[455.473] (S)akiaki0612: ももち是空観た？？
[464.773] あと1983: 2先はねー
[466.201] agemochi: ファミ通部屋組は散々な結果だったね
[467.275] (S)NIVEA1: お疲れさまでした！
[467.781] (S)ememeume: 結果論的な
[469.551] nacci516: さすがにももち是空見たでしょ
[473.059] rakio: 運絡むしなあ
[475.044] (S)rhayader_alone: ボクサー対策は？
[486.807] (S)何も知らないジョンスノウ: 配信無くて敗退は悲しい
[492.642] easter6620: 大将軍補正
[493.642] (S)atsu_240: いけてる気はするけどねっ
[494.406] giefnerfplese: 5先でも？
[494.805] あと1983: 皆対策してないのかな
[496.004] xenys3: それは朗報
[496.395] triskeal: 決勝残ったのもキャラそのまま勢な感じ
[496.696] 名無しベータ: JBの弟のLEXXガイル強かったですね
[497.797] higashimurayama: 不思議の勝ちあった？
[499.168] (S)shiotama: G多いですけどガイルだとどんな感じでしょう？
[499.424] (S)NIVEA1: 一心同体
[505.749] wtw4t2: ジョニー以下でいけるはさすがに？
[506.356] (S)lapion418: lapion418 subscribed at Tier 1. They've subscribed for 3 months! 
[508.027] ぼんじゅ: 対策が甘くなったんじゃね？
[508.700] (S)oinari6: うめちゃんのガイル評で僕のガイル熱が変わるから頑張って
[509.199] イヌとくちぶえ: 熟練度がアップしてんのかな
[510.305] (S)niemalsaufgeben: ガイルが減ったから、対策できないとか？
[510.605] (S)aryupaka: 練度もあるしね
[513.318] (S)ememeume: ウメハラさんガイルがイケる
[513.726] (S)kumatedd: やるぅ？
[514.558] aprikola: そんなノリなのｗ
[518.610] mohumonn120: バイソンに弾抜け実装したやつアホや
[519.034] gengoro1198: ガイル減ってそうな気がするから、対策されてないとか？
[519.655] (S)shiotama: w
[522.649] (S)nanmi__: umeGuile
[524.872] (S)桜風かなた: souffle_moon subscribed with Twitch Prime. They've subscribed for 9 months, currently on a 9 month streak! 
[525.543] (S)ememeume: 立川くんが配信してくれた
[534.642] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[535.093] (S)rhayader_alone: 寝ずにずっと待ってたのにｗ
[535.356] coralbeaf: ルフィが配信してたから見れたは見れたけどね
[536.647] (S)ohigara: 音といえば藤村
[540.815] (S)kumatedd: へえー
[542.655] あと1983: ボンちゃんもなんかリアクションしてたね
[543.343] xdfwjfpf: ゆかどんおまえ
[545.343] (S)yoinio: ハイシンダイ デ ヤルゥ？
[545.897] (S)ememeume: ウメハラさん待ちでした
[549.194] (S)shiotama: 配信台に音のラグがあったんですね
[554.813] (S)atsu_240: 見れなかったの残念だったw
[555.365] xenys3: なぜか勝てる状態ってのは危ないけどね
[556.116] (S)domontyan: うめちゃんの配信台がないとか悲しい
[559.026] mohumonn120: くるっ
[560.356] (S)usa451: 是空出しどころある？
[561.305] wtw4t2: ジョニーについて
[561.806] saltytaste: これ外歩いてるの？
[563.108] (S)壱万円札: GO１さん戦立川さんの配信で見れました 一部ですが
[568.033] (S)nukkatti: 是空はどうするんですか？
[570.500] (S)shiotama: なるほど
[575.487] (S)myruju: PUNKがきにしてたのそれか
[578.147] (S)平本: ボンちゃんがイヤホンに切れてたね
[580.570] (S)cocolo33322: ゲーセン版やります？
[582.071] lucky_sd_bass: これが家の中とかヤベーだろ・・・
[582.757] (S)kumatedd: みんな気にしてたのか
[588.149] (S)akiaki0612: ももち是空観た？
[588.369] (S)shiotama: どの辺歩いてるんだろ
[592.752] (S)桜風かなた: ジョニィとは、からの大躍進～
[594.906] (S)ohigara: ちゃんと強くて安心したよ
[596.314] hoguwattu: うめちゃん久しぶりー
[597.439] あと1983: ジョニィをみんなで応援してたとか
[600.404] xenys3: 後半通用しない読みの是空捨てでしょ
[600.837] (S)ememeume: あれはやっぱりBeastv効果
[600.850] 高田健志最強: ！？
[608.258] (S)triton11519: とはシリーズやると活躍する説
[609.870] (S)ちぶるすきー: ジョニィとは見れてよかった
[611.806] doragenight11: かりんやっぱ今回強いよね？
[613.641] (S)rhayader_alone: 3回結果出したら実力
[619.935] あと1983: これでジョニィさんはリズムにのれますかね
[624.510] (S)山田たろう太郎: パンク強すぎた
[628.782] termateo: Is he just walking?
[632.501] (S)triton11519: punk強すぎ問題
[634.847] (S)tombo_rider123: yes
[636.180] (S)平本: 若手は一気に焦っただろうね
[636.428] Nagare765: かりん使いみんなつよい
[656.040] (S)tombo_rider123: also chatting
[658.012] izumih71128: コーリン調子悪かったって言ってましたね
[659.633] xdfwjfpf: パンクとマサが今年は壊すよ
[664.477] (S)sutoku94: コーリンの調子が悪かったみたいですよ
[665.753] (S)atsu_240: ももち是空があそこまで行ったのにはウメさん的にはどう感じたんだろ
[669.404] (S)shiotama: コーリン調子悪かったとか
[670.657] (S)triton11519: ももちはコーリン出したら全部負けたつってた
[672.437] coralbeaf: パンクはコーリンだすと同キャラ戦仕掛けてしてしかも強いから困る
[672.835] (S)Kanquez05: 本来ならコーリンなんだけど、その時コーリンの調子がすこぶる悪かったから是空出したらしい
[675.801] termateo: ok thanks
[675.912] (S)niemalsaufgeben: ももちコーリンで0勝だったね
[679.773] (S)canon_203: うめちゃんおかえりー
[681.767] gmmcom: 飯食おう
[688.829] (S)ekus0y: 深夜配信良いですね
[692.946] Xerk1: PogChamp
[693.701] ﾃﾄﾗﾝ: ウメちゃんの是空もう見られないだろうなー
[701.454] yuyazan: 日本橋だ
[703.101] Skadingle: monkaS
[703.291] gengoro1198: その日、コーリンの調子が悪かったらしい
[709.795] sora_neko09: コーリンの調子が悪いって妙な表現だな
[712.780] easter6620: コーリンの方が対策されてるのかな
[713.349] harahara02: この時間あぶねーやついない？
[714.758] (S)ememeume: ユニクロの是空Tシャツ買いますか？笑
[718.062] dsadsa454654: 新キャラはよ
[720.586] donachan: ウメちゃんって折れるんだ
[721.704] doragenight11: 新キャラでユン出たら使って欲しい
[723.434] (S)rhayader_alone: ウメ是空は希望あったと思うけど
[723.562] (S)usa451: お蔵入りか
[724.103] (S)vorivoriman: ウメちゃんのガイルかっえほしいわ
[724.600] (S)heterotopia3: あいつ
[728.026] (S)shiotama: 日本橋なのか
[731.119] saburou777: 是空は2キャラみたいなもんだから開発するまで時間かかりすぎる
[738.135] BCAA_1006: 是空Tシャツ欲しいｗ
[741.759] (S)atsu_240: グッとくるものがなかった？w
[747.315] Nagare765: マサ優勝ありかもって思ったけどcj truthに負けてLOSERS落ちは痛かったね
[753.615] (S)triton11519: 貯金が違うからね
[754.031] panzar87: ウメウォーキング
[759.075] (S)rhayader_alone: バイソンに是空当てるのは？
[764.258] (S)niemalsaufgeben: 弾撃ちの年季もあるからか
[770.690] (S)Kanquez05: ラシードいぶきバーディー豪鬼らへん？
[773.737] poodle0420: ガイル使ってて飽きないの？
[777.319] (S)平本: ジーザスに負けたマゴさんに一言
[777.598] easter6620: ここにきてリュウある？
[780.652] Nagare765: たかし！？
[780.892] dsadsa454654: リュウ見れるまじ？
[782.379] (S)shiotama: へー
[783.572] (S)rhayader_alone: きたー
[784.379] izumih71128: 持ちキャラ？
[784.839] gengoro1198: 基本弾キャラキツイみたいだし
[791.604] (S)ememeume: やったーー
[793.956] runtasusu: ももち是空も要所でわからん殺しを織り交ぜてゴリ押し気味になってたからね
[795.224] げろげろまる: ピンチヒッターでリュウええやん
[812.899] (S)ememeume: リュウ出したらみんな盛り上がっちゃう
[813.708] doragenight11: リュウは基本待ちだからやってて窮屈そう
[818.713] xenys3: バイソンにリュウ使うならトリガーどっち？
[819.019] agemochi: 日本人勢の対策ずれてきてない？
[822.199] (S)Kanquez05: 意外だ
[822.201] (S)triton11519: 多キャラ使いは面倒くさいか
[823.776] (S)rhayader_alone: バイソンに勝ってるところ見たいよ
[827.772] (S)cocolo33322: いやそこは皆リュウみたいですよ！
[830.254] highspeedwarakia: もっと老の弾撃ちとかが強かったりしたらよかったんだけども
[832.891] (S)usa451: トリガー２なん？
[838.344] A135alfa: おこんばんわ
[842.539] higashimurayama: ウメリュウが公式戦で勝利したらそれだけで多分みんな超盛り上がる。
[854.589] (S)shiotama: リュウだとトリガー1ですか？
[856.724] thermos_blue: 弾抜け平気なの？
[872.780] gengoro1198: キャラ差が酷かった
[876.444] (S)ememeume: シンプル
[877.689] easter6620: 下剋上できんか
[881.429] (S)triton11519: 7-3とかあるね
[881.604] saburou777: 本田ザンギひどかった
[884.874] 名無しベータ: 本田ザンギ１０：０の
[896.994] (S)atsu_240: なんとかなる可能性を感じてるって事かっ
[897.000] saltytaste: これ眼鏡カメラ？
[906.929] (S)cubgasukidesu: スト５はバランスがいいということですね
[911.359] xdfwjfpf: やってみなきゃわかんないよね今のゲーム
[912.537] (S)une3333: 新キャラはノーカルで発表になりそうですな。
[917.517] (S)ohigara: 期待を持ったまま死ぬ
[926.085] sora_neko09: 無理してリュウ使う必要はないと思うけどね
[929.360] doragenight11: ユンヤンきてほしいぜ
[930.303] ManqueandoSeAprende: hello
[933.359] (S)平本: ゲームの調整が待たれますねー
[937.547] suginaka56: ひと気がなくて怖いな
[941.586] (S)akiaki0612: リュウ強化週間やりましょうよ
[947.878] Nagare765: フェイロンきてほしい
[955.912] ~MISSING_COMMENTER_INFO~: kon i chi wa
[956.504] (S)triton11519: カゲは無かったことにして殺意リュウ追加しよう
[963.616] mifyui: アーケード行きましtか？
[966.313] stonerain2r: ウメちゃんの優勝が見たい！
[971.245] easter6620: まこと欲しいわ～
[971.321] shupii097: 単純にリュウが見たい
[976.277] (S)shiotama: ですねー
[980.412] ghxfhggf: 悲しい
[980.657] (S)triton11519: ノーカルの後かな
[981.907] (S)usa451: 小野さんスルー
[984.407] doragenight11: 殺意は強化来ると思うけどねさすがに
[984.675] hachikun99: 配信の新メンバーは？
[984.742] あと1983: ドラゴボが羨ましいよ…
[987.941] Nagare765: 焦らすね
[987.967] (S)A135alfa: 小野氏今日昇竜拳しなかったし
[988.844] jipippi: 新作くるー？
[989.945] (S)myruju: 調整もキャラも何もないね・・・
[990.827] lutz001: 来て欲しいキャラいる？
[991.301] higashimurayama: kage、sakoさんは？
[991.664] (S)Kanquez05: 去年はどのタイミングだったんだろう
[996.933] (S)ﾔﾐ: こんばんは
[997.921] balthazar000: アケも出ちゃったしなぁ
[998.349] (S)niemalsaufgeben: 小野さんが今日発表したSTREET FIGHTER LEAGUEについて
[1000.060] (S)rhayader_alone: ホンダさん
[1003.047] (S)shiotama: カゲも強化してほしいですね
[1003.949] (S)tombo_rider123: kageはfrでも見なかったね
[1005.364] すか: 発表するとしたらもうしてるだろうし期待薄かな
[1006.786] stonerain2r: 今年シーズンパスとかもないし、ワンチャン終わりの可能性も
[1008.475] (S)cocolo33322: 影の調整全くなかったですね。。。
[1008.994] (S)A135alfa: 小野さん溜めすぎよ
[1010.477] runtasusu: 6キャラで普段だったらもう３きゃらでてる
[1011.468] (S)shiotama: 6ですね
[1012.548] balthazar000: 制作トラブっているんじゃないかな？
[1012.750] xenys3: 影は誰もやってないのパワーワードね
[1012.802] (S)vorivoriman: プロが練習しんどくなるやつ
[1014.506] coralbeaf: シーズンパスも無ければ発表の方法も変わるのか？
[1014.795] (S)akiaki0612: アーケードだしたばっかだし、新キャラはまだじゃない？
[1015.460] bigsleeper: 今年は６キャラないよね
[1016.776] King_Fuudo: リュウは不利キャラが多すぎだね～今の上位勢全部無理かもしれないでしょ
[1018.950] doragenight11: スト６ここにきてくるか？
[1022.230] (S)akiaki0612: アーケードやりました？
[1022.845] (S)domontyan: カゲでてたぞFRｗ
[1023.569] easter6620: 日の当たらない影
[1025.095] uhauhap: 店じまい
[1026.519] gengoro1198: 6キャラなさそうですね
[1026.618] (S)cubgasukidesu: アケで予算と時間を費やしたってことなのかな
[1029.483] 名無しベータ: UYUの人くらい
[1031.821] (S)suzukigsan: またウメちゃんの殺意見たかったよ
[1032.003] (S)icyblue1985: 本田！
[1033.236] Nagare765: リーグ発表されたばっかだぞ
[1033.465] (S)usa451: カゲはダン枠
[1033.834] (S)rhayader_alone: ぷんこがカゲ頑張ってる
[1036.425] (S)何も知らないジョンスノウ: DBFZは全キャラアッパー調整入るみたいだけどSFVもアッパー調整きてほしいですか？
[1036.622] aprikola: そろそろ調整来るんですかね？
[1043.885] koretch: 一斉に3～6キャラくるんじゃない?w
[1044.624] (S)triton11519: そろそろコマンドキャラ使いたいね
[1047.811] ghxfhggf: 影は入れた目的がわからん
[1048.023] stonerain2r: アケ版出して売り逃げでスト6かな
[1049.106] lutz001: カゲはもうあえて最弱にしてる感がすごい
[1049.319] balthazar000: 説明不足はだめだと思うんだよね
[1051.986] (S)ekus0y: 殺意の波動に目覚めたカゲを出して欲しい
[1063.509] termateo: what time is it there
[1069.277] (S)une3333: カゲはさすがに強くなるでしょｗ
[1070.828] doragenight11: アケでたしあと２年ぐらいはあるでしょストⅤ
[1071.011] shupii097: ふつうに馬鹿なんじゃない？
[1071.273] (S)domontyan: スト5はまだしばらく続くだろうな
[1078.206] kuromisama21: 12:21
[1081.354] Nagare765: 00:21am
[1082.678] runtasusu: 次の調整で6キャラ同時実装Vスキル2Vリバ２Vトリ３で勘弁したるわ
[1085.373] sora_neko09: アーケード版相当無理して出したみたいだしなぁ
[1087.583] (S)niemalsaufgeben: 辻本会長が「今後5年間は、eスポーツにかけては頑張っていきたい」っていってたし、カプコンも頑張るでしょ
[1094.203] ﾃﾄﾗﾝ: 練習部屋って対策できるキャラ限られたりしないの
[1106.507] agemochi: その対戦部屋が仇になってない？
[1107.968] ぼんじゅ: 洗脳されたガイル出してくれ
[1111.774] beastbeast: Yahoo特集のウメハラインタビュー記事良かったよ。ツイートしよう
[1112.020] (S)myruju: ここ２年あまり代わり映えしないからなぁ
[1113.642] (S)shiotama: Gとか練習できるんですか？
[1113.923] xdfwjfpf: 新宿タイステ16台あったわ
[1114.487] poodle0420: ファルケとか今月対戦した？
[1115.754] aprikola: ファミ通部屋の人たちみんなレアキャラに負けてない？
[1116.967] taisa0131: 久々のウメ散歩
[1117.808] ga_hq: いやぁ別にそんな頻繁に出なくていいわ
[1127.825] termateo: wow, wouldn't think you'd be walking that late
[1129.621] イナゴ0213: イナゴ0213 subscribed at Tier 1. They've subscribed for 38 months! こんばんわ 歩きやすい季節になってきましたね
[1135.462] (S)ememeume: アケの名前は何にします？
[1136.377] doragenight11: ヴァナヲさんとかにバイソンの練習相手してもらえんの？
[1138.382] (S)すか: suka551 subscribed with Twitch Prime. 
[1138.578] xenys3: ユンが出て上位っぽかったら使う？
[1139.045] ﾃﾄﾗﾝ: 色んなキャラ使い呼んでこよう
[1139.524] King_Fuudo: ランクマとかラウンジでグラマス以上募集とかしないの？
[1145.144] coralbeaf: 練習部屋にいないキャラどうすんの
[1148.406] agemochi: ももちはそこが違うから今年強いきがする
[1148.458] dsadsa454654: へー
[1148.586] (S)A135alfa: Ｇなんて居ない
[1155.008] (S)triton11519: Gとかね
[1156.015] (S)usa451: G
[1158.745] Nagare765: バイソンとG絶対やばい
[1161.777] (S)niemalsaufgeben: アケいってツイッターで写真のせて
[1162.362] あと1983: アーケードにいこう。ってはなし？
[1162.544] (S)akiaki0612: Gとか対策できないよね
[1165.225] gengoro1198: Gとベガ対策は必須ですね
[1169.640] aprikola: 強いGとか日本にいるの？
[1171.202] (S)usa451: アルマスファン
[1171.219] (S)heatup8: ジョビンカップで強いＧいたよ
[1174.406] (S)atsu_240: 現地勢にすごいやられてた感すごかった
[1174.791] (S)shiotama: なるほど
[1177.327] ぼんじゅ: やっぱりゲーセン行くしかないね
[1180.179] cafe_gondo: Gベガバイソンあたりはちゃんと対策した方が良さげ
[1181.350] pandascal: 今回は満遍なくやらざるをえないねー
[1183.184] spclink: でもレアキャラがなんでレアかって弱いからだしなあ
[1186.481] (S)~MISSING_COMMENTER_INFO~: ももちは色んなランクの色んなキャラとやってるもんね
[1188.592] uhauhap: 身内読みだけ
[1190.655] (S)ekus0y: とはいえどう対策するのか
[1191.681] (S)une3333: まあまだシーズン初めですしね
[1192.173] sora_neko09: Gはたまにsakoさんが遊んでるくらいかな
[1196.359] koretch: でも、皆変なパナし増えてない?
[1197.714] (S)une3333: エスタさんとかは？
[1199.361] yuyazan: 海外移住という選択肢
[1199.366] (S)何も知らないジョンスノウ: 海外勢で強キャラがあんま日本にいないよね
[1200.375] runtasusu: ゲーセンでやるくらいならネット対戦のほうがいいっしょ
[1201.911] kitkat0315: ガラパゴス化してるね
[1205.061] shupii097: さこさんはもうやってないみたいだね
[1205.637] (S)ﾔﾐ: ウメバイソン
[1209.054] (S)thefrozensun_: ももちってどんな練習してるんだろ
