[207.421] mako6912: 悲しい・・・
[208.845] tesna_: リュウになった？
[209.331] dsadsa454654: BibleThump
[209.651] vorivoriman: リュウいけるんか
[209.903] aboohng: アレクは化けた
[212.010] IKEPON_: リュウの弾速いよ
[215.137] brutal9998: 色々変わったね
[216.440] げろげろまる: 強化しかないタカシ
[216.952] ねこざけ: ファンのファンさよなら
[216.995] latenight000: だよねぇｗ
[222.617] puertoescondidomota: ガイルどう思ってるの？
[223.102] tabibitox: カゲのほうが触れそう
[225.602] akiaki0612: 足りないw
[225.761] sasanqua1985: リーチか
[227.098] vorivoriman: リュウ微妙なんか
[229.024] じゃむじゃむお: 波動全然速くなった気がしないです
[229.394] (S)~MISSING_COMMENTER_INFO~: 弾比べてた人いたけど微妙だた
[231.663] flsank: ガイル強化はヤバそう
[233.508] sh1n0217: 大波動まーじはやいよ
[233.567] (S)yut7xot8: 大波動は遅かったよ！！
[233.567] berurusuko: 影のほうが強そう
[236.336] akiaki0612: 安定の足りなさ
[238.034] bokaaan: 波動 比較動画みたらほーぼ変わってない
[239.090] rat_2442: たかしかぁ
[245.160] vorivoriman: 王の見解
[246.375] reganfa: 結局道着使うならルークって結論
[248.881] laila_12199: pc版全キャラ開放したいんだけどアプデに合わせてセールとかないのかな
[249.156] ここきち: 梅カゲ復活くる？？
[250.437] 1108044k: ガイルはガイルじゃなくてよくないって方向いってない？
[251.667] Fkdso555: 大波動の比較見て愕然としたわ
[256.791] 将門ゴルゴロ: ガイルは弱体と見せかけた超強化
[258.644] shiro_risu01: あるんか？
[261.479] まキびシ: 壁バウンドなにも繋がらんくない？起き攻めできる程度
[261.608] feel2525: カゲの波動はそこまで期待しないほうがいい
[262.730] matumatu777: わかりやすい
[263.712] (S)~MISSING_COMMENTER_INFO~: すれすぱw
[264.769] lstang: スレスパw
[265.828] dsadsa454654: BibleThump
[267.622] ジノジュグ: わかりやすい
[267.873] vorivoriman: ヴァンパイアでたとえて
[272.698] 食用ばるさみこす: ももちが「同じラーメンに味玉いくつも乗せてもねぇ」って言ってた
[279.075] brutal9998: そこじゃねえと
[280.572] (S)tama_zx61: zyannpu
[281.829] vorivoriman: ガイルきたあ
[283.649] vorivoriman: おお
[287.053] (S)tama_zx61: ジャンプ まだはいっす
[288.012] ememeume: 非情…
[290.614] une3333: ガイルは弱くなったけどまぁまだいけそう
[294.542] reganfa: 空振りあんまりしないしリバスピ
[297.402] IKEPON_: ゲージ溜まるとかいうのは？
[306.874] du_jour: ppukku
[312.947] reganfa: ソニック連打やりにくくなったね
[313.011] tabibitox: VT1の-2も痛いね
[314.521] げろげろまる: ソニック打つだけだとジリ貧
[319.057] (S)~MISSING_COMMENTER_INFO~: てか痩せたね
[322.807] haniwa09: やっぱそこかぁ
[323.844] ememeume: そんな調整が！？
[325.195] Qpo_: basically "Ryu was buffed but he'll only have an easier time against characters he already wins against and it won't really help him against those who he struggles against today" and "we'll see how much faster f hadouken is"
[326.106] Prest0ff: is dis sfv?
[328.163] (S)シミズム: なるほどー
[345.168] curemikan: ほむむ
[347.519] jojojoy001: sfv
[350.278] une3333: 弾抜けさらにされやすくなっちゃいましたね
[352.052] (S)reorge_muller: umeGuile
[353.597] weeep1: ついにクリティカルなところにメス入った感じ？
[353.740] reganfa: ウメルークが結論になるのかなぁ
[354.572] 157655: おー配信してた
[357.835] tabibitox: 1/3増える
[361.241] みえけん: 海外ファンは、リュウ使って欲しいだろうね
[366.310] (S)ババシャツ: ウメカゲあるのか…
[369.037] tomohirom: カゲは？
[369.294] ememeume: ソニック連発できなくなるのか
[369.573] (S)じゅうしまる: umeCheer100 ShowLove100 
[369.791] (M)Moobot: rurucha55 さん、ありがとうございます！ 
[375.013] tai1001: tai1001 subscribed with Prime. 
[375.101] (M)Moobot: @TAI1001さんTwitch Prime登録ありがとうございます！
[377.026] aboohng: 終わったのねガイル
