[503.523] (M)Moobot: @SUMIZOOさん、サブスク登録6ヶ月目！
[505.789] HirocoT: 最近散歩で増える仮想通貨はあるらしいですがｗ
[507.040] (S)yut7xot8: 車の免許とったらドライブもハマるのではないでしょうか？
[507.262] よもぎです: 散歩だー
[510.784] (S)ヤギー: こんにちは
[511.468] (S)tabibitox: 散歩好きなんですねぇ～
[514.118] rm_rf__: 東京は基本どこまでも歩けるマップ
[514.983] brunoman1: スポンサー探しましょ
[517.423] ぽんぽこたぬ吉: 株でもやってどうぞ
[523.091] fishland_: うめちゃんバイク似合いそうだけどね
[523.999] よもぎです: いいと思います
[526.232] osenbei10: tetsuou10 subscribed with Prime. 
[526.313] (M)Moobot: @TETSUOU10さんTwitch Prime登録ありがとうございます！
[528.299] yuyu09250925: 鬼金棒に近づいてる
[529.704] balthazar000: 神田？
[530.333] agoani: 鬼金棒行きますか
[530.598] (S)シミズム: 散歩仲間とかほしいですか？もしくは散歩について語れる仲間とか
[531.901] (S)アベ0206: 神田駅だ
[532.050] piyopiyomaru555: カメラ📷まだ続いてる？
[538.521] (S)v_harumi_v: www
[539.805] しっぷーー: 東京の渋滞は、ほんとストレス
[540.044] (S)ヤギー: どこへ向かってますか？
[547.431] ememeume: 発狂w
[552.077] はちにゃん: ゆっくりがいいとも言ってましたよね。
[554.572] puremoru_duke: 都内だと平日昼でも渋滞してるか
[554.748] same_no_obake: ゆっくりだけど確実に進むのはうめちゃんっぽい
[555.070] bufuagi: 歩きはどんなに狭い道でも行けて良いよね
[555.455] kiraku08: 散歩配信しながら生活出来たら散歩が仕事になりそうだよね
[563.284] (S)tabibitox: 事故りそうな性格だしｗ
[563.432] (S)シミズム: 連続して赤信号とかキツいよね
[565.507] mako6912: うおお！散歩だ！
[569.151] hiaaru: ウメ散歩すき
[570.964] yuki__max: 格ゲーなら待てるのに、渋滞は待てないってね
[574.828] lapistaxx: 今日は上野公園に行ってサクラ見せてくれる予定みたい
[576.101] sasanqua1985: 散歩して見つけたゲーセンに入って連勝してまた次のゲーセンを見つける散歩番組作ろう
[580.988] ぢょごぢゃん: 今年の桜は見ましたか？
[583.085] aranami0: カフェ氏はどこで現れるかな
[583.795] やちぼうず: KSKとか散歩誘ってみたら？
[585.608] akiaki0612: ジョビン呼びましょう
[586.041] しっぷーー: 意外と人すくないなぁ
[588.239] yuki__0410: ウメハラさんとお散歩したいです！
[588.502] ememeume: ウォーキングイベントお願いします笑
[589.058] brunoman1: 車で遠く行って散歩とかもみたいですな
[591.399] (S)kn0wfuture: kn0wfuture subscribed with Prime. 
[591.477] (M)Moobot: @KN0WFUTURE with the Prime sub!
[594.499] (S)asaka139: 今日は桜きれいですね。
[599.235] (S)hatabo0414: 散歩配信嬉しいです！Cheer1000
[599.937] よもぎです: カメラ持って歩くと人に見られますか？
[600.443] kidousenkan_yamato: 財布忘れてないですか
[602.966] goroli: 散策放送好き
[604.142] afro888: カメラでなんか撮った？
[607.694] (S)yaminoiiii: 数学者や物理学者って散歩する人多いよね
[607.723] akasanz3x: どっかでカフェ氏来そうだよなw
[611.807] (S)hatabo0414: Cheer1000
[612.161] (M)Moobot: hatabo0414さん、大量ビッツありがとうございます！
[613.253] kitsune_margiela: 散歩のときスト５の事とか考えたりするんですか？
[618.882] ただの飛べない豚: どの辺りに向かっているんですか？
[622.205] はちにゃん: みんなのビッツとサブスクだけで生きていく！
[624.033] same_no_obake: 散歩配信という新たな道
[643.956] (S)hatabo0414: 散歩、最高！
[645.943] rxz_2017: ゲームは仕事だから・・・
[648.603] sasanqua1985: 大会近いと考えたりする？
[654.873] knn83: Cheer100 Cheer100
[655.145] (M)Moobot: Thanks for the support, @knn83 
[655.285] (S)ninpoko13: 余生に一日万歩旅に出る出版しよう
[662.886] same_no_obake: 無意識に考えてそう
[663.447] (S)ヤギー: 散歩日和だなぁ
[667.420] ememeume: 考えてなくても頭の中では整理されてそう
[669.101] yuki__max: 考えない為に散歩してんじゃないの？
[684.239] はちにゃん: 逆に散歩の時に考えたくないことあります？
[684.774] akiaki0612: なに考えて歩いてる？
[685.679] lapistaxx: 気分転換もあるのかもね
[693.480] vcdva: なんかやってくれ
[708.440] kurosaki_dayo: ウメさんぽ 
[709.463] sasanqua1985: スト6は少しでも良いからゲーム画面みたいねぇ
[725.272] sora_neko09: 散歩してると考えて無くても頭の中で勝手に整理されてく感じがする
[731.256] しっぷーー: ふっかｗ
[739.410] HirocoT: ｗ
[753.566] kurosaki_dayo: 戦え、何を？人生を！
[753.602] ememeume: 歩く哲学者
[753.621] (S)yaminoiiii: お昼は食べました？
[755.862] yuki__0410: お散歩は頭の整理にもなるのでリフレッシュもできますよね！
[756.307] same_no_obake: 散歩じゃない、人生だ
[758.997] rxz_2017: うなぎ！
[762.375] (S)ヤギー: 今日はどのくらい歩くか決めてますか？
[770.250] 戸愚呂いもうと: きたあああああ
[771.640] (S)tabibitox: うなぎか
[773.374] rindy08: 自転車はのらんの？
[777.770] ememeume: 美味しそう
[781.933] balthazar000: 目指すは上野？
[781.964] くもじい: ここは人気ですな
[784.026] jusankokuki: 神田か
[787.808] (S)perfecttakahashi: ウメちゃんーーーーー！！！
[790.743] same_no_obake: どこへでも行ける
[806.604] fishland_: 今日の梅ガールまだかな
[811.588] twitcher234: ウメちゃんおはよー
[814.367] kiraku08: プライベートの散歩の時って音楽聴きながら歩いたりしないの？
[815.941] balthazar000: ウメさんは格ゲー全振り？
[819.471] (S)ninpoko13: ここら辺の町並みはあんま変わらんねぇ
[819.549] kobi3070: 瞑想ですな
[821.192] リバざかな: 登山とかはしないんですか？
[821.511] kurosaki_dayo: 今日は神田をぶら〜り👣
[826.317] (S)yaminoiiii: 一万人大会は開催出来そうですか？
[830.178] (S)kusatarooo: こんにちは
[833.159] (S)おいるさーでぃん: こんにちはー
[841.135] 複視: わかる
[844.818] あなたは何も悪くない: a,oremoda
[864.240] はちにゃん: もし毎日散歩を8時間したら人体にどんな影響が出るかの研究をしたいので協力してください！
[869.364] chanmipoin: ここ日本？
[870.721] rindy08: 俺は音楽必須やなー
[871.383] はちにゃん: って言われたら協力する？
[871.491] kiraku08: 私も散歩中ぐらいしか音楽聴かなくなってしまった
[872.645] (S)v_harumi_v: ライブ行ったりすると聴きたくなりますね
[873.723] bufuagi: カラオケ行く回数も減ってくるか
[876.992] (S)ninpoko13: 娯楽が増えすぎたのかも
[881.050] tmtm84: おなじだ・・あれはどういう現象なんだろう。。
[885.428] twitcher234: 音楽かラジオ必須だなあ
[886.805] (S)perfecttakahashi: 音楽は良いの分かるんだけど、そこに時間が取られるのが嫌で聞かない
[888.833] ライム_: 音楽って大人への憧れみたいなもの無いですか？おっさんになったんだよ
[888.908] ポンポン: ウメちゃんお散歩だ
[890.461] (S)kusatarooo: どう見ても日本
[890.473] kurosaki_dayo: そろそろ秋葉
[894.379] きあい: こんにちは。今日はどちらへ？
[895.686] るぅの: 携帯ゲームとか増えたからかな？
[895.944] numa_o: たまに音楽番組観ると懐かしい気持ちになれる
[905.750] よもぎです: いい音楽探すの大変
[906.185] sasanqua1985: 最近はラジオとか落語聞くようになった
[906.757] (S)kusatarooo: さくら探しましょうよ
[916.114] (S)chankoi: 歌詞のメッセージが浅く感じ始めた
[920.065] tsubame5204: 音楽昔はわりと聞いていたけど自分も聞かなくなった
[921.276] same_no_obake: 靴のスポンサーついたら履く？
[924.486] (S)ninpoko13: 秋葉は流石にバレそうだけどｗ
[926.124] るぅの: ウメちゃんお昼ご飯は？
[935.176] kitsune_margiela: 今日は目的地決まってるんですか？
[935.325] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[937.343] (S)perfecttakahashi: そういえばウメちゃんはCPTオフライン再開したら回るの？
[942.867] (S)neojapan01010: うおおおお散歩きたー
[945.081] aranami0: ｗｗｗ
[948.075] HirocoT: ｗｗｗ
[948.180] (S)kusatarooo: 草
[950.672] kitsune_margiela: ハイヒールｗ
[951.653] kaigaizei: 年をとると音楽聞かなくなるっていう話がある
[952.175] (S)neojapan01010: ハイヒールはやめたほうがｗ
[952.435] loopy000401: ゲームのサントラ聞かないですか
[960.882] satoukazuma777: サブスクサービス充実して逆に聞くようになったわ
[964.692] twitcher234: 音楽聴いててリラックスしない？
[964.824] sasanqua1985: 破れにくい靴下とかスポンサーつけたい
[966.380] balthazar000: 一本下駄いける？
[967.000] fishland_: 梅サンダルとかでないかな
[967.271] debiru55: お、秋葉だ
[968.719] m1s4m0: 良い天気ですね
[968.901] WarlockWins: Which city from Japan is this?
