[456.039] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[464.302] maddy2623: 水派はガチ
[485.153] (S)kakutora_no_o: うっわ珍しい
[489.013] Hiclere: えふーきゅん？
[489.197] gorogorogorn: いい色
[490.343] sai927: え
[490.763] v_harumi_v: ウメちゃんの色が
[492.559] johndoe6523rp: まーじ？
[495.231] tabibitox: 色ｗ
[495.374] maddy2623: レトロビースト
[496.695] (S)y_proto: セピア
[497.153] ムラマン: ｗ
[498.218] shizuku_72: なにこれw
[502.555] v_harumi_v: 何かと画面が被ってる？
[504.044] touruko: ｿﾞﾝﾋﾞｰｽﾄ
[504.612] (S)kakutora_no_o: おっと？？
[505.728] (S)ponponguripon: 梅ちゃん色が
[505.967] 犬舐めんなよ: こくうるせぇって
[509.624] みししっぴ1: 色がセピアになってる…
[511.839] moricocoa: なにもしてないのに壊れた
[513.055] (S)kakutora_no_o: 色々起こりすぎてるww
[515.629] okojo1991: ！？
[517.037] MarcoShinn: Hello from Brazil, GREAT ICON!!
[524.913] (S)gularain: 面白いことになってるｗ
[525.081] (S)maya_g01: なんか起きた
[527.586] ち丸: ホラゲーみたいになっとる
[528.621] kobetaf: 左になんかいない？
[529.938] (S)軽く捻るか: すごいことになっているｗ
[530.682] aranami0: 水派強すぎるんだがｗ
[532.758] j_zima: ウメちゃんカメラ色おかしいで
[538.120] (S)kakutora_no_o: うっまww
[538.921] maruino351: 水派つっよ
[539.746] ~MISSING_COMMENTER_INFO~: 顔
[546.263] johndoe6523rp: おー
[551.601] (S)hoshi_boshi_0: ウメちゃんがセピアに
[552.998] maddy2623: ｗ
[553.030] cielcloudy248: まだ見れないから実況助かる
[556.962] himono__: オシャレな配信になっちゃった
[561.809] Hitode_noko: メンオジ救けて
[563.086] momochan6: なにこの色ｗ
[564.974] potocki1810: ｗｗｗｗｗｗｗｗｗ
[567.294] はらくだり: なんだこの色
[567.952] みししっぴ1: 画面の色どうなってるのw
[568.332] ggtabtab: めんおじおらず？
[572.999] yousuke778: あれ今日はミラーではないんか
[574.420] arutoda: 機械オンチ始まる
[574.854] (S)kani7321: ウメグリッチ
[575.267] (S)kakutora_no_o: もう色とかがw
[575.516] Papapadad: ウメちゃんが黒森に
[575.519] だいこん_: umeYay_BW
[578.854] Hiclere: シャーロックホームズかな？
[580.526] BigbossJP: ミラーじゃなくてホラー配信
[586.998] v_harumi_v: メンおじさま、さっき居たけども、忙しいのかも
[587.358] momiji4431: めんおじたのむ
[588.743] やあああ: なんやこのフィルター
[591.001] はらくだり: 梅ちゃんw
[592.904] (M)gameinntwitch: 再起動しないでー
[594.226] gorogorogorn: カメラ要らんくね
[597.561] aranami0: 今日はただのガヤ配信
[609.742] (S)ponponguripon: どうしてこんなことに
[610.749] mogami_riv: 画面の色おかしいよ
[614.166] Hitode_noko: 再起動ダメ！
[619.182] ひろみつー: メンオジー！
[619.850] (S)hoshi_boshi_0: メンおじがコメしているよ
[624.540] potocki1810: めんおじどのの※よんでたも
[626.219] v_harumi_v: 再起動はしないでとのこと
[636.705] Hiclere: マイクもいったｗ
[641.114] v_harumi_v: 声が聞こえなくなったけど電話中？
[643.315] (S)maya_g01: 電話きたかな
[646.483] (S)kakutora_no_o: ゾンビースト
[648.972] Hiclere: あー電話かｗ
[649.022] ~MISSING_COMMENTER_INFO~: w
[649.604] みししっぴ1: 画面が変なのよ
[650.249] Hitode_noko: 通話中か
[658.113] ~MISSING_COMMENTER_INFO~: バイオハザード
[661.332] niemalsaufgeben: 配信どうなってるのw
[662.511] gyu_nyuu_pann: 緑ピンクにみえれ
[664.853] (S)akinoko2: ホラーゲーム画面みたいになってるｗ
