[6.682] (S)だーさと: うぃ～
[157.236] (S)peace2233: peace2233 is continuing the Gift Sub they got from zerogravity0910! 
[159.276] (S)あろめろでぃ: おはよおはよ
[160.677] unagi_po74: ｵｶｴﾘｵｶｴﾘ
[161.912] gusion023: おかまえりー
[164.288] (S)ayukatono: ｵﾊﾖｵﾊﾖ
[166.286] bing8315: おかえりなさいませ
[176.859] _ゆきの_: おかえり
[178.322] 紺碧のくまさん: おかー
[180.450] (S)たち_: こん
[182.815] sinoninomi: ｵｶｴﾘｵｶｴﾘ
[183.945] hazime3538: ｵｶｴﾘｵｶｴﾘ
[188.033] アーキィー: おかえりー
[190.245] (M)Nightbot: 【Twitter】https://twitter.com/Fanta_JPN
[191.941] khmm10: ohayoohayo
[202.204] (S)arunaima: ｵﾊﾖ ｵﾊﾖ
[202.407] ruby_mybabe: おかえりなさーい
[207.232] (S)yukidoll_s: ｵｶｴﾘｵｶｴﾘ
[207.901] (S)じゃがいも揚げ犬: ｵｶｴﾘ
[210.009] (S)sheseec: ブツブツｗｗ
[223.616] (S)landmark1000: 偵察役セイジ
[227.653] (S)子トラ: おかえりなさい～！
[236.218] (S)カメモチ: おかえりなさい
[238.414] (S)ネオノアン: ほうほう
[239.260] (S)ひるお: sayもいる
[242.519] yukito127: ほーう
[245.208] machina01remake: 確定的証拠だ
[256.932] (S)ネオノアン: 記録してて正解だったね
[260.482] (S)sheseec: SAYも！？
[271.093] ebitiri135: 取引を目撃はしてないのか
[273.522] ごーやちゃんぽ: 買ったのかな
[276.130] shion0000000: おいっすー
[281.616] scumbag_senpai01: おはよおはよ
[282.348] (S)シーズンインザ: セイセイ
[285.936] (S)sheseec: あーポイント移動の瞬間を見たってことね
[291.280] サクたろさん: さすセイセイ
[292.963] (S)マルディー: ｵﾊﾖｵﾊﾖ
[293.455] NOINNOIN: SAYはかわいい定期
[293.675] koppepaan: 話してくれるかね
[297.113] かわのみどり: 優秀な部下だ
[304.225] (S)sakae_gumi: 強いカードだ
[305.613] (S)glasses02: いい材料になったな
[306.959] (S)PINODAY0: 何かしらの外交はあったっぽいね
[312.104] neva_sy: せいじ優秀過ぎるｗｗ
[313.115] (S)なぎころね: ちゃんと記録してるならそうよね
[315.495] joukunuoj: wwww
[316.401] (S)yume080546: せいじ優秀
[318.226] yosito4416: 全ての状況証拠あるの優秀過ぎるw
[320.286] (M)Nightbot: 他配信の情報をコメントに書く行為、私の配信の情報を他の配信でコメントする行為は禁止です。
[321.912] sagari_lor: 昨日マダラは敵とはいってなかったしね
[322.271] (S)ケチャラ: sayセイジ優秀すぎる
[322.444] おべいる: なんで嘘ついたんやろ
[323.492] (S)sheseec: 手札は多い方がいいな
[324.253] rouhey: 幼稚園の皮を被ったごちごちの社会人ギャング
[326.591] lily369126: さすせいじ
[329.410] (S)碇のあ: 優秀や
[330.517] 将軍01: 壁に耳あり障子に目あり
[338.402] (S)しゅうげっそー: 優秀やなぁ
[341.430] (M)Nightbot: 他配信の情報をコメントに書く行為、私の配信の情報を他の配信でコメントする行為は禁止です。
[347.257] (S)papet1452: 偉すぎww
[354.007] nishiki15: なう社会人多いからな
[354.726] icecode25: お客気分...ですか
[361.128] めっちゃそらまめ: 座席気にするの社会人過ぎるｗ
[361.863] (S)rebecca_76star: さすがにもう吐くやろ
[363.343] ~MISSING_COMMENTER_INFO~: あっちとしても最初の取引だから信用できなくて嘘つくのはわかる
[365.007] (S)Jewel_meat: はぇー
[365.962] (S)sheseec: ブースティングやるんだｗ
[367.043] (S)碇のあ: wwww
[367.771] (S)bakubaku52: いいねw
[369.506] (S)qpchan: いいね
[370.586] atui_samu: エーペックス女子みたいなｗ
[371.301] _ゆきの_: いいねえ
[373.644] syou0918: まだらの許可貰えてないから濁すしかなかったとかもあるのでは
[373.966] でぃっと_: 座席気にするのは社会人なんよｗｗ
[375.359] なんかちゃ: よおし
[375.991] (S)もーーーたん: いいね
[376.382] yunionss: ママのところ行ったか
[377.963] (M)Nightbot: 【Youtube Channel】https://www.youtube.com/channel/UCWlx7GTk0zQCi_0tKJhV72w
[378.172] (S)テネット23: ブスじょ
[381.614] (S)子トラ: いいな
[383.875] tatsuuu3: 風呂入ってる間にもこれのこと考えてるの大変や
[385.163] rinori_ddd: #ブースティング女子
[385.557] (S)碇のあ: いいねえ
[385.808] odoma0koma: 混ぜてもらうことはできるか？
[387.035] (S)honey_boo_chan: シャンクズもいれてもらお
[387.773] okometora8: いい匂いしそう
[387.823] jentrimen: いれてほしー
[390.124] (S)いうた: 女子会か
[391.881] yukito127: ｗｗｗｗｗｗ
[392.034] (S)nica0708: せいじ好きやわー
[393.167] icecode25: ブス女
[393.380] 人鳥ペンギン: ボスもそこはいるか
[394.256] (S)子トラ: ｗｗｗｗｗｗｗｗｗ
[394.319] (S)shingoshigaa: ｗｗｗ
[395.026] rick12237: FutureMan
[395.184] (S)ネオノアン: シャンクズも女の子
[395.260] (S)nana43: ｗｗｗ
[395.844] (S)YAMATO00_RoueN: wwwww
[395.893] (S)碇のあ: wwwwwww
[396.459] taku_61: あっつぅー
[396.657] (S)ツーブ口パーマ: ｗｗｗ
[396.844] alohapon: あっつー
[396.886] okometora8: あっつ〜
[396.932] れぶりみ: ｗｗ
[397.769] (S)ryoji_0422: そこに入れてもらうことは出来るか？
[397.968] (S)いうた: www
[398.544] (S)tarako_0420: 草
[398.700] atui_samu: #ブースティング女子と繋がりたい
[398.899] rouhey: そすさんとやるブースティング思いよ…って事？
[399.035] kaaaaaaaaame142: ワンチャンシャンクズも入れるんじゃね？
[399.613] (S)もーーーたん: wwwwwwwww
[400.443] (S)スズミー: あっつー
[400.713] 高架橋橋脚下: 入れてもらうことはできるか？
[401.289] (S)PINODAY0: めっちゃええやん
[401.564] (S)qpchan: 女装していこう
[401.631] スーパーカブ50: あっつ〜
[401.903] (S)peho_okok: けっつんじゃんｗ
[402.227] (S)nvyf6flup11ffpbyzy3k: ww
[402.375] till1022: ｗｗｗｗｗｗｗｗｗｗ
[402.495] ごーやちゃんぽ: けっつん
[402.875] (S)sheseec: ｗｗｗｗｗｗｗ
[403.067] (S)salt___99: ブー女、ブ女ってこと…？
[403.069] (S)glasses02: www.
[403.220] (S)ツーブ口パーマ: くぁ
[403.407] (S)碇のあ: wwwwww
[403.465] れぶりみ: やめろｗｗ
[403.990] ebitiri135: シャンクズいるやんw
[404.630] (S)shacomongo: wwwwww
[404.781] (S)シーズンインザ: 入れてもらうことは出来るか？
[405.307] icecode25: ｗｗｗ
[405.336] (S)マルディー: ｗｗｗｗｗ
